Orthogroup	MOUSE	STRPU_ok
OG0000000	MOUSE35835, MOUSE46731	STRPU_10146, STRPU_10084
OG0000000	MOUSE35499, MOUSE22971	STRPU_22262
OG0000000	MOUSE40493, MOUSE21445	STRPU_10304
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	STRPU_10083, STRPU_10145
OG0000000	MOUSE47799, MOUSE46854, MOUSE36974	STRPU_10015
OG0000000	MOUSE25533, MOUSE37056	STRPU_19865, STRPU_19892
OG0000000	MOUSE09344, MOUSE50563	STRPU_02929
OG0000000	MOUSE50880	STRPU_03800
OG0000000	MOUSE20961	STRPU_09982, STRPU_09961
OG0000000	MOUSE24692	STRPU_20780
OG0000000	MOUSE05222, MOUSE26497, MOUSE39799	STRPU_23206
OG0000000	MOUSE38794, MOUSE36509	STRPU_05654
OG0000000	MOUSE38795	STRPU_05390
OG0000000	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889	STRPU_23197, STRPU_23198
OG0000000	MOUSE05217, MOUSE39807, MOUSE14885	STRPU_23194
OG0000000	MOUSE35589, MOUSE35590	STRPU_23756
OG0000000	MOUSE05644, MOUSE06967	STRPU_22253
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	STRPU_09852
OG0000000	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817	STRPU_23199
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	STRPU_05830
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	STRPU_23207
OG0000000	MOUSE12761, MOUSE36110	STRPU_10189
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	STRPU_09890
OG0000000	MOUSE28110, MOUSE28109	STRPU_21017
OG0000000	MOUSE07114	STRPU_21014
