Orthogroup	MOUSE	YEAST
OG0000000	MOUSE05212, MOUSE21446, MOUSE46880, MOUSE20962, MOUSE35835, MOUSE46731, MOUSE35499, MOUSE22971, MOUSE40493, MOUSE21445, MOUSE40450, MOUSE21440, MOUSE46719, MOUSE46718, MOUSE35959, MOUSE47799, MOUSE46854, MOUSE36974, MOUSE25533, MOUSE37056, MOUSE09344, MOUSE50563, MOUSE50880, MOUSE20961, MOUSE24692, MOUSE36510, MOUSE39800, MOUSE26496, MOUSE26495, MOUSE05222, MOUSE26497, MOUSE39799, MOUSE38794, MOUSE36509, MOUSE26494, MOUSE05221, MOUSE39801, MOUSE38795, MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889, MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218, MOUSE05217, MOUSE39807, MOUSE14885, MOUSE35589, MOUSE35590, MOUSE05644, MOUSE06967	YEAST00701
OG0000000	MOUSE42582	YEAST04484
OG0000006	MOUSE03399	YEAST00858
OG0000007	MOUSE38586, MOUSE06525	YEAST01568, YEAST05134
OG0000011	MOUSE08113, MOUSE47282	YEAST02600, YEAST01619
OG0000013	MOUSE13220, MOUSE13221, MOUSE13219, MOUSE31454, MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	YEAST04082
OG0000014	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187, MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100, MOUSE20912, MOUSE31149, MOUSE31150, MOUSE22789, MOUSE22790, MOUSE00987, MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686, MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976, MOUSE04191	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	MOUSE44325, MOUSE48959, MOUSE48960, MOUSE15414	YEAST03839, YEAST02807, YEAST03817
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123, MOUSE21130	YEAST03870, YEAST01103
OG0000031	MOUSE55186	YEAST05574
OG0000031	MOUSE55187, MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530, MOUSE26385, MOUSE14840, MOUSE26448, MOUSE08530, MOUSE05256, MOUSE08528, MOUSE08527, MOUSE44529, MOUSE20731, MOUSE39309, MOUSE01505, MOUSE40719, MOUSE40720, MOUSE13006, MOUSE13005, MOUSE48656, MOUSE48889, MOUSE13007, MOUSE36274, MOUSE36271, MOUSE08580, MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579, MOUSE13008	YEAST02238
OG0000034	MOUSE19646, MOUSE47179, MOUSE42232, MOUSE23593, MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539, MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011, MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176, MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105, MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480, MOUSE11491, MOUSE11490, MOUSE20059	YEAST04436, YEAST05550, YEAST05115
OG0000036	MOUSE49437, MOUSE12248, MOUSE49436, MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708, MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439, MOUSE29724, MOUSE29725, MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723, MOUSE49438, MOUSE43709	YEAST02545, YEAST02806
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306, MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378, MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631, MOUSE21441	YEAST03227
OG0000038	MOUSE08557, MOUSE14647, MOUSE14644, MOUSE14645, MOUSE41992, MOUSE41494, MOUSE22591, MOUSE22592, MOUSE41278	YEAST04422, YEAST04379
OG0000043	MOUSE50973, MOUSE30821, MOUSE03684, MOUSE08835, MOUSE08851, MOUSE08821, MOUSE08919, MOUSE08930, MOUSE08911, MOUSE08914, MOUSE08826, MOUSE08830, MOUSE08838, MOUSE08904, MOUSE30826, MOUSE30825, MOUSE08848, MOUSE08949, MOUSE30822, MOUSE41815, MOUSE41814	YEAST00224, YEAST01200
OG0000048	MOUSE07450	YEAST05020
OG0000048	MOUSE55730, MOUSE04650, MOUSE04652, MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452, MOUSE42201, MOUSE42202, MOUSE06701, MOUSE42203, MOUSE49641, MOUSE49640, MOUSE49639	YEAST05707
OG0000054	MOUSE48109, MOUSE48108, MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534, MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433, MOUSE48639	YEAST01385
OG0000055	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831	YEAST01199, YEAST00225
OG0000058	MOUSE47313, MOUSE47308, MOUSE29478, MOUSE35031, MOUSE53977, MOUSE17481, MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254	YEAST02989
OG0000058	MOUSE10546, MOUSE40446, MOUSE40445, MOUSE06405, MOUSE16601, MOUSE38610, MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899, MOUSE06401, MOUSE38608, MOUSE38609, MOUSE40444	YEAST02120
OG0000069	MOUSE30824	YEAST03661
OG0000069	MOUSE24595, MOUSE06171, MOUSE24596	YEAST05172
OG0000079	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603, MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419, MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479, MOUSE05042, MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929	YEAST05330
OG0000082	MOUSE25920	YEAST03287
OG0000082	MOUSE19184	YEAST04267, YEAST01834, YEAST03359
OG0000082	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	MOUSE50879	YEAST04992, YEAST00735
OG0000095	MOUSE21579, MOUSE39287, MOUSE39286, MOUSE39288, MOUSE39290, MOUSE39289, MOUSE39291, MOUSE21580, MOUSE12896, MOUSE29409, MOUSE29410	YEAST02993
OG0000096	MOUSE54033, MOUSE13094, MOUSE29900, MOUSE31085, MOUSE31087, MOUSE02247, MOUSE31086, MOUSE31088	YEAST02643
OG0000096	MOUSE47009, MOUSE14640, MOUSE35516	YEAST00638
OG0000096	MOUSE19103, MOUSE30286, MOUSE30282, MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996, MOUSE45925, MOUSE45926, MOUSE44088, MOUSE52337, MOUSE52338	YEAST05104, YEAST05564
OG0000103	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384, MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014	YEAST02873
OG0000107	MOUSE08903, MOUSE08932, MOUSE08836, MOUSE08837, MOUSE08933, MOUSE08825, MOUSE30829, MOUSE08916, MOUSE08908, MOUSE08850, MOUSE08824, MOUSE08922, MOUSE41813	YEAST05173
OG0000113	MOUSE33596, MOUSE33595, MOUSE08570, MOUSE08575, MOUSE08576, MOUSE22353, MOUSE22352, MOUSE08561, MOUSE08562, MOUSE08559, MOUSE08567, MOUSE08563, MOUSE08565, MOUSE08573, MOUSE08574, MOUSE08572, MOUSE08568, MOUSE08571, MOUSE39395, MOUSE08578, MOUSE08577, MOUSE39332, MOUSE39333, MOUSE39335, MOUSE39331, MOUSE39329, MOUSE08566, MOUSE39334, MOUSE39330	YEAST00378, YEAST01351, YEAST05581
OG0000114	MOUSE04136	YEAST00703
OG0000116	MOUSE30922, MOUSE27994	YEAST04456
OG0000122	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654, MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753	YEAST04928
OG0000124	MOUSE45402	YEAST05021
OG0000124	MOUSE34424, MOUSE34425	YEAST04122
