Orthogroup	MOUSE	OWEFU
OG0000000	MOUSE35835, MOUSE46731	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	MOUSE35499, MOUSE22971	OFUSG13305.1.p1
OG0000000	MOUSE40493, MOUSE21445	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	MOUSE40450, MOUSE21440	OFUSG18918.1.p1
OG0000000	MOUSE46718, MOUSE35959	OFUSG05755.1.p1
OG0000000	MOUSE46854, MOUSE36974	OFUSG06970.1.p1
OG0000000	MOUSE25533, MOUSE37056	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	MOUSE09344, MOUSE50563	OFUSG08786.1.p1
OG0000000	MOUSE50880	OFUSG09074.1.p1
OG0000000	MOUSE20961	OFUSG19303.1.p1
OG0000000	MOUSE24692	OFUSG12013.1.p1
OG0000000	MOUSE26497, MOUSE39799	OFUSG13332.1.p1
OG0000000	MOUSE38794, MOUSE36509	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	MOUSE26494, MOUSE05221, MOUSE39801	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	MOUSE38795	OFUSG03302.1.p1
OG0000000	MOUSE05215, MOUSE39813, MOUSE39810	OFUSG13338.1.p1
OG0000000	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218	OFUSG13335.1.p1
OG0000000	MOUSE05217, MOUSE39807, MOUSE14885	OFUSG13336.1.p1
OG0000000	MOUSE35589, MOUSE35590	OFUSG17003.1.p1
OG0000000	MOUSE05644, MOUSE06967	OFUSG21200.1.p1
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	OFUSG05672.1.p1
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	OFUSG03177.1.p1
OG0000000	MOUSE42582	OFUSG13341.1.p1
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	OFUSG12947.1.p1
OG0000000	MOUSE36110	OFUSG05775.1.p1
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	OFUSG06109.1.p1
OG0000000	MOUSE28110, MOUSE28109	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	MOUSE07114	OFUSG21806.1.p1
OG0000001	MOUSE30906	OFUSG18749.1.p1
OG0000001	MOUSE47424, MOUSE47422	OFUSG04205.1.p1
OG0000002	MOUSE31557, MOUSE31558	OFUSG12055.1.p1
OG0000002	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136	OFUSG09076.1.p1
OG0000002	MOUSE33129	OFUSG22946.2.p1
OG0000002	MOUSE15413, MOUSE15412	OFUSG18506.1.p1
OG0000003	MOUSE36184	OFUSG02265.1.p1
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	MOUSE33561, MOUSE33562	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	OFUSG02905.1.p1
OG0000006	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955	OFUSG14509.1.p1
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673	OFUSG25514.1.p1
OG0000006	MOUSE54497	OFUSG14428.1.p1
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	OFUSG07929.1.p1
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	MOUSE38532, MOUSE38531	OFUSG10782.1.p1
OG0000006	MOUSE10280	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	OFUSG21061.1.p1, OFUSG18090.1.p1
OG0000006	MOUSE19675	OFUSG08659.1.p1
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	MOUSE08011, MOUSE15296	OFUSG11740.1.p1
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	MOUSE03398	OFUSG11470.1.p1
OG0000007	MOUSE51845, MOUSE20686	OFUSG09476.1.p1
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	OFUSG21527.1.p1
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	OFUSG13716.1.p1
OG0000007	MOUSE52320	OFUSG23682.1.p1
OG0000007	MOUSE49749	OFUSG05364.1.p1
OG0000007	MOUSE13954	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	MOUSE09061	OFUSG23111.1.p1
OG0000007	MOUSE09062, MOUSE49739	OFUSG04768.1.p1
OG0000007	MOUSE38585	OFUSG10014.1.p1
OG0000007	MOUSE04689, MOUSE37388	OFUSG25429.1.p1
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	MOUSE06204	OFUSG10613.1.p1
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	MOUSE07031, MOUSE07030	OFUSG25241.1.p1
OG0000008	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182	OFUSG01560.1.p1
OG0000008	MOUSE25728	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	MOUSE50311	OFUSG18646.1.p1
OG0000008	MOUSE35409	OFUSG05918.1.p1
OG0000008	MOUSE30083	OFUSG01483.1.p1, OFUSG11572.1.p1
OG0000010	MOUSE49605, MOUSE49413	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	MOUSE22876	OFUSG09248.1.p1
OG0000010	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049	OFUSG10271.1.p1
