Orthogroup	MOUSE	ASTMX
OG0000000	MOUSE46731	ASTMX02793
OG0000000	MOUSE35499	ASTMX17483
OG0000000	MOUSE22971	ASTMX11444
OG0000000	MOUSE40493	ASTMX18513
OG0000000	MOUSE21445	ASTMX02535
OG0000000	MOUSE40450	ASTMX19308
OG0000000	MOUSE21440	ASTMX03273
OG0000000	MOUSE46719	ASTMX13971
OG0000000	MOUSE46718	ASTMX13970
OG0000000	MOUSE47799	ASTMX12494
OG0000000	MOUSE46854	ASTMX05790
OG0000000	MOUSE36974	ASTMX17479
OG0000000	MOUSE25533	ASTMX20577, ASTMX08977
OG0000000	MOUSE37056	ASTMX08271
OG0000000	MOUSE09344	ASTMX14561
OG0000000	MOUSE50563	ASTMX07042
OG0000000	MOUSE50880	ASTMX10847
OG0000000	MOUSE20961	ASTMX20299
OG0000000	MOUSE24692	ASTMX10234
OG0000000	MOUSE39799	ASTMX20165
OG0000000	MOUSE38794	ASTMX16946
OG0000000	MOUSE36509	ASTMX11106
OG0000000	MOUSE26494	ASTMX01438
OG0000000	MOUSE05221	ASTMX16053
OG0000000	MOUSE39801	ASTMX01903
OG0000000	MOUSE38795	ASTMX06178
OG0000000	MOUSE05214, MOUSE05213	ASTMX16048
OG0000000	MOUSE14888	ASTMX20108
OG0000000	MOUSE26490, MOUSE26491	ASTMX05323
OG0000000	MOUSE05215	ASTMX16049
OG0000000	MOUSE05216	ASTMX01436, ASTMX16050
OG0000000	MOUSE14889	ASTMX20109, ASTMX05322
OG0000000	MOUSE14890, MOUSE14891	ASTMX05321, ASTMX20111
OG0000000	MOUSE05218	ASTMX16051
OG0000000	MOUSE05217	ASTMX01437
OG0000000	MOUSE39807	ASTMX20161
OG0000000	MOUSE14885	ASTMX20110
OG0000000	MOUSE35589, MOUSE35590	ASTMX17422
OG0000000	MOUSE05644	ASTMX01447
OG0000000	MOUSE06967	ASTMX00835, ASTMX16253
OG0000000	MOUSE36056	ASTMX20873
OG0000000	MOUSE09425	ASTMX04077, ASTMX07972
OG0000000	MOUSE46881	ASTMX05835, ASTMX11919
OG0000000	MOUSE07113	ASTMX08519
OG0000000	MOUSE28108	ASTMX09510, ASTMX01253
OG0000000	MOUSE14887	ASTMX05324, ASTMX20107
OG0000000	MOUSE39814, MOUSE26488	ASTMX12036
