Orthogroup	MOUSE	AMPFI_ok
OG0000000	MOUSE35835, MOUSE46731	AMPFI_12098
OG0000000	MOUSE35499, MOUSE22971	AMPFI_16114
OG0000000	MOUSE40493, MOUSE21445	AMPFI_11894
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	AMPFI_12336
OG0000000	MOUSE25533, MOUSE37056	AMPFI_08228
OG0000000	MOUSE20961	AMPFI_02168
OG0000000	MOUSE24692	AMPFI_10716
OG0000000	MOUSE38795	AMPFI_19781
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	AMPFI_12478
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	AMPFI_20876
OG0000000	MOUSE12761, MOUSE36110	AMPFI_21326
OG0000000	MOUSE28110, MOUSE28109	AMPFI_01589
OG0000000	MOUSE07114	AMPFI_10655
OG0000001	MOUSE47424, MOUSE47422	AMPFI_19631
OG0000001	MOUSE11565, MOUSE20858, MOUSE11567	AMPFI_03160
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362	AMPFI_18148, AMPFI_13477
OG0000001	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419	AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689
OG0000002	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	MOUSE33129	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336
OG0000002	MOUSE15413, MOUSE15412	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663
OG0000003	MOUSE23701, MOUSE23700	AMPFI_14862
OG0000003	MOUSE36184	AMPFI_18391, AMPFI_13137
OG0000004	MOUSE21111	AMPFI_23148, AMPFI_09184, AMPFI_25238
OG0000004	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144	AMPFI_04189
OG0000004	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226	AMPFI_03068
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	MOUSE11220	AMPFI_22470
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673	AMPFI_22262
OG0000006	MOUSE54497	AMPFI_22463
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	AMPFI_10542, AMPFI_00206
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	AMPFI_02520
OG0000006	MOUSE19675	AMPFI_09123
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	AMPFI_18507
OG0000006	MOUSE08011, MOUSE15296	AMPFI_06099
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	AMPFI_17130
OG0000006	MOUSE03398	AMPFI_12555
