Orthogroup	MOUSE	APOSC_ok
OG0000000	MOUSE35835, MOUSE46731	APOSC_11837, APOSC_12606
OG0000000	MOUSE40493, MOUSE21445	APOSC_11472, APOSC_29094
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	APOSC_25410
OG0000000	MOUSE46854, MOUSE36974	APOSC_11604
OG0000000	MOUSE25533, MOUSE37056	APOSC_19137
OG0000000	MOUSE09344, MOUSE50563	APOSC_11544
OG0000000	MOUSE50880	APOSC_06717
OG0000000	MOUSE20961	APOSC_04208
OG0000000	MOUSE24692	APOSC_07565
OG0000000	MOUSE05222, MOUSE26497, MOUSE39799	APOSC_22022
OG0000000	MOUSE38794, MOUSE36509	APOSC_04964
OG0000000	MOUSE38795	APOSC_16565
OG0000000	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889	APOSC_27318
OG0000000	MOUSE05217, MOUSE39807, MOUSE14885	APOSC_14732
OG0000000	MOUSE35589, MOUSE35590	APOSC_24894
OG0000000	MOUSE05644, MOUSE06967	APOSC_24788
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	APOSC_28968
OG0000000	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817	APOSC_18629
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	APOSC_10621
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	APOSC_22429
OG0000000	MOUSE12761, MOUSE36110	APOSC_04636
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	APOSC_18693
OG0000000	MOUSE28110, MOUSE28109	APOSC_00117
OG0000000	MOUSE07114	APOSC_08607
OG0000001	MOUSE47424, MOUSE47422	APOSC_22349, APOSC_16849
OG0000002	MOUSE31557, MOUSE31558	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	MOUSE15413, MOUSE15412	APOSC_19154
OG0000003	MOUSE23701, MOUSE23700	APOSC_01527
OG0000003	MOUSE36184	APOSC_06472
OG0000004	MOUSE12693, MOUSE12692	APOSC_03634
OG0000004	MOUSE21111	APOSC_06431, APOSC_27025
OG0000004	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226	APOSC_28247
OG0000005	MOUSE30956, MOUSE30955, MOUSE30957	APOSC_21707
OG0000006	MOUSE48684, MOUSE48683	APOSC_21099
OG0000006	MOUSE33561, MOUSE33562	APOSC_10640
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	APOSC_17637
OG0000006	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955	APOSC_08216
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673	APOSC_08805
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	APOSC_25251, APOSC_25252
OG0000006	MOUSE38532, MOUSE38531	APOSC_19228
OG0000006	MOUSE10280	APOSC_11581
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	APOSC_02745
OG0000006	MOUSE19675	APOSC_10711
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	APOSC_06790, APOSC_06791
OG0000007	MOUSE09063, MOUSE49748	APOSC_04982
OG0000007	MOUSE51845, MOUSE20686	APOSC_19545
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	APOSC_11262
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	APOSC_29119
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	APOSC_07509
OG0000007	MOUSE49749	APOSC_11745
OG0000007	MOUSE13954	APOSC_20868
OG0000007	MOUSE09061	APOSC_21514
OG0000007	MOUSE09062, MOUSE49739	APOSC_25152
OG0000007	MOUSE04689, MOUSE37388	APOSC_04562
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	APOSC_09541, APOSC_09542
OG0000007	MOUSE38586, MOUSE06525	APOSC_22651
OG0000007	MOUSE06204	APOSC_10715
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	APOSC_17950
OG0000007	MOUSE07031, MOUSE07030	APOSC_07482
OG0000008	MOUSE25728	APOSC_05395
OG0000008	MOUSE25499, MOUSE25498, MOUSE25349	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177
OG0000010	MOUSE49605	APOSC_17642
OG0000010	MOUSE09529	APOSC_21784
OG0000010	MOUSE14717	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160
OG0000010	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	APOSC_25939
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	APOSC_26906, APOSC_13089
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	APOSC_26545
OG0000012	MOUSE38313	APOSC_14826
OG0000013	MOUSE31454	APOSC_00689
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	APOSC_26024, APOSC_17612
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	APOSC_00187
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	APOSC_22269
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	APOSC_04279
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123	APOSC_09216
OG0000016	MOUSE13078, MOUSE13077	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	APOSC_14883
OG0000016	MOUSE44334	APOSC_28721
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335	APOSC_19884
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	APOSC_14801, APOSC_11507
