Orthogroup	MOUSE	SCHMD
OG0000000	MOUSE21446, MOUSE46880, MOUSE20962	SCHMD15791
OG0000000	MOUSE35835, MOUSE46731	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	MOUSE35499, MOUSE22971	SCHMD09645
OG0000000	MOUSE46719, MOUSE46718, MOUSE35959	SCHMD20523, SCHMD24588
OG0000000	MOUSE47799, MOUSE46854, MOUSE36974	SCHMD03805
OG0000000	MOUSE25533, MOUSE37056	SCHMD09133, SCHMD27825
OG0000000	MOUSE50880	SCHMD27182, SCHMD16896
OG0000000	MOUSE39800	SCHMD10926, SCHMD19942
OG0000000	MOUSE05222, MOUSE26497, MOUSE39799	SCHMD18969
OG0000000	MOUSE26494, MOUSE05221, MOUSE39801	SCHMD08046
OG0000000	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889	SCHMD22390, SCHMD21735
OG0000000	MOUSE35589, MOUSE35590	SCHMD21303
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	SCHMD01868
OG0000000	MOUSE42582	SCHMD11888, SCHMD08259
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	SCHMD24693
OG0000000	MOUSE12761, MOUSE36110	SCHMD05281, SCHMD04291
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205, MOUSE28110, MOUSE28109, MOUSE07114	SCHMD13268
OG0000001	MOUSE11565, MOUSE20858, MOUSE11567	SCHMD16091
OG0000002	MOUSE33129	SCHMD15297
OG0000003	MOUSE23701, MOUSE23700, MOUSE08264	SCHMD00325
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	SCHMD00178
OG0000006	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955	SCHMD18704
OG0000006	MOUSE54497, MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111, MOUSE28165, MOUSE07632, MOUSE07631, MOUSE38532, MOUSE38531, MOUSE10280	SCHMD09638
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	SCHMD23237
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	SCHMD13710
OG0000006	MOUSE03398	SCHMD18814
OG0000007	MOUSE09063, MOUSE49748	SCHMD12323
OG0000007	MOUSE28251	SCHMD01193
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	SCHMD08294
OG0000007	MOUSE20752	SCHMD17075
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	SCHMD03666
OG0000007	MOUSE13954, MOUSE09061, MOUSE09062, MOUSE49739	SCHMD12296, SCHMD02893
OG0000007	MOUSE38585	SCHMD08922, SCHMD00556
OG0000007	MOUSE04689, MOUSE37388, MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	MOUSE38586, MOUSE06525	SCHMD19134
OG0000007	MOUSE06204	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	MOUSE07031, MOUSE07030	SCHMD02246
OG0000010	MOUSE43879	SCHMD14528
OG0000010	MOUSE22876	SCHMD19321
OG0000010	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049	SCHMD12053
OG0000010	MOUSE09529	SCHMD16346
OG0000010	MOUSE12661	SCHMD14061
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000012	MOUSE38313	SCHMD06045, SCHMD22580
OG0000014	MOUSE04191	SCHMD00336, SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208
OG0000015	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500	SCHMD16724
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000016	MOUSE44325	SCHMD21264, SCHMD01350, SCHMD17302
OG0000016	MOUSE21130	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350
OG0000016	MOUSE13078, MOUSE13077	SCHMD16694
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	SCHMD02183
OG0000016	MOUSE44334	SCHMD09773, SCHMD05700
OG0000020	MOUSE45177	SCHMD01272
OG0000020	MOUSE05499, MOUSE05500	SCHMD00005
OG0000020	MOUSE53015	SCHMD08736
OG0000020	MOUSE23587, MOUSE23586	SCHMD09886
OG0000020	MOUSE24012	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	MOUSE49041, MOUSE09998	SCHMD09794
OG0000021	MOUSE44445, MOUSE53773	SCHMD09793, SCHMD07893
OG0000021	MOUSE19587	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829
OG0000023	MOUSE22442	SCHMD04923
OG0000023	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064	SCHMD05376
OG0000026	MOUSE34507	SCHMD10899
OG0000026	MOUSE38308, MOUSE38309	SCHMD22460
