Orthogroup	MOUSE	SACKO_ok
OG0000000	MOUSE21446, MOUSE46880, MOUSE20962	SACKO_11053
OG0000000	MOUSE35835, MOUSE46731	SACKO_12749
OG0000000	MOUSE35499, MOUSE22971	SACKO_19677
OG0000000	MOUSE40493, MOUSE21445	SACKO_25619
OG0000000	MOUSE40450, MOUSE21440	SACKO_25616
OG0000000	MOUSE46718, MOUSE35959	SACKO_05553
OG0000000	MOUSE46854, MOUSE36974	SACKO_16683
OG0000000	MOUSE25533, MOUSE37056	SACKO_08208, SACKO_08197
OG0000000	MOUSE09344, MOUSE50563	SACKO_32730, SACKO_17792
OG0000000	MOUSE50880	SACKO_19489
OG0000000	MOUSE20961	SACKO_31887
OG0000000	MOUSE26497, MOUSE39799	SACKO_24012
OG0000000	MOUSE38794, MOUSE36509	SACKO_11590
OG0000000	MOUSE26494, MOUSE05221, MOUSE39801	SACKO_24040
OG0000000	MOUSE38795	SACKO_11588
OG0000000	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889	SACKO_24002
OG0000000	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218	SACKO_24024
OG0000000	MOUSE05217, MOUSE39807, MOUSE14885	SACKO_24025
OG0000000	MOUSE35589, MOUSE35590	SACKO_26673
OG0000000	MOUSE05644, MOUSE06967	SACKO_06485
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	SACKO_31872
OG0000000	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817	SACKO_24017
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	SACKO_11599
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	SACKO_22872
OG0000000	MOUSE36110	SACKO_31901
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	SACKO_31899
OG0000000	MOUSE28110, MOUSE28109	SACKO_11978
OG0000000	MOUSE07114	SACKO_12011
OG0000001	MOUSE47436	SACKO_04731
OG0000001	MOUSE30906	SACKO_21170
OG0000001	MOUSE47424, MOUSE47422	SACKO_30873
