Orthogroup	AENJA_ok	DANRE
OG0000000	AENJA_00110	DANRE06436, DANRE05762
OG0000000	AENJA_23461	DANRE24636, DANRE35926
OG0000000	AENJA_26081	DANRE04899, DANRE05022, DANRE06714
OG0000000	AENJA_24355	DANRE37544, DANRE11226
OG0000000	AENJA_23544	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	AENJA_09172	DANRE05964, DANRE19591, DANRE19592
OG0000000	AENJA_01537	DANRE34117, DANRE19532, DANRE36202
OG0000000	AENJA_00111, AENJA_09519	DANRE02487, DANRE13405
OG0000000	AENJA_07481	DANRE04328, DANRE04330, DANRE04329
OG0000000	AENJA_25905	DANRE18867, DANRE18868
OG0000000	AENJA_15854	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	AENJA_12748	DANRE35277, DANRE35276, DANRE17824
OG0000000	AENJA_15855	DANRE29250, DANRE09540
OG0000000	AENJA_12751	DANRE24278
OG0000000	AENJA_05807	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703
OG0000000	AENJA_15859	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335
OG0000000	AENJA_15861	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	AENJA_22692	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	AENJA_20015	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	AENJA_21459	DANRE06945, DANRE06944, DANRE20512
OG0000000	AENJA_05805	DANRE24055
OG0000000	AENJA_01755	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	AENJA_10279	DANRE05977, DANRE05743
OG0000000	AENJA_05264	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000000	AENJA_18954	DANRE11796, DANRE11795, DANRE18798
OG0000001	AENJA_26118	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471
OG0000001	AENJA_17575	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000001	AENJA_01446	DANRE29550
OG0000002	AENJA_19547, AENJA_15292	DANRE16673
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	DANRE38244, DANRE38242, DANRE38243
OG0000002	AENJA_00531	DANRE28739
OG0000002	AENJA_05471, AENJA_03252	DANRE23574
OG0000003	AENJA_21338	DANRE05700
OG0000004	AENJA_08681, AENJA_23847	DANRE10231
OG0000004	AENJA_16036, AENJA_03959, AENJA_23066, AENJA_26802, AENJA_26808	DANRE31040
OG0000004	AENJA_03929	DANRE41389, DANRE41390
OG0000004	AENJA_18812, AENJA_09022	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	DANRE20576, DANRE20588, DANRE20587, DANRE20586
OG0000005	AENJA_12050	DANRE17266
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	DANRE11160
OG0000006	AENJA_11699, AENJA_18239, AENJA_21365, AENJA_22159	DANRE07563
OG0000006	AENJA_18510	DANRE02891
OG0000006	AENJA_22158	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	AENJA_13126	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	AENJA_02691	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	AENJA_20911	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	AENJA_07226	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	AENJA_22522	DANRE11213, DANRE11212, DANRE11601
OG0000006	AENJA_09814	DANRE30064, DANRE15483
OG0000006	AENJA_09813	DANRE30060
OG0000006	AENJA_00662	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	AENJA_07549, AENJA_15373	DANRE05395
OG0000006	AENJA_18450	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	AENJA_01590	DANRE11156, DANRE11155
OG0000006	AENJA_09210	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	AENJA_15474	DANRE04654, DANRE04655
OG0000007	AENJA_18325	DANRE26275, DANRE17982
OG0000007	AENJA_18163	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	AENJA_00810	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	AENJA_25020	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	AENJA_23908	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	AENJA_19234	DANRE23214, DANRE28394, DANRE07751, DANRE07750
OG0000007	AENJA_18326	DANRE12664
OG0000007	AENJA_06479, AENJA_16018	DANRE03447
OG0000007	AENJA_18328	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	AENJA_11851	DANRE21702
OG0000007	AENJA_07359	DANRE03039
OG0000007	AENJA_09687	DANRE08320, DANRE33659
OG0000007	AENJA_07358	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	AENJA_11277	DANRE30028, DANRE03038, DANRE28801
OG0000007	AENJA_22886	DANRE30495, DANRE03657, DANRE03658
OG0000007	AENJA_16981	DANRE02453, DANRE09326, DANRE09325
OG0000007	AENJA_26507	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	AENJA_15934, AENJA_26738	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	AENJA_24404, AENJA_14450	DANRE34310, DANRE39865
OG0000008	AENJA_00959	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000011	AENJA_03543, AENJA_24193	DANRE22618, DANRE32639, DANRE19908, DANRE03442
OG0000011	AENJA_26050	DANRE34035, DANRE34036
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	DANRE38177, DANRE38176
OG0000012	AENJA_02869	DANRE12655, DANRE12656, DANRE12659
OG0000014	AENJA_25536	DANRE17251, DANRE43403
OG0000015	AENJA_19636	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443
OG0000015	AENJA_18653	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	AENJA_17614, AENJA_19630	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	AENJA_11513	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	AENJA_26671, AENJA_26677	DANRE35611
OG0000016	AENJA_02781	DANRE02012
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
