Orthogroup	AENJA_ok	CAPO3
OG0000003	AENJA_03925, AENJA_21348, AENJA_04022, AENJA_13323, AENJA_16645, AENJA_03129, AENJA_06624, AENJA_13805, AENJA_21345, AENJA_06628, AENJA_20973, AENJA_15435, AENJA_21338, AENJA_06107, AENJA_03277, AENJA_12218, AENJA_18598, AENJA_15443, AENJA_04134, AENJA_02043, AENJA_22000, AENJA_05435, AENJA_21667, AENJA_15873, AENJA_00543	CAPO301945
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985, AENJA_17584, AENJA_12565, AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989, AENJA_03582, AENJA_24537, AENJA_12050, AENJA_12061, AENJA_07538, AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129, AENJA_24820, AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345, AENJA_02291, AENJA_00056, AENJA_09464, AENJA_09577	CAPO308356, CAPO307946
OG0000006	AENJA_15474	CAPO302620
OG0000007	AENJA_07359, AENJA_15955, AENJA_09687, AENJA_07358	CAPO304209
OG0000007	AENJA_11277	CAPO303284
OG0000007	AENJA_16981	CAPO300935
OG0000007	AENJA_26507	CAPO305123
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014, AENJA_22984, AENJA_22983, AENJA_06607, AENJA_00771, AENJA_09696, AENJA_09697, AENJA_26327, AENJA_23419, AENJA_02869	CAPO302923, CAPO302931
OG0000015	AENJA_19634, AENJA_18555, AENJA_02651, AENJA_19635, AENJA_25011, AENJA_19636, AENJA_18653, AENJA_17614, AENJA_19630, AENJA_02597	CAPO302521
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	CAPO300049
OG0000016	AENJA_11513	CAPO304360
OG0000016	AENJA_26671, AENJA_26677, AENJA_21813, AENJA_16651	CAPO306803
OG0000016	AENJA_02781	CAPO303259
OG0000016	AENJA_03281, AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	CAPO300936
OG0000023	AENJA_06341, AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920, AENJA_11914, AENJA_26230, AENJA_07520, AENJA_17438, AENJA_19908, AENJA_19909, AENJA_17571, AENJA_03895, AENJA_11915, AENJA_17568, AENJA_17570	CAPO307690
OG0000029	AENJA_03155, AENJA_26378, AENJA_10650, AENJA_26395, AENJA_05610, AENJA_05280	CAPO307131
OG0000030	AENJA_17283, AENJA_07079, AENJA_24351, AENJA_12274, AENJA_21030, AENJA_03309, AENJA_05226, AENJA_02005, AENJA_02015, AENJA_09694	CAPO305356, CAPO301638, CAPO307563
OG0000031	AENJA_10722	CAPO303729
OG0000031	AENJA_02955	CAPO302122
OG0000035	AENJA_01174, AENJA_26793, AENJA_22033, AENJA_01175, AENJA_08825, AENJA_12732, AENJA_12364, AENJA_26037, AENJA_21682, AENJA_21683, AENJA_03202, AENJA_17649, AENJA_15904, AENJA_26795, AENJA_18623, AENJA_14012, AENJA_02191	CAPO307346, CAPO308354
OG0000038	AENJA_05701	CAPO307725
OG0000041	AENJA_08471, AENJA_24560, AENJA_03404, AENJA_03405	CAPO308025, CAPO306861
OG0000043	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392	CAPO308256
OG0000048	AENJA_25506	CAPO304823
OG0000049	AENJA_20702, AENJA_25756, AENJA_17800, AENJA_10359, AENJA_24984, AENJA_12834, AENJA_18082, AENJA_24580, AENJA_11158, AENJA_02953, AENJA_07586, AENJA_26413, AENJA_17680	CAPO304018
