Orthogroup	AENJA_ok	BRALA
OG0000000	AENJA_00110	BRALA16375, BRALA16376
OG0000000	AENJA_23461	BRALA00047
OG0000000	AENJA_26081	BRALA19584, BRALA19585, BRALA25857
OG0000000	AENJA_24355	BRALA17283
OG0000000	AENJA_09148	BRALA25847
OG0000000	AENJA_23544	BRALA24482
OG0000000	AENJA_09172	BRALA16262
OG0000000	AENJA_06471	BRALA16263
OG0000000	AENJA_01537	BRALA18359
OG0000000	AENJA_09519	BRALA29522
OG0000000	AENJA_01531	BRALA21349
OG0000000	AENJA_05531	BRALA18600
OG0000000	AENJA_07481	BRALA28387
OG0000000	AENJA_25905	BRALA21476
OG0000000	AENJA_15854	BRALA00115
OG0000000	AENJA_12748	BRALA11736
OG0000000	AENJA_15855	BRALA00116
OG0000000	AENJA_12751	BRALA11734
OG0000000	AENJA_05807	BRALA00119, BRALA00120, BRALA00121
OG0000000	AENJA_15861	BRALA00118
OG0000000	AENJA_22692	BRALA00439, BRALA26541
OG0000000	AENJA_20015	BRALA00079
OG0000000	AENJA_21459	BRALA11733
OG0000000	AENJA_01755	BRALA00135
OG0000000	AENJA_10279	BRALA30674
OG0000000	AENJA_05264	BRALA30673
OG0000000	AENJA_18955	BRALA17840
OG0000001	AENJA_16489	BRALA22338, BRALA22325
OG0000001	AENJA_05757, AENJA_05760, AENJA_26229	BRALA22324, BRALA14825
OG0000001	AENJA_06007	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939
OG0000001	AENJA_26118, AENJA_17575	BRALA00762, BRALA09667, BRALA20490, BRALA27259
OG0000001	AENJA_09293	BRALA25322, BRALA21156
OG0000001	AENJA_01446, AENJA_05207, AENJA_05206	BRALA19588, BRALA19586
OG0000002	AENJA_03072	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	AENJA_19547, AENJA_15292	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000002	AENJA_00531, AENJA_22262, AENJA_16411	BRALA20754
OG0000002	AENJA_05471, AENJA_03252	BRALA27121
OG0000003	AENJA_03925	BRALA34994, BRALA34493, BRALA07602, BRALA07598, BRALA23609
OG0000003	AENJA_21348	BRALA11277
OG0000003	AENJA_04022	BRALA03414, BRALA35199, BRALA21392, BRALA32239
OG0000003	AENJA_13323	BRALA35907
OG0000003	AENJA_16645	BRALA11278
OG0000003	AENJA_06628	BRALA34993, BRALA18601
OG0000003	AENJA_15435	BRALA07140
OG0000003	AENJA_21338	BRALA30232, BRALA07610
OG0000003	AENJA_03277, AENJA_12218	BRALA24754
OG0000003	AENJA_04134	BRALA01167
OG0000003	AENJA_02043	BRALA02711, BRALA07070, BRALA31766, BRALA29565, BRALA07069, BRALA20351
OG0000003	AENJA_00543	BRALA23910
OG0000004	AENJA_02270	BRALA16461, BRALA23965, BRALA02945, BRALA09920, BRALA16460
OG0000004	AENJA_15703	BRALA27667
OG0000004	AENJA_25009	BRALA08526
OG0000004	AENJA_21339	BRALA14376, BRALA14386, BRALA13197, BRALA34097, BRALA08699, BRALA33844, BRALA26617, BRALA19799, BRALA34364, BRALA34964, BRALA33600
OG0000004	AENJA_18812, AENJA_09022, AENJA_05320	BRALA02003, BRALA02015
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	AENJA_12565	BRALA25414, BRALA34368
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	BRALA00382
OG0000005	AENJA_12050	BRALA31589
OG0000005	AENJA_12061	BRALA16471
OG0000005	AENJA_24820	BRALA15288
OG0000006	AENJA_11699, AENJA_18239, AENJA_21365, AENJA_22159	BRALA03676
OG0000006	AENJA_18510	BRALA17590
OG0000006	AENJA_22158	BRALA06686
OG0000006	AENJA_13126	BRALA19242
OG0000006	AENJA_02691	BRALA06109
OG0000006	AENJA_07226	BRALA07568, BRALA29276
OG0000006	AENJA_22522	BRALA22280
OG0000006	AENJA_09814	BRALA06185
OG0000006	AENJA_09813	BRALA06182, BRALA06186
OG0000006	AENJA_00662	BRALA17603
OG0000006	AENJA_07549, AENJA_15373	BRALA03602
OG0000006	AENJA_18450	BRALA24372
OG0000006	AENJA_01590	BRALA24993
OG0000006	AENJA_09210	BRALA24994
OG0000006	AENJA_15474	BRALA22628
OG0000007	AENJA_18325	BRALA03259
OG0000007	AENJA_18163	BRALA13447, BRALA13448
OG0000007	AENJA_00810	BRALA20872, BRALA20870
OG0000007	AENJA_23908	BRALA31416
OG0000007	AENJA_19234	BRALA11149
OG0000007	AENJA_18326	BRALA03260
OG0000007	AENJA_06479, AENJA_16018	BRALA20579
OG0000007	AENJA_18328	BRALA03282
OG0000007	AENJA_07512	BRALA08350
OG0000007	AENJA_11851	BRALA25787
OG0000007	AENJA_09687	BRALA26097, BRALA14947
OG0000007	AENJA_07358	BRALA22487
OG0000007	AENJA_11277	BRALA06491
OG0000007	AENJA_22886	BRALA18647
OG0000007	AENJA_20902	BRALA23348
OG0000007	AENJA_16981	BRALA05625
OG0000007	AENJA_26507	BRALA30788
OG0000008	AENJA_15934, AENJA_26738	BRALA16035, BRALA05591
OG0000008	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105	BRALA19914
OG0000008	AENJA_24404, AENJA_14450	BRALA27340
OG0000008	AENJA_21421, AENJA_04271	BRALA26942
OG0000008	AENJA_00959	BRALA20539
OG0000009	AENJA_09256	BRALA34913
OG0000009	AENJA_14084, AENJA_13529, AENJA_22419, AENJA_21438, AENJA_05572	BRALA34658
OG0000009	AENJA_12983, AENJA_12645, AENJA_26356, AENJA_04329	BRALA26278, BRALA32982
OG0000009	AENJA_26815, AENJA_17953	BRALA26344, BRALA34657
OG0000009	AENJA_13451	BRALA24601
OG0000009	AENJA_19291, AENJA_12021, AENJA_05571, AENJA_12773	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338
OG0000010	AENJA_06639	BRALA08739, BRALA05744
OG0000010	AENJA_15586	BRALA17508, BRALA01650
OG0000010	AENJA_04234	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969
OG0000011	AENJA_19273, AENJA_01290	BRALA06520, BRALA31196
OG0000011	AENJA_03543, AENJA_24193	BRALA26291
OG0000011	AENJA_06710	BRALA22896, BRALA17910
OG0000011	AENJA_08607, AENJA_10319	BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249
OG0000011	AENJA_01925, AENJA_24659	BRALA19887
OG0000011	AENJA_13168	BRALA33147
OG0000011	AENJA_10554, AENJA_20178, AENJA_19192, AENJA_02877, AENJA_17352, AENJA_20291, AENJA_06516, AENJA_22650, AENJA_14414	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037
OG0000011	AENJA_17241, AENJA_22685, AENJA_26020	BRALA06517, BRALA01847, BRALA32798
OG0000011	AENJA_26050	BRALA13222
OG0000011	AENJA_24133, AENJA_12015, AENJA_00474, AENJA_17934	BRALA19792
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	AENJA_02869	BRALA22947
OG0000013	AENJA_14640	BRALA22396
OG0000013	AENJA_23415	BRALA20932
OG0000014	AENJA_12276, AENJA_23299	BRALA21274
OG0000014	AENJA_25536	BRALA28626, BRALA28625, BRALA28624
OG0000015	AENJA_19634	BRALA06628
OG0000015	AENJA_18555, AENJA_02651, AENJA_19635	BRALA21863
OG0000015	AENJA_19636	BRALA22448
OG0000015	AENJA_18653	BRALA22447
OG0000015	AENJA_17614	BRALA18748, BRALA15755
OG0000015	AENJA_19630	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048
OG0000016	AENJA_04814, AENJA_14549	BRALA00485
OG0000016	AENJA_26670	BRALA21428
OG0000016	AENJA_11513	BRALA32113, BRALA10406
OG0000016	AENJA_26671, AENJA_26677	BRALA12120, BRALA09688
OG0000016	AENJA_21813, AENJA_16651	BRALA21418, BRALA29534, BRALA13585
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	BRALA22170
OG0000017	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492	BRALA05160
OG0000017	AENJA_07451	BRALA05159, BRALA12730
OG0000018	AENJA_00705, AENJA_05980, AENJA_21073, AENJA_24490, AENJA_10833	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561
OG0000018	AENJA_20865	BRALA32899, BRALA10376, BRALA33972, BRALA06055, BRALA32913, BRALA27818, BRALA31950, BRALA27816
OG0000018	AENJA_10761, AENJA_12683	BRALA27952, BRALA31952
OG0000018	AENJA_07360, AENJA_25137	BRALA27097
OG0000018	AENJA_01235	BRALA30292
OG0000018	AENJA_12247	BRALA29803, BRALA00712
OG0000019	AENJA_03417, AENJA_02272, AENJA_02277	BRALA17788
OG0000019	AENJA_02273	BRALA00309, BRALA00310, BRALA00311
OG0000019	AENJA_16475, AENJA_12690, AENJA_12693	BRALA23185, BRALA13461, BRALA09553
OG0000019	AENJA_24818, AENJA_20016	BRALA00404, BRALA00405
OG0000019	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160
OG0000020	AENJA_06180, AENJA_02090	BRALA11913
OG0000020	AENJA_21688, AENJA_05309	BRALA09135
OG0000020	AENJA_02593, AENJA_02596	BRALA27241
OG0000020	AENJA_15791	BRALA28848
OG0000020	AENJA_12903	BRALA05608
OG0000020	AENJA_09502	BRALA18984
OG0000020	AENJA_18052	BRALA16287
OG0000020	AENJA_23718, AENJA_02408	BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062
OG0000020	AENJA_17847	BRALA11167
OG0000020	AENJA_16929	BRALA27392
OG0000020	AENJA_04727	BRALA11912
OG0000020	AENJA_07947	BRALA18130
OG0000020	AENJA_14659	BRALA12599
OG0000020	AENJA_12495	BRALA10628
OG0000020	AENJA_25422	BRALA23615
OG0000021	AENJA_14639	BRALA18963
OG0000021	AENJA_26606, AENJA_10786	BRALA18098
OG0000021	AENJA_16593	BRALA22428
OG0000021	AENJA_24950	BRALA30352
OG0000021	AENJA_19175	BRALA34639, BRALA31905
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	BRALA06012
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	BRALA20360, BRALA20164
OG0000023	AENJA_06341	BRALA34393, BRALA34449, BRALA33273
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	AENJA_11914	BRALA19145, BRALA14945, BRALA23600, BRALA23601, BRALA02985, BRALA02983, BRALA35419, BRALA11100, BRALA28758
OG0000023	AENJA_26230	BRALA17881, BRALA21074, BRALA03421
OG0000023	AENJA_19909	BRALA29841, BRALA06984, BRALA06983
OG0000024	AENJA_02356, AENJA_04068, AENJA_18080, AENJA_10723, AENJA_14412, AENJA_24502, AENJA_10348, AENJA_23773, AENJA_18095, AENJA_12767, AENJA_02712	BRALA13162, BRALA17266
OG0000025	AENJA_17256	BRALA25665
OG0000025	AENJA_26502	BRALA30288, BRALA14889, BRALA08095, BRALA20961
OG0000025	AENJA_21079	BRALA29928, BRALA29404, BRALA24909
OG0000025	AENJA_14413	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555
OG0000025	AENJA_05976	BRALA33595
OG0000025	AENJA_09551	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347
OG0000026	AENJA_09725, AENJA_09726, AENJA_07548	BRALA01049
OG0000026	AENJA_21657	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000026	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651	BRALA01048
OG0000026	AENJA_10129	BRALA01767
OG0000026	AENJA_23516	BRALA23099, BRALA26971, BRALA26970, BRALA13781
OG0000027	AENJA_03490, AENJA_19914, AENJA_19915, AENJA_18849	BRALA30064
OG0000027	AENJA_05706, AENJA_05707	BRALA16500, BRALA16502
OG0000028	AENJA_02610, AENJA_09622	BRALA08037, BRALA08038, BRALA23716, BRALA08026, BRALA08036, BRALA04194
OG0000028	AENJA_19954	BRALA00011, BRALA12956, BRALA12957
OG0000029	AENJA_26395	BRALA01099
OG0000029	AENJA_05610	BRALA00240
OG0000030	AENJA_07079	BRALA13443
OG0000030	AENJA_12274	BRALA32573
OG0000030	AENJA_21030	BRALA13032
OG0000031	AENJA_09856	BRALA04543
OG0000031	AENJA_09858	BRALA04547
OG0000031	AENJA_20966	BRALA04610
OG0000031	AENJA_08759	BRALA13458, BRALA05046
OG0000031	AENJA_10722	BRALA16640
OG0000031	AENJA_02955	BRALA09408
OG0000031	AENJA_05740	BRALA28311
OG0000032	AENJA_06514	BRALA10240
OG0000032	AENJA_15565	BRALA04170, BRALA24050, BRALA04172, BRALA04375, BRALA04377, BRALA09749, BRALA09755
OG0000032	AENJA_24093	BRALA09747, BRALA09748
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	BRALA11179, BRALA11177, BRALA09647
OG0000032	AENJA_12283	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174
OG0000033	AENJA_25005	BRALA25553, BRALA20115, BRALA24216, BRALA09750, BRALA29039, BRALA05632, BRALA33338, BRALA29286
OG0000033	AENJA_20306	BRALA08549, BRALA19940, BRALA13518
OG0000033	AENJA_13272	BRALA15667
OG0000033	AENJA_04460, AENJA_10095	BRALA24610, BRALA10541
OG0000033	AENJA_18564	BRALA10011, BRALA12783, BRALA04117, BRALA04068
OG0000033	AENJA_02801	BRALA13238
OG0000033	AENJA_04465, AENJA_02683, AENJA_23779, AENJA_21243	BRALA13255, BRALA23215, BRALA25545, BRALA32441
OG0000033	AENJA_18113, AENJA_23194	BRALA10790
OG0000033	AENJA_08560, AENJA_03095	BRALA32279, BRALA02141
OG0000033	AENJA_02993	BRALA27795, BRALA10774, BRALA00010
OG0000033	AENJA_13995, AENJA_12723, AENJA_12540	BRALA30835, BRALA20226
OG0000033	AENJA_25355	BRALA22616
OG0000033	AENJA_13459	BRALA15957, BRALA23169, BRALA32611, BRALA24594, BRALA32612
OG0000034	AENJA_21749	BRALA27570
OG0000034	AENJA_26717	BRALA08751
OG0000034	AENJA_02791	BRALA08901, BRALA03079
OG0000034	AENJA_23686	BRALA17580
OG0000034	AENJA_13785	BRALA08885
OG0000034	AENJA_15701	BRALA06594
OG0000034	AENJA_24919	BRALA18444
OG0000034	AENJA_16616	BRALA02412
OG0000035	AENJA_01174	BRALA21367, BRALA35402
OG0000035	AENJA_26793	BRALA13925
OG0000035	AENJA_08825	BRALA13921
OG0000035	AENJA_12732	BRALA29588
OG0000035	AENJA_12364, AENJA_26037	BRALA13915, BRALA22877
OG0000035	AENJA_21683	BRALA13917
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	AENJA_16633	BRALA35896
OG0000036	AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986	BRALA06754
OG0000036	AENJA_15638, AENJA_15641, AENJA_15644	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	BRALA22402, BRALA22404
OG0000036	AENJA_16634, AENJA_26207	BRALA03476
OG0000037	AENJA_20944	BRALA22282
OG0000037	AENJA_05483, AENJA_06274	BRALA22275
OG0000037	AENJA_13632	BRALA16015
OG0000037	AENJA_22611, AENJA_22610	BRALA16388
OG0000038	AENJA_09926, AENJA_09925	BRALA03789
OG0000038	AENJA_26313	BRALA22708, BRALA13194
OG0000038	AENJA_16130	BRALA19648, BRALA18077, BRALA04779
OG0000039	AENJA_12474, AENJA_05354	BRALA35483
OG0000039	AENJA_17497	BRALA19632, BRALA19635
OG0000039	AENJA_07945	BRALA31558
OG0000039	AENJA_26786	BRALA21586
OG0000039	AENJA_20163	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092
OG0000039	AENJA_02471	BRALA35729
OG0000039	AENJA_07277	BRALA19542
OG0000040	AENJA_11361	BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	AENJA_24560	BRALA07763, BRALA29216, BRALA11960, BRALA35158
OG0000041	AENJA_03404, AENJA_03405	BRALA27215
OG0000044	AENJA_12079	BRALA16330, BRALA33207
OG0000044	AENJA_26664	BRALA28596
OG0000044	AENJA_24602	BRALA27747
OG0000044	AENJA_03123, AENJA_25117	BRALA34838
OG0000044	AENJA_06789	BRALA03916, BRALA26507, BRALA16452, BRALA25594
OG0000045	AENJA_09277	BRALA29043, BRALA32667
OG0000045	AENJA_04220, AENJA_24299	BRALA00161, BRALA00165, BRALA00163, BRALA00162
OG0000045	AENJA_20791	BRALA00168, BRALA00164
OG0000045	AENJA_09131	BRALA01913, BRALA01918, BRALA01920
OG0000045	AENJA_13210	BRALA25459
OG0000045	AENJA_11592	BRALA26831
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	BRALA28946
OG0000046	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	BRALA00828, BRALA17402, BRALA17400, BRALA23725, BRALA23726, BRALA19361, BRALA20352, BRALA19394, BRALA23187, BRALA19360, BRALA17712, BRALA30574, BRALA17713, BRALA15856, BRALA28385, BRALA34030
OG0000046	AENJA_15828	BRALA05184, BRALA05187
OG0000047	AENJA_20068	BRALA19798, BRALA16113, BRALA21906, BRALA29547, BRALA27015, BRALA09602, BRALA19327, BRALA19328, BRALA08009, BRALA30249, BRALA22247, BRALA27495, BRALA28592, BRALA15305, BRALA21551, BRALA30124, BRALA25680, BRALA18589, BRALA30988, BRALA33052
OG0000047	AENJA_25256	BRALA10482
OG0000047	AENJA_02359, AENJA_22101	BRALA29231
OG0000047	AENJA_17689	BRALA23014, BRALA29849, BRALA20843, BRALA08127
OG0000047	AENJA_04944	BRALA14404
OG0000047	AENJA_14228, AENJA_15629	BRALA28421, BRALA26027, BRALA20000, BRALA11368, BRALA03322
OG0000047	AENJA_01851	BRALA30328
OG0000047	AENJA_19353	BRALA11646, BRALA13140, BRALA20817, BRALA14861
OG0000048	AENJA_23226	BRALA06772
OG0000048	AENJA_21270	BRALA35359, BRALA30640, BRALA30891, BRALA13398, BRALA28757
OG0000048	AENJA_09360	BRALA17809
OG0000048	AENJA_16735, AENJA_16736	BRALA10830
OG0000048	AENJA_25506	BRALA03524
OG0000049	AENJA_20702	BRALA08950, BRALA08951
OG0000049	AENJA_25756	BRALA15334
OG0000049	AENJA_24580, AENJA_11158	BRALA08954, BRALA23719
OG0000050	AENJA_04055, AENJA_09800, AENJA_19193	BRALA29504, BRALA33239, BRALA23285
OG0000050	AENJA_01528, AENJA_02355, AENJA_00087	BRALA27959, BRALA01945, BRALA33449, BRALA32066, BRALA01944, BRALA30000, BRALA21559, BRALA15438, BRALA30119
OG0000050	AENJA_04583	BRALA35714
OG0000050	AENJA_14035	BRALA28793
OG0000050	AENJA_00443, AENJA_08509	BRALA27960
OG0000050	AENJA_02533	BRALA31232
OG0000050	AENJA_22540, AENJA_26360, AENJA_20350	BRALA10559
OG0000051	AENJA_18491, AENJA_12662	BRALA17952
OG0000051	AENJA_24250	BRALA22978, BRALA25416
OG0000052	AENJA_07437	BRALA14154, BRALA03903, BRALA35146
OG0000052	AENJA_20254	BRALA14114
OG0000052	AENJA_03531, AENJA_00839, AENJA_20468, AENJA_18067	BRALA26653
OG0000052	AENJA_11489, AENJA_25939	BRALA01780, BRALA19636, BRALA03448, BRALA25177, BRALA34774, BRALA19340, BRALA19337, BRALA13175, BRALA29756, BRALA21907, BRALA29760, BRALA26550, BRALA11628, BRALA30906, BRALA27793, BRALA29469, BRALA18478, BRALA20881, BRALA32444, BRALA27554, BRALA22559, BRALA28706
OG0000053	AENJA_07517	BRALA35406
OG0000054	AENJA_06676, AENJA_23371	BRALA02118
OG0000056	AENJA_20268	BRALA00682, BRALA22096
OG0000056	AENJA_20270	BRALA17447, BRALA17448, BRALA17452, BRALA17449
OG0000056	AENJA_05228	BRALA21309
OG0000057	AENJA_22751, AENJA_20208	BRALA22206, BRALA11691, BRALA27516
OG0000057	AENJA_16752, AENJA_23652	BRALA21236
OG0000057	AENJA_17618, AENJA_26136, AENJA_26132, AENJA_08684, AENJA_22887, AENJA_05276, AENJA_22882, AENJA_00547, AENJA_00284, AENJA_08678, AENJA_20325, AENJA_14624, AENJA_22206, AENJA_08076, AENJA_04680, AENJA_04677	BRALA15976
OG0000057	AENJA_15044	BRALA06484
OG0000057	AENJA_21589, AENJA_13773	BRALA33854, BRALA09469, BRALA07816, BRALA07817, BRALA07813, BRALA34412, BRALA23522, BRALA07814, BRALA23123, BRALA16040
OG0000058	AENJA_23345	BRALA24063
OG0000058	AENJA_12354	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000058	AENJA_14024	BRALA20989, BRALA20988
OG0000058	AENJA_10634	BRALA27304
OG0000059	AENJA_13132	BRALA11568
OG0000059	AENJA_17651	BRALA28531, BRALA32778, BRALA23279
OG0000059	AENJA_20505, AENJA_00656, AENJA_09821, AENJA_10475, AENJA_10476, AENJA_10481, AENJA_11528	BRALA15311, BRALA34589, BRALA15310, BRALA15309, BRALA15308
OG0000059	AENJA_18423, AENJA_19757, AENJA_10474, AENJA_00440, AENJA_20980, AENJA_20981, AENJA_26400	BRALA20330, BRALA08042, BRALA20333, BRALA20334, BRALA18048, BRALA33673, BRALA34416, BRALA33406, BRALA33715
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	BRALA19963, BRALA20366
OG0000060	AENJA_17233	BRALA01718
OG0000060	AENJA_19748	BRALA00658, BRALA22074
OG0000060	AENJA_06413	BRALA13737
OG0000061	AENJA_07301	BRALA07400
OG0000061	AENJA_07183	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844, BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	AENJA_26614, AENJA_08766	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000061	AENJA_06999, AENJA_07304	BRALA07399, BRALA11283, BRALA07094, BRALA17504
OG0000062	AENJA_09642	BRALA21142
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	BRALA31607
OG0000062	AENJA_03699	BRALA35327, BRALA00098
OG0000063	AENJA_04323	BRALA00957, BRALA27402, BRALA12767, BRALA05064, BRALA05065, BRALA01329
OG0000063	AENJA_26394	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	AENJA_12655, AENJA_09505	BRALA25733
OG0000067	AENJA_21171	BRALA04453
OG0000069	AENJA_15982	BRALA10090, BRALA31904, BRALA27769, BRALA28929
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	BRALA19019, BRALA19027, BRALA19020
OG0000070	AENJA_17946, AENJA_17947	BRALA00642, BRALA00640, BRALA22018, BRALA22019, BRALA21248, BRALA08298, BRALA06340
OG0000070	AENJA_09128	BRALA14166, BRALA14168
OG0000070	AENJA_05824	BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167
OG0000070	AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	BRALA22763, BRALA01254
OG0000071	AENJA_11228	BRALA16857
OG0000071	AENJA_12271, AENJA_23369	BRALA13694, BRALA30738, BRALA30739
OG0000071	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682	BRALA32052, BRALA20842, BRALA32055, BRALA20769
OG0000072	AENJA_14652	BRALA08308
OG0000072	AENJA_13128	BRALA12631
OG0000072	AENJA_02450	BRALA35229, BRALA34984, BRALA33639, BRALA31916
OG0000072	AENJA_05444	BRALA03848
OG0000072	AENJA_24050, AENJA_00746	BRALA18086, BRALA18063
OG0000073	AENJA_02295	BRALA03064
