Orthogroup	AENJA_ok	APOSC_ok
OG0000000	AENJA_00110	APOSC_11837, APOSC_12606
OG0000000	AENJA_26081	APOSC_11472, APOSC_29094
OG0000000	AENJA_23544	APOSC_25410
OG0000000	AENJA_09172	APOSC_11604
OG0000000	AENJA_06471	APOSC_28354
OG0000000	AENJA_01537	APOSC_19137
OG0000000	AENJA_09519	APOSC_11544
OG0000000	AENJA_01531	APOSC_13522
OG0000000	AENJA_07481	APOSC_04208
OG0000000	AENJA_25905	APOSC_07565
OG0000000	AENJA_15854	APOSC_22022
OG0000000	AENJA_12748	APOSC_04964
OG0000000	AENJA_12751	APOSC_16565
OG0000000	AENJA_05807	APOSC_27318
OG0000000	AENJA_05798	APOSC_06302
OG0000000	AENJA_15861	APOSC_14732
OG0000000	AENJA_22692	APOSC_24894
OG0000000	AENJA_20015	APOSC_24788
OG0000000	AENJA_05802	APOSC_01689
OG0000000	AENJA_19519	APOSC_01343
OG0000000	AENJA_10529	APOSC_25317
OG0000000	AENJA_10530	APOSC_25315, APOSC_25316
OG0000000	AENJA_21459	APOSC_10621
OG0000000	AENJA_01755	APOSC_22429
OG0000000	AENJA_10279	APOSC_04636
OG0000000	AENJA_05264	APOSC_18693
OG0000000	AENJA_18954	APOSC_00117
OG0000000	AENJA_18955	APOSC_08607
OG0000001	AENJA_05757	APOSC_22156
OG0000001	AENJA_05760	APOSC_01815, APOSC_16060
OG0000001	AENJA_26229	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617
OG0000001	AENJA_06007	APOSC_14768, APOSC_07507, APOSC_17360
OG0000001	AENJA_16692	APOSC_02406
OG0000001	AENJA_23742, AENJA_11626, AENJA_11402, AENJA_07468, AENJA_07469, AENJA_04325, AENJA_13572, AENJA_13548, AENJA_26364, AENJA_03867, AENJA_11948	APOSC_26455
OG0000001	AENJA_05207, AENJA_05206	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025
OG0000002	AENJA_03072	APOSC_17563
OG0000002	AENJA_19547	APOSC_09040, APOSC_26016
OG0000002	AENJA_05471, AENJA_03252	APOSC_19154
OG0000003	AENJA_06624	APOSC_21853
OG0000003	AENJA_13805	APOSC_21855
OG0000003	AENJA_21345	APOSC_00102
OG0000003	AENJA_20973	APOSC_08250
OG0000003	AENJA_21338	APOSC_20058
OG0000003	AENJA_12218	APOSC_22836
OG0000003	AENJA_02043	APOSC_20479
OG0000003	AENJA_21667, AENJA_15873	APOSC_06472
OG0000004	AENJA_15703	APOSC_21785
OG0000004	AENJA_03929	APOSC_28059
OG0000004	AENJA_25009	APOSC_18755
OG0000004	AENJA_04481	APOSC_28260, APOSC_25240
OG0000004	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459	APOSC_27205, APOSC_09030, APOSC_06178, APOSC_04579, APOSC_04580, APOSC_19837
OG0000005	AENJA_12565	APOSC_24691
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	APOSC_28430, APOSC_12554
OG0000005	AENJA_12050	APOSC_26754
OG0000005	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129	APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644
OG0000005	AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345	APOSC_23541
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	APOSC_21707
OG0000006	AENJA_22158	APOSC_10640
OG0000006	AENJA_13126	APOSC_17637
OG0000006	AENJA_02691	APOSC_08216
OG0000006	AENJA_20911	APOSC_08805
OG0000006	AENJA_07226	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	AENJA_22522	APOSC_25251, APOSC_25252
OG0000006	AENJA_09814	APOSC_19228
OG0000006	AENJA_00662	APOSC_11581
OG0000006	AENJA_15373	APOSC_02745
OG0000006	AENJA_18450	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	AENJA_09210	APOSC_06790, APOSC_06791
OG0000007	AENJA_18325	APOSC_04982
OG0000007	AENJA_18163	APOSC_19545
OG0000007	AENJA_00810	APOSC_11262
OG0000007	AENJA_25020	APOSC_29119
OG0000007	AENJA_23908	APOSC_07509
OG0000007	AENJA_18326	APOSC_11745
OG0000007	AENJA_06479, AENJA_16018	APOSC_20868
OG0000007	AENJA_18328	APOSC_25152
OG0000007	AENJA_11851	APOSC_15698
OG0000007	AENJA_09687	APOSC_04562
OG0000007	AENJA_07358	APOSC_09541, APOSC_09542
OG0000007	AENJA_11277	APOSC_22651
OG0000007	AENJA_22886	APOSC_10715
OG0000007	AENJA_20902	APOSC_26829
OG0000007	AENJA_16981	APOSC_17950
OG0000007	AENJA_26507	APOSC_07482
OG0000008	AENJA_21419	APOSC_12318
OG0000008	AENJA_21542	APOSC_21668
OG0000008	AENJA_24404, AENJA_14450	APOSC_05395
OG0000008	AENJA_21421, AENJA_04271	APOSC_21976, APOSC_21294, APOSC_21293
OG0000008	AENJA_00959	APOSC_25161
OG0000009	AENJA_01292, AENJA_04656, AENJA_14742	APOSC_02892
OG0000009	AENJA_25388	APOSC_21088
OG0000009	AENJA_13658, AENJA_07747	APOSC_25141
OG0000009	AENJA_00113, AENJA_11818	APOSC_14853
OG0000009	AENJA_25347	APOSC_04604
OG0000009	AENJA_03229, AENJA_08449, AENJA_02891, AENJA_01343	APOSC_16035
OG0000009	AENJA_12983	APOSC_02463
OG0000009	AENJA_12645	APOSC_08876
OG0000009	AENJA_26356, AENJA_04329	APOSC_15628
OG0000009	AENJA_17727, AENJA_21677	APOSC_17848
OG0000009	AENJA_26815, AENJA_17953	APOSC_14640
OG0000009	AENJA_22062	APOSC_18792, APOSC_21389, APOSC_26160, APOSC_24355, APOSC_01128
OG0000009	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938	APOSC_09422
OG0000009	AENJA_19291, AENJA_12021, AENJA_05571, AENJA_12773	APOSC_11617
OG0000009	AENJA_22152	APOSC_16724, APOSC_19765
OG0000010	AENJA_06639	APOSC_12174
OG0000010	AENJA_15586	APOSC_14960
OG0000010	AENJA_16004, AENJA_09141	APOSC_11855
OG0000010	AENJA_00347	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160
OG0000011	AENJA_16502	APOSC_02459
OG0000011	AENJA_19273, AENJA_01290	APOSC_11940
OG0000011	AENJA_08483, AENJA_20159, AENJA_01152	APOSC_24460
OG0000011	AENJA_06710	APOSC_21593
OG0000011	AENJA_18099	APOSC_28649
OG0000011	AENJA_11078	APOSC_24862
OG0000011	AENJA_02877, AENJA_17352	APOSC_01416, APOSC_25932
OG0000011	AENJA_14414	APOSC_13118
OG0000011	AENJA_17241, AENJA_22685, AENJA_26020	APOSC_19810
OG0000011	AENJA_21439	APOSC_13795, APOSC_12778
OG0000011	AENJA_23691	APOSC_01800
OG0000011	AENJA_24664	APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345
OG0000011	AENJA_01682	APOSC_11207
OG0000011	AENJA_22850	APOSC_13969, APOSC_10113
OG0000011	AENJA_24133, AENJA_12015	APOSC_24720
OG0000011	AENJA_00474, AENJA_17934	APOSC_20093
OG0000011	AENJA_12186	APOSC_22195
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861	APOSC_26906
OG0000012	AENJA_02014	APOSC_13089
OG0000012	AENJA_22984, AENJA_22983	APOSC_13014, APOSC_18904, APOSC_16185, APOSC_27929, APOSC_28450, APOSC_10605
OG0000012	AENJA_06607	APOSC_00485, APOSC_13929, APOSC_27839, APOSC_02220, APOSC_02306, APOSC_12260, APOSC_27838, APOSC_16677, APOSC_16678, APOSC_19749, APOSC_06066, APOSC_04391
OG0000012	AENJA_02869	APOSC_26545
OG0000013	AENJA_11516	APOSC_16736
OG0000014	AENJA_09518, AENJA_09012	APOSC_12674
OG0000014	AENJA_12276, AENJA_23299	APOSC_19789
OG0000014	AENJA_25536	APOSC_00187
OG0000015	AENJA_19634	APOSC_08494
OG0000015	AENJA_25011	APOSC_14290, APOSC_28281, APOSC_03142
OG0000015	AENJA_18653	APOSC_04279
OG0000016	AENJA_04814, AENJA_14549	APOSC_05404
OG0000016	AENJA_07664	APOSC_06852, APOSC_19259
OG0000016	AENJA_11513	APOSC_09216
OG0000016	AENJA_26671, AENJA_26677	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907
OG0000016	AENJA_21813, AENJA_16651	APOSC_26372, APOSC_26868, APOSC_26028
OG0000016	AENJA_02781	APOSC_14883
OG0000017	AENJA_08416, AENJA_23360	APOSC_21350
OG0000017	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492	APOSC_13768, APOSC_04701
OG0000017	AENJA_25974, AENJA_24207, AENJA_07794, AENJA_19441, AENJA_07002, AENJA_08981	APOSC_10126
OG0000017	AENJA_00793	APOSC_04363
OG0000017	AENJA_05284, AENJA_20820, AENJA_23397	APOSC_17962
OG0000017	AENJA_20255, AENJA_12755, AENJA_11961, AENJA_18790, AENJA_13918, AENJA_10470, AENJA_03539, AENJA_15181	APOSC_16160
OG0000017	AENJA_16724, AENJA_21433, AENJA_25229, AENJA_26186	APOSC_27563
