Orthogroup	AENJA_ok	HUMAN
OG0000000	AENJA_00110	HUMAN22097, HUMAN03752
OG0000000	AENJA_23461	HUMAN27271, HUMAN18431
OG0000000	AENJA_26081	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	AENJA_24355	HUMAN03687, HUMAN17114, HUMAN03688
OG0000000	AENJA_23544	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	AENJA_09172	HUMAN03805, HUMAN22626
OG0000000	AENJA_01537	HUMAN29337, HUMAN01254
OG0000000	AENJA_00111, AENJA_09519	HUMAN28889, HUMAN05731
OG0000000	AENJA_07481	HUMAN03433
OG0000000	AENJA_25905	HUMAN02527
OG0000000	AENJA_15854	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096
OG0000000	AENJA_12748	HUMAN07512, HUMAN22413
OG0000000	AENJA_15855	HUMAN12896, HUMAN26097
OG0000000	AENJA_12751	HUMAN07513
OG0000000	AENJA_05807	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515
OG0000000	AENJA_15859	HUMAN26099, HUMAN06518, HUMAN12899
OG0000000	AENJA_15861	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	AENJA_22692	HUMAN27325, HUMAN27326
OG0000000	AENJA_20015	HUMAN12743, HUMAN26016
OG0000000	AENJA_21459	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	AENJA_01755	HUMAN26107, HUMAN17898
OG0000000	AENJA_10279	HUMAN22230
OG0000000	AENJA_05264	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	AENJA_18954	HUMAN18756
OG0000000	AENJA_18955	HUMAN08319
OG0000001	AENJA_17575	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000001	AENJA_09293	HUMAN14511
OG0000001	AENJA_01446	HUMAN10621, HUMAN10623
OG0000002	AENJA_19547, AENJA_15292	HUMAN22770
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	HUMAN04207, HUMAN20269
OG0000002	AENJA_00531, AENJA_22262, AENJA_16411	HUMAN20270
OG0000003	AENJA_02043	HUMAN10010
OG0000004	AENJA_08681, AENJA_23847	HUMAN27464
OG0000004	AENJA_18812, AENJA_09022	HUMAN05919, HUMAN05921, HUMAN01911
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	HUMAN23763, HUMAN23764
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	HUMAN01465
OG0000006	AENJA_18510	HUMAN30182, HUMAN30280, HUMAN21060
OG0000006	AENJA_22158	HUMAN00944
OG0000006	AENJA_13126	HUMAN22351, HUMAN05133
OG0000006	AENJA_02691	HUMAN21718, HUMAN29537
OG0000006	AENJA_20911	HUMAN02118, HUMAN29294
OG0000006	AENJA_07226	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	AENJA_22522	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	AENJA_09814	HUMAN25905
OG0000006	AENJA_00662	HUMAN23524
OG0000006	AENJA_07549, AENJA_15373	HUMAN03111
OG0000006	AENJA_18450	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	AENJA_01590	HUMAN08856, HUMAN19716
OG0000006	AENJA_09210	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	AENJA_15474	HUMAN24331
OG0000007	AENJA_18325	HUMAN24418, HUMAN11538
OG0000007	AENJA_18163	HUMAN09570, HUMAN28803
OG0000007	AENJA_00810	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	AENJA_25020	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	AENJA_23908	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	AENJA_19234	HUMAN21567
OG0000007	AENJA_18326	HUMAN11539
OG0000007	AENJA_06479, AENJA_16018	HUMAN28408
OG0000007	AENJA_18328	HUMAN24417, HUMAN11533
OG0000007	AENJA_07359	HUMAN13635
OG0000007	AENJA_09687	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	AENJA_07358	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	AENJA_11277	HUMAN25936, HUMAN13634
OG0000007	AENJA_22886	HUMAN13395
OG0000007	AENJA_16981	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	AENJA_26507	HUMAN08248
OG0000008	AENJA_15934, AENJA_26738	HUMAN14538, HUMAN01095
OG0000008	AENJA_24404, AENJA_14450	HUMAN29311, HUMAN29312
OG0000010	AENJA_20491	HUMAN16120
OG0000010	AENJA_00347	HUMAN06405, HUMAN06406
OG0000011	AENJA_03543, AENJA_24193	HUMAN08916
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	AENJA_02869	HUMAN11190
OG0000014	AENJA_25536	HUMAN25476, HUMAN30053
OG0000015	AENJA_19636	HUMAN24177, HUMAN22373, HUMAN09170
OG0000015	AENJA_18653	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	AENJA_17614, AENJA_19630	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000015	AENJA_02597	HUMAN30169, HUMAN09177
