Orthogroup	AENJA_ok	STRPU_ok
OG0000000	AENJA_00110	STRPU_10146, STRPU_10084
OG0000000	AENJA_23461	STRPU_22262
OG0000000	AENJA_26081	STRPU_10304
OG0000000	AENJA_09148	STRPU_10010
OG0000000	AENJA_23544	STRPU_10083, STRPU_10145
OG0000000	AENJA_09172	STRPU_10015
OG0000000	AENJA_06471	STRPU_10016
OG0000000	AENJA_01537	STRPU_19865, STRPU_19892
OG0000000	AENJA_09519	STRPU_02929
OG0000000	AENJA_01531	STRPU_19906
OG0000000	AENJA_05531	STRPU_23673, STRPU_23648
OG0000000	AENJA_07481	STRPU_09982, STRPU_09961
OG0000000	AENJA_25905	STRPU_20780
OG0000000	AENJA_15854	STRPU_23206
OG0000000	AENJA_12748	STRPU_05654
OG0000000	AENJA_15858	STRPU_23203
OG0000000	AENJA_12751	STRPU_05390
OG0000000	AENJA_05807	STRPU_23197, STRPU_23198
OG0000000	AENJA_05798	STRPU_23196
OG0000000	AENJA_15861	STRPU_23194
OG0000000	AENJA_05799	STRPU_23195
OG0000000	AENJA_22692	STRPU_23756
OG0000000	AENJA_20015	STRPU_22253
OG0000000	AENJA_05802	STRPU_23200
OG0000000	AENJA_19519	STRPU_25072
OG0000000	AENJA_10529	STRPU_23201
OG0000000	AENJA_19329	STRPU_25677
OG0000000	AENJA_10530	STRPU_23202
OG0000000	AENJA_21459	STRPU_05830
OG0000000	AENJA_01755	STRPU_23207
OG0000000	AENJA_10279	STRPU_10189
OG0000000	AENJA_05264	STRPU_09890
OG0000000	AENJA_18954	STRPU_21017
OG0000000	AENJA_18955	STRPU_21014
OG0000001	AENJA_26229	STRPU_05173, STRPU_05094
OG0000001	AENJA_06007	STRPU_00074
OG0000001	AENJA_04483, AENJA_26118, AENJA_17575	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	AENJA_01446	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227
OG0000001	AENJA_05207, AENJA_05206	STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067
OG0000002	AENJA_03072	STRPU_21867
OG0000002	AENJA_19547	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083
OG0000002	AENJA_22262	STRPU_20582, STRPU_20566
OG0000002	AENJA_05471, AENJA_03252	STRPU_00361
OG0000003	AENJA_04022	STRPU_24147, STRPU_06865
OG0000003	AENJA_13323	STRPU_04933, STRPU_22487, STRPU_22462, STRPU_22485, STRPU_08169, STRPU_07935, STRPU_22967
OG0000003	AENJA_03129	STRPU_21266
OG0000003	AENJA_06624	STRPU_08968, STRPU_08981
OG0000003	AENJA_13805	STRPU_02656, STRPU_06609
OG0000003	AENJA_21345	STRPU_07634
OG0000003	AENJA_21338	STRPU_02120, STRPU_20651
OG0000003	AENJA_15443	STRPU_05808, STRPU_19339
OG0000003	AENJA_02043	STRPU_15479, STRPU_02103, STRPU_20154
OG0000004	AENJA_16036	STRPU_27431
OG0000004	AENJA_23066	STRPU_07696, STRPU_07682
OG0000004	AENJA_15703	STRPU_04563
OG0000004	AENJA_03929	STRPU_26215, STRPU_26214
OG0000004	AENJA_25009	STRPU_26969
OG0000004	AENJA_07458	STRPU_07761, STRPU_07767, STRPU_15502, STRPU_03859, STRPU_25874, STRPU_03860
OG0000004	AENJA_04481	STRPU_14052, STRPU_24326, STRPU_12010, STRPU_01672, STRPU_12009, STRPU_19328, STRPU_27014, STRPU_12971, STRPU_20214, STRPU_02497, STRPU_15118, STRPU_09105, STRPU_02076, STRPU_24332, STRPU_03320, STRPU_03321
OG0000004	AENJA_23393, AENJA_18495	STRPU_03895
OG0000004	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459	STRPU_01396, STRPU_08764, STRPU_27011, STRPU_08312, STRPU_01394, STRPU_01395, STRPU_08765, STRPU_01399, STRPU_26705, STRPU_26709, STRPU_26707, STRPU_26711
OG0000004	AENJA_18812, AENJA_09022	STRPU_19329
OG0000004	AENJA_08909	STRPU_14686, STRPU_14682
OG0000004	AENJA_04874	STRPU_11682, STRPU_08661, STRPU_11826, STRPU_11842, STRPU_19610
OG0000005	AENJA_12565	STRPU_18110, STRPU_02307, STRPU_02309
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	STRPU_17631, STRPU_02287
OG0000005	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129	STRPU_02285, STRPU_00429, STRPU_17634, STRPU_02288, STRPU_17632, STRPU_02286, STRPU_17633, STRPU_19124, STRPU_02289, STRPU_17623, STRPU_02297, STRPU_17967, STRPU_17969, STRPU_02293, STRPU_02291, STRPU_02294, STRPU_17627, STRPU_17624, STRPU_02296, STRPU_17968, STRPU_17713, STRPU_17714, STRPU_21910, STRPU_15486, STRPU_15487, STRPU_22203, STRPU_22202, STRPU_17272
