Orthogroup	AENJA_ok	BRAFL
OG0000000	AENJA_00110	bflo_10712, bflo_10733
OG0000000	AENJA_23461	bflo_04183
OG0000000	AENJA_26081	bflo_24421, bflo_24425, bflo_09165
OG0000000	AENJA_24355	bflo_24954
OG0000000	AENJA_09148	bflo_08798
OG0000000	AENJA_23544	bflo_09701
OG0000000	AENJA_09172	bflo_10072
OG0000000	AENJA_06471	bflo_10147
OG0000000	AENJA_01537	bflo_16599
OG0000000	AENJA_09519	bflo_24252
OG0000000	AENJA_01531	bflo_16111
OG0000000	AENJA_05531	bflo_26435
OG0000000	AENJA_07481	bflo_10637
OG0000000	AENJA_25905	bflo_19045
OG0000000	AENJA_15854	bflo_00191
OG0000000	AENJA_12748	bflo_15523
OG0000000	AENJA_15855	bflo_00189, bflo_00196
OG0000000	AENJA_05807	bflo_00195
OG0000000	AENJA_15859	bflo_00192
OG0000000	AENJA_15861	bflo_00197
OG0000000	AENJA_22692	bflo_00617, bflo_23916
OG0000000	AENJA_20015	bflo_00176
OG0000000	AENJA_21459, AENJA_05805	bflo_14857
OG0000000	AENJA_01755	bflo_26417, bflo_00526
OG0000000	AENJA_10279	bflo_10437
OG0000000	AENJA_05264	bflo_10148
OG0000000	AENJA_18955	bflo_18457
OG0000001	AENJA_05757, AENJA_05760, AENJA_26229	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507
OG0000001	AENJA_06007	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927
OG0000001	AENJA_26118, AENJA_17575	bflo_13782, bflo_21347, bflo_23767, bflo_16185
OG0000001	AENJA_09293	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469
OG0000001	AENJA_01446, AENJA_05207, AENJA_05206	bflo_24437, bflo_24440
OG0000002	AENJA_03072	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
OG0000002	AENJA_19547, AENJA_15292	bflo_03228, bflo_21287, bflo_03227, bflo_23657
OG0000003	AENJA_21348	bflo_02237
OG0000003	AENJA_13323	bflo_01321
OG0000003	AENJA_21338	bflo_24207, bflo_19873, bflo_26986, bflo_08714
OG0000003	AENJA_02043	bflo_22230, bflo_24151, bflo_26929, bflo_27439
OG0000004	AENJA_02270	bflo_00546, bflo_11160
OG0000004	AENJA_23066	bflo_01803
OG0000004	AENJA_15703	bflo_07498, bflo_20660
OG0000004	AENJA_25009	bflo_05437
OG0000004	AENJA_21339	bflo_17240, bflo_00410, bflo_24214, bflo_24400, bflo_08125, bflo_09695, bflo_01777
OG0000004	AENJA_07458	bflo_07950
