Orthogroup	AENJA_ok	SACKO_ok
OG0000000	AENJA_00110	SACKO_12749
OG0000000	AENJA_23461	SACKO_19677
OG0000000	AENJA_26081	SACKO_25619
OG0000000	AENJA_24355	SACKO_25616
OG0000000	AENJA_23544	SACKO_05553
OG0000000	AENJA_09172	SACKO_16683
OG0000000	AENJA_06471	SACKO_25799
OG0000000	AENJA_01537	SACKO_08208, SACKO_08197
OG0000000	AENJA_09519	SACKO_32730, SACKO_17792
OG0000000	AENJA_01531	SACKO_03962
OG0000000	AENJA_05531	SACKO_26485
OG0000000	AENJA_07481	SACKO_31887
OG0000000	AENJA_15854	SACKO_24012
OG0000000	AENJA_12748	SACKO_11590
OG0000000	AENJA_15855	SACKO_24040
OG0000000	AENJA_12751	SACKO_11588
OG0000000	AENJA_05807	SACKO_24002
OG0000000	AENJA_05798	SACKO_24031
OG0000000	AENJA_15859	SACKO_24024
OG0000000	AENJA_15861	SACKO_24025
OG0000000	AENJA_22692	SACKO_26673
OG0000000	AENJA_20015	SACKO_06485
OG0000000	AENJA_05802	SACKO_23999
OG0000000	AENJA_19519	SACKO_23994, SACKO_24038
OG0000000	AENJA_21459	SACKO_11599
OG0000000	AENJA_01755	SACKO_22872
OG0000000	AENJA_10279	SACKO_31901
OG0000000	AENJA_05264	SACKO_31899
OG0000000	AENJA_18954	SACKO_11978
OG0000000	AENJA_18955	SACKO_12011
OG0000001	AENJA_04021	SACKO_04731
OG0000001	AENJA_06007	SACKO_04733
OG0000001	AENJA_16692	SACKO_14088
OG0000001	AENJA_26118, AENJA_17575	SACKO_04743, SACKO_04719, SACKO_23106
OG0000001	AENJA_01446, AENJA_05207, AENJA_05206	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	AENJA_03072	SACKO_14603
OG0000002	AENJA_19547	SACKO_11085
OG0000002	AENJA_15292	SACKO_21630, SACKO_21632
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	AENJA_00531, AENJA_22262, AENJA_16411	SACKO_13458
OG0000002	AENJA_05471, AENJA_03252	SACKO_00245, SACKO_00252
OG0000003	AENJA_21348	SACKO_29380
OG0000003	AENJA_06624	SACKO_16447
OG0000003	AENJA_06107	SACKO_25210, SACKO_25215
OG0000004	AENJA_23066	SACKO_20602
OG0000004	AENJA_15703	SACKO_02249
OG0000004	AENJA_25009	SACKO_16987
OG0000004	AENJA_07458, AENJA_04481	SACKO_20132
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	AENJA_17584	SACKO_20137
OG0000005	AENJA_12565	SACKO_14812
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	SACKO_15042
OG0000005	AENJA_12050	SACKO_08146
OG0000005	AENJA_24820	SACKO_03236
OG0000005	AENJA_09577	SACKO_21908
OG0000006	AENJA_18239	SACKO_23311, SACKO_02952
OG0000006	AENJA_18510	SACKO_21953
OG0000006	AENJA_22158	SACKO_11503
OG0000006	AENJA_13126	SACKO_02616
OG0000006	AENJA_20911	SACKO_13650
OG0000006	AENJA_22522	SACKO_23250
OG0000006	AENJA_09814	SACKO_15817
OG0000006	AENJA_09813	SACKO_15812
OG0000006	AENJA_00662	SACKO_32444
OG0000006	AENJA_07549	SACKO_12590
OG0000006	AENJA_15373	SACKO_14761, SACKO_02017
OG0000006	AENJA_18450	SACKO_06429
OG0000006	AENJA_01590	SACKO_32477
OG0000006	AENJA_09210	SACKO_20803
OG0000006	AENJA_15474	SACKO_32388
OG0000007	AENJA_18325	SACKO_33112
OG0000007	AENJA_18163	SACKO_16486
OG0000007	AENJA_00810	SACKO_25751
OG0000007	AENJA_25020	SACKO_17363
OG0000007	AENJA_23908	SACKO_03410
OG0000007	AENJA_18326	SACKO_33128
OG0000007	AENJA_06479, AENJA_16018	SACKO_15684
OG0000007	AENJA_18328	SACKO_22717
OG0000007	AENJA_07512	SACKO_15952
OG0000007	AENJA_11851	SACKO_04591
OG0000007	AENJA_07359	SACKO_00920
OG0000007	AENJA_09687	SACKO_27771
OG0000007	AENJA_07358	SACKO_27817
OG0000007	AENJA_11277	SACKO_00927
OG0000007	AENJA_22886	SACKO_02233
OG0000007	AENJA_20902	SACKO_03579
OG0000007	AENJA_16981	SACKO_31073
OG0000007	AENJA_26507	SACKO_11981
