Orthogroup	SCHMD	HELIO_ok
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	HELIO_01999
OG0000000	SCHMD20523, SCHMD24588	HELIO_06752
OG0000000	SCHMD03805	HELIO_10666
OG0000000	SCHMD20256, SCHMD22099	HELIO_00795
OG0000000	SCHMD27182, SCHMD16896	HELIO_03148
OG0000000	SCHMD28523	HELIO_09005
OG0000000	SCHMD21303	HELIO_00534
OG0000000	SCHMD01868, SCHMD02255	HELIO_08573
OG0000000	SCHMD24693	HELIO_06829
OG0000000	SCHMD13268	HELIO_00816, HELIO_04090
OG0000002	SCHMD15297	HELIO_06844
OG0000003	SCHMD00325	HELIO_06283, HELIO_06076, HELIO_08521, HELIO_05042, HELIO_00523, HELIO_01732, HELIO_04717, HELIO_10386, HELIO_04687, HELIO_09894, HELIO_06251, HELIO_00920, HELIO_07587
OG0000003	SCHMD14033	HELIO_07060, HELIO_05284
OG0000005	SCHMD15919	HELIO_00211, HELIO_09686
OG0000006	SCHMD09638	HELIO_04245, HELIO_08707, HELIO_08259, HELIO_08264, HELIO_06349, HELIO_00150, HELIO_12770, HELIO_10345
OG0000006	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341	HELIO_08890
OG0000006	SCHMD13710	HELIO_11381, HELIO_00450
OG0000007	SCHMD12323	HELIO_01296
OG0000007	SCHMD08294	HELIO_00643
OG0000007	SCHMD22164, SCHMD13502	HELIO_06396
OG0000007	SCHMD14635, SCHMD17075	HELIO_00352
OG0000007	SCHMD03666	HELIO_11362
OG0000007	SCHMD12296, SCHMD02893	HELIO_04873
OG0000007	SCHMD08423	HELIO_06738
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	HELIO_03703, HELIO_07978
OG0000007	SCHMD19134	HELIO_03118
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	HELIO_07991
OG0000007	SCHMD02246	HELIO_11721
OG0000008	SCHMD02053	HELIO_10953, HELIO_01917
OG0000011	SCHMD05659	HELIO_01241, HELIO_00959
OG0000011	SCHMD25643	HELIO_09607
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	HELIO_04072, HELIO_05750
OG0000016	SCHMD21264, SCHMD01350, SCHMD17302	HELIO_04641
OG0000016	SCHMD02183	HELIO_04647
