Orthogroup	SCHMD	LYTVA_ok
OG0000000	SCHMD15791	LYTVA_09514
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	LYTVA_01679
OG0000000	SCHMD09645	LYTVA_23170
OG0000000	SCHMD20523, SCHMD24588	LYTVA_01827
OG0000000	SCHMD03805	LYTVA_18988
OG0000000	SCHMD20256, SCHMD22099	LYTVA_18985
OG0000000	SCHMD03766	LYTVA_27688
OG0000000	SCHMD28523	LYTVA_21959
OG0000000	SCHMD18969	LYTVA_08678
OG0000000	SCHMD08046	LYTVA_08668
OG0000000	SCHMD22390, SCHMD21735	LYTVA_22477
OG0000000	SCHMD21303	LYTVA_23047
OG0000000	SCHMD01868	LYTVA_06897
OG0000000	SCHMD02255	LYTVA_22068
OG0000000	SCHMD11888, SCHMD08259	LYTVA_09826
OG0000000	SCHMD24693	LYTVA_19015
OG0000000	SCHMD05281, SCHMD04291	LYTVA_26599
OG0000000	SCHMD13268	LYTVA_17046, LYTVA_23349, LYTVA_23351
OG0000002	SCHMD02695	LYTVA_21553
OG0000003	SCHMD14034	LYTVA_21164, LYTVA_26275
OG0000003	SCHMD00325	LYTVA_23212, LYTVA_20987
OG0000003	SCHMD11370, SCHMD05302, SCHMD14033, SCHMD00694, SCHMD23428	LYTVA_11643
OG0000004	SCHMD20392, SCHMD06188	LYTVA_03323
OG0000004	SCHMD22004	LYTVA_07389, LYTVA_03537
OG0000004	SCHMD06794	LYTVA_13802
OG0000005	SCHMD06848	LYTVA_24142
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	LYTVA_01017
OG0000005	SCHMD06849	LYTVA_15338, LYTVA_23825
OG0000005	SCHMD15919	LYTVA_21111, LYTVA_05821
OG0000006	SCHMD07888, SCHMD24507	LYTVA_27651
OG0000006	SCHMD00178	LYTVA_21289
OG0000006	SCHMD18704	LYTVA_12321
OG0000006	SCHMD09638	LYTVA_03511, LYTVA_25253, LYTVA_07373, LYTVA_23957, LYTVA_14827, LYTVA_29757
OG0000006	SCHMD13710	LYTVA_29412, LYTVA_25462
OG0000006	SCHMD18814	LYTVA_08878
OG0000007	SCHMD12323	LYTVA_29912
OG0000007	SCHMD08294	LYTVA_23216
OG0000007	SCHMD22164, SCHMD13502	LYTVA_18159
OG0000007	SCHMD14635, SCHMD17075	LYTVA_27359
OG0000007	SCHMD12296, SCHMD02893	LYTVA_17245, LYTVA_04121
OG0000007	SCHMD08423	LYTVA_25288
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	LYTVA_03206, LYTVA_12379, LYTVA_12378
OG0000007	SCHMD19134	LYTVA_12480
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	LYTVA_06652
OG0000007	SCHMD02246	LYTVA_05177
OG0000008	SCHMD02053	LYTVA_29228
OG0000010	SCHMD14528	LYTVA_09270
OG0000011	SCHMD05659	LYTVA_13841, LYTVA_28284
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	LYTVA_11199, LYTVA_24773, LYTVA_27764
OG0000012	SCHMD06045, SCHMD22580	LYTVA_24416
OG0000015	SCHMD16724	LYTVA_26004
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	LYTVA_26002
OG0000015	SCHMD21895, SCHMD16722	LYTVA_06792
OG0000017	SCHMD13346	LYTVA_11588, LYTVA_10434, LYTVA_20423, LYTVA_02523, LYTVA_13694, LYTVA_17853, LYTVA_14292, LYTVA_04996, LYTVA_19500, LYTVA_26436, LYTVA_25313, LYTVA_06162, LYTVA_26989, LYTVA_01310, LYTVA_21335, LYTVA_04412, LYTVA_21763, LYTVA_13468, LYTVA_16812, LYTVA_26507
OG0000018	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969	LYTVA_29857
OG0000019	SCHMD12011, SCHMD20948, SCHMD23009	LYTVA_17120
OG0000019	SCHMD07568	LYTVA_18162
OG0000020	SCHMD01272	LYTVA_00541, LYTVA_04295
OG0000020	SCHMD00005	LYTVA_19355
OG0000020	SCHMD08736	LYTVA_21318
OG0000020	SCHMD09886	LYTVA_23496
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	LYTVA_23009
OG0000021	SCHMD05055, SCHMD22715, SCHMD07894	LYTVA_14789
OG0000021	SCHMD09794	LYTVA_10118
OG0000021	SCHMD10526, SCHMD19498	LYTVA_02440
OG0000021	SCHMD09793, SCHMD07893	LYTVA_14564
OG0000023	SCHMD05376	LYTVA_24785
OG0000026	SCHMD10899	LYTVA_08598, LYTVA_05009, LYTVA_02302
OG0000026	SCHMD22460	LYTVA_19796
OG0000028	SCHMD22912, SCHMD03422	LYTVA_11085
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	LYTVA_12763
OG0000029	SCHMD15862	LYTVA_19314
OG0000029	SCHMD21600, SCHMD23194, SCHMD18727	LYTVA_19555, LYTVA_01403, LYTVA_23870
OG0000030	SCHMD19597, SCHMD15689, SCHMD26547	LYTVA_02137
OG0000030	SCHMD17295	LYTVA_13667
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	LYTVA_26760
