Orthogroup	SCHMD	ASTMX
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	ASTMX02793
OG0000000	SCHMD09645	ASTMX17483, ASTMX11444
OG0000000	SCHMD20523, SCHMD24588	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970
OG0000000	SCHMD03805	ASTMX12494, ASTMX05790, ASTMX17479
OG0000000	SCHMD09133, SCHMD27825	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	SCHMD27182, SCHMD16896	ASTMX10847
OG0000000	SCHMD18969	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	SCHMD08046	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164
OG0000000	SCHMD22390, SCHMD21735	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	SCHMD21303	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	SCHMD01868	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	SCHMD24693	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	SCHMD05281, SCHMD04291	ASTMX17267, ASTMX11612, ASTMX02802
OG0000000	SCHMD13268	ASTMX17266, ASTMX02801, ASTMX07975, ASTMX09511, ASTMX08520
OG0000002	SCHMD15297	ASTMX20125
OG0000003	SCHMD00325	ASTMX04234
OG0000004	SCHMD20392, SCHMD06188	ASTMX13906
OG0000006	SCHMD00178	ASTMX16363, ASTMX04345
OG0000006	SCHMD18704	ASTMX11700, ASTMX00138
OG0000006	SCHMD09638	ASTMX12191, ASTMX07931, ASTMX15917, ASTMX06292, ASTMX15319, ASTMX03256, ASTMX09680, ASTMX14682, ASTMX19702, ASTMX21126, ASTMX03352
OG0000006	SCHMD23237	ASTMX06644
OG0000006	SCHMD13710	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	SCHMD18814	ASTMX10604
OG0000007	SCHMD12323	ASTMX14980
OG0000007	SCHMD08294	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	SCHMD03666	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	SCHMD12296, SCHMD02893	ASTMX20070, ASTMX22376, ASTMX11119, ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	ASTMX18062, ASTMX21262, ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	SCHMD19134	ASTMX04966, ASTMX11650
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	ASTMX18779, ASTMX07711
OG0000007	SCHMD02246	ASTMX10986, ASTMX01681, ASTMX08450
OG0000011	SCHMD05659	ASTMX21233, ASTMX01926
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	ASTMX22063, ASTMX16492
OG0000015	SCHMD16724	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000016	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	ASTMX17393
OG0000016	SCHMD16694	ASTMX00540
OG0000016	SCHMD02183	ASTMX02874
OG0000016	SCHMD09773, SCHMD05700	ASTMX17395
OG0000020	SCHMD00005	ASTMX04834
OG0000020	SCHMD08736	ASTMX22432
OG0000020	SCHMD09886	ASTMX14060
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	ASTMX17320
OG0000021	SCHMD09794	ASTMX00201, ASTMX09085
OG0000021	SCHMD09793, SCHMD07893	ASTMX21461, ASTMX05545
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	ASTMX09336
OG0000023	SCHMD04923	ASTMX09201
OG0000023	SCHMD05376	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000027	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531	ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713
OG0000028	SCHMD01093	ASTMX18482, ASTMX18778
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	ASTMX01721, ASTMX15155, ASTMX14212
OG0000030	SCHMD19597, SCHMD15689, SCHMD26547	ASTMX22473
OG0000030	SCHMD17295	ASTMX06934
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	ASTMX02378, ASTMX18821
OG0000030	SCHMD25391	ASTMX22293
OG0000031	SCHMD16950	ASTMX08659, ASTMX04771, ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571, ASTMX22712
OG0000031	SCHMD11094	ASTMX12572
OG0000031	SCHMD00185	ASTMX11402, ASTMX09693, ASTMX17541
OG0000031	SCHMD17865	ASTMX00710, ASTMX00969, ASTMX17640, ASTMX03912, ASTMX00105, ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725, ASTMX00107, ASTMX04176
OG0000031	SCHMD04192	ASTMX03166
OG0000034	SCHMD13190, SCHMD26745	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519
OG0000034	SCHMD14042	ASTMX15312
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	SCHMD04875	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	SCHMD07081	ASTMX02136
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	ASTMX17732
OG0000035	SCHMD15627, SCHMD19701	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	ASTMX19120
OG0000037	SCHMD19933	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639, ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	ASTMX03275
OG0000038	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983	ASTMX05291
OG0000039	SCHMD12270	ASTMX03851, ASTMX16971, ASTMX14711, ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593, ASTMX10108, ASTMX07819
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746
OG0000043	SCHMD00424	ASTMX12801, ASTMX22617
OG0000043	SCHMD29206, SCHMD09758	ASTMX09533
OG0000044	SCHMD06706	ASTMX17555
OG0000044	SCHMD06550	ASTMX11110
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	ASTMX04258, ASTMX18409
OG0000058	SCHMD04270	ASTMX10002
OG0000058	SCHMD06371	ASTMX01061
OG0000059	SCHMD15435, SCHMD14720, SCHMD05184, SCHMD07481, SCHMD24928	ASTMX21875
OG0000060	SCHMD03062	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000061	SCHMD24930	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	SCHMD11039	ASTMX18729, ASTMX15987
OG0000062	SCHMD03372	ASTMX22952
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	ASTMX03300, ASTMX18476, ASTMX18478, ASTMX18474, ASTMX18479, ASTMX22500, ASTMX18477, ASTMX11236, ASTMX20466, ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342, ASTMX01260
OG0000063	SCHMD04855	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	SCHMD09653	ASTMX11259, ASTMX01032
OG0000063	SCHMD24452	ASTMX13777
OG0000063	SCHMD26478, SCHMD21709	ASTMX12583
OG0000065	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454
OG0000066	SCHMD06030	ASTMX01776
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	ASTMX03045, ASTMX22587, ASTMX22308
OG0000069	SCHMD05798, SCHMD12262	ASTMX20491
OG0000070	SCHMD06745	ASTMX03868, ASTMX11850
OG0000070	SCHMD27266, SCHMD15308	ASTMX10727
OG0000072	SCHMD10090	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521
OG0000073	SCHMD13212, SCHMD07291, SCHMD22957	ASTMX22931
OG0000075	SCHMD10965	ASTMX12169, ASTMX18152
OG0000075	SCHMD03704	ASTMX01001, ASTMX08839, ASTMX10263
OG0000075	SCHMD21424	ASTMX12953, ASTMX02098
OG0000077	SCHMD17571	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	SCHMD23576	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000078	SCHMD04824, SCHMD04525	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	SCHMD06941, SCHMD04736	ASTMX02943
OG0000080	SCHMD10387, SCHMD06434	ASTMX22762, ASTMX21534, ASTMX03885, ASTMX23043, ASTMX23016
OG0000082	SCHMD03263, SCHMD10119	ASTMX06917
OG0000082	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	ASTMX10849, ASTMX11876, ASTMX19980
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810
OG0000085	SCHMD12836	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	SCHMD12466	ASTMX19538
OG0000085	SCHMD18327	ASTMX21189, ASTMX20129
OG0000087	SCHMD09405, SCHMD09406	ASTMX06968
OG0000087	SCHMD09403	ASTMX08354
OG0000087	SCHMD03394	ASTMX08347
OG0000087	SCHMD23919	ASTMX17718
OG0000087	SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336	ASTMX17716
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769
OG0000094	SCHMD23746	ASTMX03425
OG0000094	SCHMD18376, SCHMD14753	ASTMX08393
OG0000094	SCHMD26804	ASTMX08391
OG0000094	SCHMD21133, SCHMD07079	ASTMX19353
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671
OG0000096	SCHMD07753	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	SCHMD18607	ASTMX08845
OG0000096	SCHMD10033	ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959
OG0000097	SCHMD22037, SCHMD20326	ASTMX17212, ASTMX17215, ASTMX17211
OG0000098	SCHMD29644, SCHMD22119	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	ASTMX21430
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707
OG0000103	SCHMD29081, SCHMD19673	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	SCHMD08147	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	ASTMX14703, ASTMX18591, ASTMX08015, ASTMX03154, ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462
OG0000110	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056, SCHMD11887	ASTMX08508
OG0000113	SCHMD06629, SCHMD02664	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390
OG0000114	SCHMD19276	ASTMX06800
