Orthogroup	SCHMD	AMPFI_ok
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	AMPFI_12098
OG0000000	SCHMD09645	AMPFI_16114
OG0000000	SCHMD20523, SCHMD24588	AMPFI_12336
OG0000000	SCHMD20256, SCHMD22099	AMPFI_16025
OG0000000	SCHMD09133, SCHMD27825	AMPFI_08228
OG0000000	SCHMD01868	AMPFI_12478
OG0000000	SCHMD05281, SCHMD04291	AMPFI_21326
OG0000000	SCHMD13268	AMPFI_01589, AMPFI_10655
OG0000001	SCHMD23406, SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603	AMPFI_25090
OG0000001	SCHMD16091	AMPFI_03160
OG0000001	SCHMD02916	AMPFI_08190, AMPFI_16435
OG0000002	SCHMD15297	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336
OG0000002	SCHMD02695	AMPFI_16931, AMPFI_22489
OG0000003	SCHMD14034	AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064
OG0000003	SCHMD24187, SCHMD29314, SCHMD02634	AMPFI_23034, AMPFI_24242
OG0000003	SCHMD00325	AMPFI_13340, AMPFI_02133, AMPFI_10984, AMPFI_16139, AMPFI_15012, AMPFI_02028, AMPFI_17117, AMPFI_14862, AMPFI_13136, AMPFI_02273, AMPFI_14808, AMPFI_19265, AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846, AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596, AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216
OG0000003	SCHMD11370	AMPFI_14507, AMPFI_04480
OG0000003	SCHMD05302	AMPFI_14217, AMPFI_16278
OG0000004	SCHMD20392, SCHMD06188	AMPFI_08378
OG0000004	SCHMD22004	AMPFI_14906
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	AMPFI_18504
OG0000005	SCHMD06849	AMPFI_00525
OG0000006	SCHMD07888, SCHMD24507	AMPFI_24001
OG0000006	SCHMD08632	AMPFI_01603
OG0000006	SCHMD09638	AMPFI_22463, AMPFI_10542, AMPFI_00206, AMPFI_02520, AMPFI_23503
OG0000006	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341	AMPFI_09123
OG0000006	SCHMD13710	AMPFI_18507
OG0000006	SCHMD18814	AMPFI_12555
OG0000007	SCHMD08294	AMPFI_07094
OG0000007	SCHMD22164, SCHMD13502	AMPFI_16775
OG0000007	SCHMD12296, SCHMD02893	AMPFI_15871
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	AMPFI_26059, AMPFI_15806
OG0000007	SCHMD19134	AMPFI_22204
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	AMPFI_08786
OG0000007	SCHMD02246	AMPFI_23280
OG0000010	SCHMD19321	AMPFI_04353
OG0000010	SCHMD16346	AMPFI_20654
OG0000010	SCHMD14061	AMPFI_04364
OG0000011	SCHMD05659	AMPFI_19936, AMPFI_09932, AMPFI_21651, AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672, AMPFI_20419, AMPFI_21616, AMPFI_12025
OG0000011	SCHMD25643	AMPFI_00394
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	AMPFI_05035, AMPFI_18913
OG0000012	SCHMD06045, SCHMD22580	AMPFI_16130
OG0000014	SCHMD18409, SCHMD18786, SCHMD27036	AMPFI_04739
OG0000014	SCHMD11444	AMPFI_03918, AMPFI_12155, AMPFI_04680
OG0000014	SCHMD00336	AMPFI_14991
OG0000014	SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208	AMPFI_21256, AMPFI_03968
OG0000016	SCHMD23829	AMPFI_04995
