Orthogroup	SCHMD	OWEFU
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	SCHMD09645	OFUSG13305.1.p1
OG0000000	SCHMD20523, SCHMD24588	OFUSG05489.1.p1, OFUSG05755.1.p1
OG0000000	SCHMD03805	OFUSG06970.1.p1
OG0000000	SCHMD20256, SCHMD22099	OFUSG05968.1.p1
OG0000000	SCHMD09133, SCHMD27825	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	SCHMD27182, SCHMD16896	OFUSG09074.1.p1
OG0000000	SCHMD28523	OFUSG17443.1.p1
OG0000000	SCHMD18969	OFUSG13332.1.p1
OG0000000	SCHMD08046	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	SCHMD22390, SCHMD21735	OFUSG13337.1.p1, OFUSG13338.1.p1, OFUSG13339.1.p1, OFUSG13340.1.p1
OG0000000	SCHMD21303	OFUSG17003.1.p1
OG0000000	SCHMD01868	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	SCHMD11888, SCHMD08259	OFUSG13341.1.p1
OG0000000	SCHMD24693	OFUSG12947.1.p1
OG0000000	SCHMD05281, SCHMD04291	OFUSG05775.1.p1
OG0000000	SCHMD13268	OFUSG06109.1.p1, OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1, OFUSG21806.1.p1
OG0000001	SCHMD23406	OFUSG07127.1.p1
OG0000001	SCHMD02916	OFUSG06369.1.p1, OFUSG09030.1.p1
OG0000002	SCHMD15297	OFUSG22946.2.p1
OG0000003	SCHMD24187, SCHMD29314, SCHMD02634	OFUSG05190.1.p1, OFUSG05194.1.p1
OG0000003	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092	OFUSG12884.1.p1
OG0000003	SCHMD08141, SCHMD02635, SCHMD12732	OFUSG13877.1.p1, OFUSG13877.2.p1
