Orthogroup	SCHMD	CAPO3
OG0000003	SCHMD14034, SCHMD24187, SCHMD29314, SCHMD02634, SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092, SCHMD08141, SCHMD02635, SCHMD12732, SCHMD00325, SCHMD18315, SCHMD11370, SCHMD05302, SCHMD14033, SCHMD00694, SCHMD23428	CAPO301945
OG0000005	SCHMD06848, SCHMD09862, SCHMD04325, SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757, SCHMD06849, SCHMD15919	CAPO308356, CAPO307946
OG0000006	SCHMD18814	CAPO302620
OG0000007	SCHMD08922, SCHMD00556, SCHMD22068, SCHMD08894, SCHMD06998	CAPO304209
OG0000007	SCHMD19134	CAPO303284
OG0000007	SCHMD02246	CAPO305123
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960, SCHMD06045, SCHMD22580	CAPO302923, CAPO302931
OG0000015	SCHMD16725, SCHMD16724, SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432, SCHMD08587, SCHMD04522, SCHMD13015, SCHMD10907, SCHMD09424, SCHMD18443, SCHMD06091, SCHMD04398, SCHMD21895, SCHMD16722	CAPO302521
OG0000016	SCHMD13029, SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	CAPO304360
OG0000016	SCHMD16694	CAPO306803
OG0000016	SCHMD02183	CAPO303259
OG0000016	SCHMD09773, SCHMD05700	CAPO300936
OG0000023	SCHMD04923, SCHMD05376, SCHMD14075	CAPO307690
OG0000029	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862, SCHMD11804, SCHMD02858, SCHMD00228, SCHMD00039, SCHMD09250, SCHMD09249, SCHMD21600, SCHMD23194, SCHMD18727	CAPO307131
OG0000030	SCHMD17295	CAPO300110
OG0000030	SCHMD20337, SCHMD17827, SCHMD07576, SCHMD09292, SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250, SCHMD20495, SCHMD12490, SCHMD25384, SCHMD27555, SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579, SCHMD25391, SCHMD25427, SCHMD17912, SCHMD19398	CAPO305356, CAPO301638, CAPO307563
OG0000031	SCHMD00185	CAPO308265, CAPO303729, CAPO307573
OG0000031	SCHMD17865	CAPO302122
OG0000035	SCHMD06303, SCHMD10019, SCHMD14794, SCHMD08606, SCHMD15627, SCHMD19701, SCHMD08028, SCHMD13399, SCHMD19456, SCHMD24285, SCHMD27391, SCHMD19457, SCHMD13398, SCHMD15992, SCHMD21366, SCHMD28112, SCHMD23652, SCHMD05993, SCHMD19700, SCHMD08604, SCHMD17446, SCHMD16716	CAPO307346, CAPO308354
OG0000038	SCHMD04461, SCHMD04816, SCHMD04460	CAPO307725
OG0000039	SCHMD12270	CAPO306958, CAPO306959, CAPO302254
OG0000041	SCHMD16871, SCHMD04540, SCHMD27454, SCHMD18676, SCHMD26156, SCHMD24512, SCHMD26802, SCHMD13244, SCHMD23473, SCHMD08254, SCHMD16501, SCHMD03485, SCHMD03487, SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915, SCHMD24513, SCHMD13245, SCHMD18501, SCHMD24533, SCHMD27375, SCHMD19541, SCHMD24652, SCHMD18848, SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856, SCHMD04612, SCHMD18642, SCHMD19674, SCHMD22231, SCHMD13559, SCHMD17541, SCHMD21245, SCHMD24303, SCHMD14104, SCHMD15881, SCHMD26428, SCHMD20308, SCHMD01472, SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	CAPO308025, CAPO306861
OG0000043	SCHMD29320, SCHMD14186, SCHMD13218, SCHMD11361, SCHMD08066	CAPO301478, CAPO305172
OG0000043	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820, SCHMD11455, SCHMD00424, SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068	CAPO308256
OG0000049	SCHMD02961, SCHMD14840, SCHMD07231, SCHMD18899, SCHMD19386, SCHMD26352, SCHMD17006, SCHMD16048, SCHMD25010, SCHMD17007, SCHMD13819, SCHMD22370	CAPO304018
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	CAPO307809, CAPO301249
OG0000055	SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195	CAPO301479, CAPO301432
OG0000056	SCHMD18401, SCHMD20469	CAPO305974, CAPO306012, CAPO306941
OG0000058	SCHMD04270	CAPO305595
OG0000058	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122	CAPO307225
OG0000060	SCHMD28975, SCHMD17528, SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061, SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987, SCHMD16998, SCHMD17292, SCHMD03062	CAPO305373
OG0000062	SCHMD03372, SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	CAPO300910
OG0000063	SCHMD13250, SCHMD04855, SCHMD12212, SCHMD14138, SCHMD05647, SCHMD19061, SCHMD12558, SCHMD09653, SCHMD16488, SCHMD24452, SCHMD26478, SCHMD21709	CAPO300270
OG0000066	SCHMD27134, SCHMD02363, SCHMD06601, SCHMD06030, SCHMD05807, SCHMD11629, SCHMD22506, SCHMD11161, SCHMD06602, SCHMD01861, SCHMD26212, SCHMD01829, SCHMD17583, SCHMD06603, SCHMD09194, SCHMD22265	CAPO308057
OG0000069	SCHMD05798, SCHMD12262	CAPO301523, CAPO305173
OG0000079	SCHMD06941, SCHMD04736	CAPO302518
OG0000082	SCHMD05824, SCHMD03263, SCHMD10119	CAPO304738
OG0000082	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	CAPO300843
OG0000082	SCHMD03363	CAPO306232
OG0000085	SCHMD12837	CAPO303061
OG0000085	SCHMD12836, SCHMD12466, SCHMD18327	CAPO303047
OG0000090	SCHMD10805, SCHMD21388	CAPO304460, CAPO304458, CAPO303991
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761	CAPO301288, CAPO306046
OG0000096	SCHMD07753	CAPO301431
OG0000096	SCHMD18607	CAPO303349
OG0000096	SCHMD10033	CAPO307017
OG0000101	SCHMD06502, SCHMD06505, SCHMD06506	CAPO306858
OG0000103	SCHMD29081, SCHMD19673, SCHMD08147	CAPO302453
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	CAPO300017
OG0000110	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056, SCHMD11887	CAPO300387
OG0000114	SCHMD28859	CAPO302440
OG0000114	SCHMD14331, SCHMD20678, SCHMD12740, SCHMD12417, SCHMD24462	CAPO304415
OG0000119	SCHMD02911, SCHMD07212	CAPO304642
OG0000122	SCHMD00543, SCHMD16641, SCHMD09849, SCHMD16640, SCHMD09850, SCHMD00544	CAPO307824
OG0000124	SCHMD10270, SCHMD10271	CAPO304324
OG0000124	SCHMD08774	CAPO302553
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	CAPO301836
OG0000126	SCHMD24144	CAPO302484
OG0000126	SCHMD06494, SCHMD07751	CAPO306676
OG0000126	SCHMD01813, SCHMD04253, SCHMD01816, SCHMD27922	CAPO300572
OG0000128	SCHMD25789, SCHMD19594	CAPO306991, CAPO304956
OG0000129	SCHMD23245, SCHMD26510, SCHMD08406, SCHMD20816, SCHMD05405, SCHMD19694, SCHMD06183, SCHMD03224, SCHMD24436, SCHMD08405, SCHMD14968, SCHMD17972, SCHMD27382	CAPO303361
OG0000137	SCHMD05813, SCHMD08865, SCHMD09251, SCHMD04306, SCHMD09558	CAPO305369
OG0000142	SCHMD07405, SCHMD02973, SCHMD14341, SCHMD09826, SCHMD07726, SCHMD03243, SCHMD14394, SCHMD01440, SCHMD00718, SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364, SCHMD29515, SCHMD28730, SCHMD18761, SCHMD19018, SCHMD17308	CAPO302031, CAPO302030
OG0000147	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025, SCHMD03558	CAPO305863
OG0000147	SCHMD11968	CAPO308132
OG0000149	SCHMD06205, SCHMD05440	CAPO305206, CAPO306214
OG0000157	SCHMD06364, SCHMD03548, SCHMD06363	CAPO305956
OG0000157	SCHMD21651, SCHMD01456, SCHMD11574, SCHMD05819, SCHMD25811, SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418	CAPO305824
OG0000158	SCHMD09856	CAPO304850
OG0000167	SCHMD16214, SCHMD15187, SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730	CAPO301364, CAPO303476
OG0000171	SCHMD26790, SCHMD13950, SCHMD07239, SCHMD01258, SCHMD16118, SCHMD07241, SCHMD07240	CAPO304813
OG0000174	SCHMD09838, SCHMD22727, SCHMD14760, SCHMD22728, SCHMD08354, SCHMD22729	CAPO304629
OG0000175	SCHMD18439, SCHMD17544	CAPO303513
OG0000179	SCHMD11075	CAPO300694
OG0000179	SCHMD01320	CAPO303342
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	CAPO301108
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328, SCHMD20053, SCHMD26119	CAPO307692
OG0000183	SCHMD22220, SCHMD21103, SCHMD28756	CAPO305638
OG0000183	SCHMD12130, SCHMD10333	CAPO302591, CAPO305829
OG0000192	SCHMD03934	CAPO304141
OG0000193	SCHMD01373, SCHMD03682, SCHMD08341, SCHMD22652, SCHMD22559	CAPO302628
OG0000194	SCHMD11912, SCHMD12565	CAPO305195
OG0000195	SCHMD06851, SCHMD06771, SCHMD25463, SCHMD25751, SCHMD25464, SCHMD06740, SCHMD19007, SCHMD24767, SCHMD19839, SCHMD22974, SCHMD25501	CAPO305454
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	CAPO307729
OG0000201	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519	CAPO300462
OG0000203	SCHMD13221	CAPO302139
OG0000204	SCHMD05946, SCHMD11236, SCHMD20783, SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858, SCHMD00860, SCHMD11235, SCHMD00861	CAPO303090
