Orthogroup	SCHMD	BRAFL
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	bflo_10712, bflo_10733
OG0000000	SCHMD09645	bflo_04183, bflo_26461, bflo_26462
OG0000000	SCHMD20523, SCHMD24588	bflo_09701
OG0000000	SCHMD03805	bflo_10072
OG0000000	SCHMD20256, SCHMD22099	bflo_10147
OG0000000	SCHMD07815	bflo_10759, bflo_10751, bflo_23278
OG0000000	SCHMD09133, SCHMD27825	bflo_16599
OG0000000	SCHMD03766	bflo_16111
OG0000000	SCHMD27182, SCHMD16896	bflo_08732
OG0000000	SCHMD28523	bflo_26435
OG0000000	SCHMD18969	bflo_00191
OG0000000	SCHMD08046	bflo_00189, bflo_00196
OG0000000	SCHMD22390, SCHMD21735	bflo_00195
OG0000000	SCHMD21303	bflo_00617, bflo_23916
OG0000000	SCHMD01868, SCHMD02255	bflo_10639
OG0000000	SCHMD11888, SCHMD08259	bflo_14857
OG0000000	SCHMD24693	bflo_26417, bflo_00526
OG0000000	SCHMD05281, SCHMD04291	bflo_10437
OG0000000	SCHMD13268	bflo_10148, bflo_18457
OG0000001	SCHMD23406, SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603	bflo_27403
OG0000001	SCHMD16091	bflo_23582, bflo_21621
OG0000003	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092	bflo_24207, bflo_19873, bflo_26986, bflo_08714
OG0000003	SCHMD00325	bflo_26930, bflo_19434, bflo_27269, bflo_15766, bflo_22230, bflo_24151, bflo_26929, bflo_27439
OG0000003	SCHMD11370	bflo_26599, bflo_26600, bflo_26598
OG0000003	SCHMD14033	bflo_26004
OG0000005	SCHMD06848	bflo_13407
OG0000005	SCHMD06849	bflo_07266
OG0000005	SCHMD15919	bflo_10917
OG0000006	SCHMD08632	bflo_03612
OG0000006	SCHMD00178	bflo_14856, bflo_15258
OG0000006	SCHMD18704	bflo_22120
OG0000006	SCHMD09638	bflo_22526, bflo_10066, bflo_10065, bflo_12576, bflo_23572, bflo_23665, bflo_23603, bflo_22579, bflo_06220, bflo_09963
OG0000006	SCHMD23237	bflo_08237
OG0000006	SCHMD13710	bflo_08431
OG0000006	SCHMD18814	bflo_10980
OG0000007	SCHMD12323	bflo_13266
OG0000007	SCHMD08294	bflo_16444, bflo_15598
OG0000007	SCHMD22164, SCHMD13502	bflo_06255
OG0000007	SCHMD14635, SCHMD17075	bflo_25603
OG0000007	SCHMD03666	bflo_10207
OG0000007	SCHMD12296, SCHMD02893	bflo_13742, bflo_13892, bflo_13084
OG0000007	SCHMD08423	bflo_00716, bflo_12223, bflo_16800
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	bflo_12369, bflo_21087, bflo_23309
OG0000007	SCHMD19134	bflo_23091
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	bflo_23283
OG0000007	SCHMD02246	bflo_11392
OG0000008	SCHMD02053	bflo_09106, bflo_19282
OG0000010	SCHMD19321	bflo_00973
OG0000010	SCHMD16346	bflo_07912, bflo_08373
OG0000010	SCHMD02594, SCHMD02592	bflo_08401, bflo_23855, bflo_02791, bflo_23795, bflo_23406
OG0000010	SCHMD14061	bflo_21956
OG0000010	SCHMD05789, SCHMD04868	bflo_08393, bflo_07884, bflo_12780, bflo_08406, bflo_13136
OG0000011	SCHMD05659	bflo_20761, bflo_05867
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	bflo_04680, bflo_21369, bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000015	SCHMD16724	bflo_14872
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	bflo_14874
OG0000016	SCHMD02183	bflo_12769
OG0000017	SCHMD13346	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215
OG0000019	SCHMD07568	bflo_06284
OG0000020	SCHMD00005	bflo_19465
OG0000020	SCHMD08736	bflo_19726
OG0000020	SCHMD24153	bflo_13852
OG0000020	SCHMD09886	bflo_12267
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	bflo_16368
OG0000021	SCHMD09794	bflo_12821
OG0000021	SCHMD09793, SCHMD07893	bflo_27402, bflo_22537, bflo_22539, bflo_22305
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000026	SCHMD10899	bflo_21516, bflo_21519, bflo_21523
OG0000026	SCHMD22460	bflo_06473
OG0000028	SCHMD09456, SCHMD01093	bflo_14636, bflo_15358
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	bflo_06341
OG0000029	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862	bflo_00003
OG0000030	SCHMD17295	bflo_08323, bflo_05230
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	bflo_25955
OG0000030	SCHMD25391	bflo_05555, bflo_23730
OG0000030	SCHMD25427	bflo_22462
OG0000031	SCHMD16950	bflo_02624, bflo_02501
OG0000031	SCHMD11094	bflo_02849
OG0000031	SCHMD00185	bflo_06369
OG0000031	SCHMD17865	bflo_11397, bflo_15458, bflo_15459
OG0000032	SCHMD05706, SCHMD26195, SCHMD24540, SCHMD22975, SCHMD09223	bflo_01810
OG0000032	SCHMD05709	bflo_01430
OG0000034	SCHMD26718	bflo_20016
OG0000034	SCHMD13190, SCHMD26745	bflo_20326
OG0000034	SCHMD11160, SCHMD18247	bflo_03308, bflo_13145
OG0000034	SCHMD04875	bflo_05871
OG0000034	SCHMD07081	bflo_03379
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	bflo_02157
OG0000035	SCHMD15627, SCHMD19701	bflo_09767, bflo_09277
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188
OG0000037	SCHMD19933	bflo_18550, bflo_02879, bflo_10999
OG0000037	SCHMD19522, SCHMD00541	bflo_01343
OG0000037	SCHMD00542, SCHMD17538	bflo_01342
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	bflo_10180
OG0000038	SCHMD06293	bflo_16371, bflo_17414, bflo_18868, bflo_18778
OG0000038	SCHMD15420	bflo_16788
OG0000039	SCHMD12270	bflo_02223, bflo_02227, bflo_03136, bflo_27317, bflo_19899, bflo_03164, bflo_20754, bflo_03799, bflo_03159, bflo_03174, bflo_20755, bflo_19898, bflo_16202, bflo_02225, bflo_27318, bflo_00568, bflo_03800, bflo_27127, bflo_15187, bflo_27466, bflo_26974, bflo_01763, bflo_23061, bflo_22995, bflo_23026, bflo_12184, bflo_10698, bflo_10998, bflo_10878, bflo_10625, bflo_09250, bflo_23001, bflo_01761, bflo_10810, bflo_23007, bflo_01762, bflo_15400, bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169, bflo_26070, bflo_06186, bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412, bflo_11811, bflo_15832
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	bflo_18133
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	bflo_09009, bflo_26911, bflo_03344, bflo_12945
OG0000041	SCHMD04612	bflo_18109
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	bflo_05956
OG0000043	SCHMD11455	bflo_21607, bflo_03333, bflo_03334, bflo_21606, bflo_22480, bflo_21604, bflo_03332, bflo_20396, bflo_20397, bflo_26387, bflo_26388, bflo_26390, bflo_26385, bflo_26389, bflo_26386, bflo_01851, bflo_26391, bflo_26228, bflo_17461, bflo_25593, bflo_25594, bflo_25592, bflo_23222, bflo_23223, bflo_23219, bflo_23220, bflo_23221, bflo_23218, bflo_23236, bflo_18646, bflo_23211, bflo_07587
OG0000043	SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068	bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224
OG0000043	SCHMD29206, SCHMD09758	bflo_19214
OG0000044	SCHMD06706	bflo_21420, bflo_01236, bflo_12257
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	bflo_17882, bflo_09143, bflo_09129, bflo_09102, bflo_27224, bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902
OG0000049	SCHMD17006	bflo_24254
OG0000049	SCHMD22370	bflo_17096, bflo_11847
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	bflo_09149, bflo_08177, bflo_07909, bflo_07908, bflo_08424, bflo_08234, bflo_08120, bflo_08121, bflo_08122, bflo_02540, bflo_02589, bflo_02539, bflo_08374, bflo_10741, bflo_06938, bflo_08542, bflo_07135, bflo_08711
OG0000056	SCHMD18401, SCHMD20469	bflo_22428
OG0000057	SCHMD08094	bflo_09753, bflo_09754, bflo_09752, bflo_09751, bflo_09750, bflo_09743, bflo_09742, bflo_09744, bflo_09121, bflo_09741, bflo_09120, bflo_09740, bflo_09749, bflo_21348, bflo_20324, bflo_23697, bflo_24939, bflo_19525, bflo_00567, bflo_15438
OG0000058	SCHMD04270	bflo_09194
OG0000058	SCHMD06371	bflo_23140
OG0000059	SCHMD27096	bflo_14547, bflo_15017
OG0000059	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210, SCHMD05186, SCHMD20166, SCHMD27942, SCHMD05188, SCHMD13278	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815
OG0000060	SCHMD17528	bflo_25984, bflo_26009
OG0000060	SCHMD16998	bflo_26723, bflo_02982, bflo_03812, bflo_03632, bflo_12626, bflo_02984, bflo_03589, bflo_02972, bflo_03696, bflo_03780, bflo_15133, bflo_15228, bflo_04988, bflo_15129, bflo_15134, bflo_15132, bflo_15227, bflo_01835, bflo_00757, bflo_01800
OG0000060	SCHMD17292	bflo_01709
OG0000060	SCHMD03062	bflo_01384
OG0000061	SCHMD24930	bflo_18545
OG0000061	SCHMD11039	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	bflo_17250, bflo_01624, bflo_13529
OG0000063	SCHMD24452	bflo_25923
OG0000063	SCHMD26478, SCHMD21709	bflo_11558
OG0000066	SCHMD06601	bflo_00475, bflo_00473, bflo_00474
OG0000066	SCHMD06030	bflo_04761, bflo_11842
OG0000066	SCHMD05807	bflo_01779, bflo_01780, bflo_03911, bflo_17245, bflo_19059, bflo_20701, bflo_20080, bflo_20702, bflo_02867, bflo_09989
OG0000066	SCHMD11629, SCHMD22506	bflo_19880
OG0000069	SCHMD11437	bflo_05086
OG0000069	SCHMD05798, SCHMD12262	bflo_05168, bflo_23210
OG0000069	SCHMD18974	bflo_07771
OG0000070	SCHMD06745	bflo_17097, bflo_18391, bflo_18274
OG0000070	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858	bflo_27427, bflo_23408
OG0000071	SCHMD08674, SCHMD04226	bflo_03355
OG0000072	SCHMD10090	bflo_14354
OG0000072	SCHMD16868, SCHMD20563	bflo_23475, bflo_03649
OG0000072	SCHMD14329	bflo_08698
OG0000073	SCHMD13212, SCHMD07291, SCHMD22957	bflo_13167
OG0000073	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123	bflo_23562
OG0000075	SCHMD10965	bflo_21844
OG0000075	SCHMD03704	bflo_12189
OG0000075	SCHMD21424	bflo_11040
OG0000077	SCHMD17571	bflo_09725
OG0000077	SCHMD23576	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	bflo_18777, bflo_23174
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	bflo_09163
OG0000077	SCHMD27493	bflo_12964
OG0000078	SCHMD04822, SCHMD04523	bflo_23379, bflo_23493
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	bflo_00523
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	bflo_07371
OG0000079	SCHMD06941, SCHMD04736	bflo_01658, bflo_04787, bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968
OG0000080	SCHMD10387, SCHMD06434	bflo_20693, bflo_04566
OG0000082	SCHMD03263, SCHMD10119	bflo_15900
OG0000082	SCHMD29028	bflo_00187
OG0000082	SCHMD03363	bflo_13856
OG0000083	SCHMD16633	bflo_07981
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	bflo_10754
OG0000084	SCHMD28183	bflo_07855, bflo_08694, bflo_08099
OG0000085	SCHMD12837	bflo_20147
OG0000085	SCHMD12466	bflo_12569
OG0000087	SCHMD09405, SCHMD09406	bflo_21260
OG0000087	SCHMD25358	bflo_15474
OG0000087	SCHMD05857	bflo_08316
OG0000087	SCHMD05855	bflo_08208
OG0000087	SCHMD03393	bflo_07784
OG0000087	SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336	bflo_03240
OG0000090	SCHMD06769	bflo_01805
OG0000093	SCHMD03688, SCHMD07490	bflo_14670
OG0000093	SCHMD04238	bflo_21514, bflo_02944, bflo_02133, bflo_05347, bflo_02787, bflo_02137
OG0000093	SCHMD14744	bflo_19907
OG0000093	SCHMD00352	bflo_22463
OG0000093	SCHMD02917	bflo_26663
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	bflo_15515, bflo_15405, bflo_15517, bflo_27119, bflo_14174, bflo_15413, bflo_15404, bflo_19904, bflo_08402, bflo_20451, bflo_26066, bflo_22106, bflo_08411, bflo_26076, bflo_15244, bflo_15246, bflo_15144, bflo_15245, bflo_12946, bflo_10451, bflo_08956, bflo_13239, bflo_15466, bflo_15075, bflo_11196, bflo_15194, bflo_02688, bflo_10905, bflo_07386
OG0000094	SCHMD21133, SCHMD07079	bflo_16311
OG0000094	SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375	bflo_11484
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512
OG0000096	SCHMD07753	bflo_11038
OG0000096	SCHMD10033	bflo_03032, bflo_18893
OG0000097	SCHMD22037, SCHMD20326	bflo_18852, bflo_24938, bflo_05080, bflo_21325, bflo_05085, bflo_21849, bflo_03707, bflo_05045, bflo_21324, bflo_22420, bflo_11333
OG0000098	SCHMD29644, SCHMD22119	bflo_05564
OG0000099	SCHMD03930, SCHMD15019	bflo_24108, bflo_24745, bflo_24107, bflo_24106, bflo_26082, bflo_20818, bflo_08555, bflo_08438, bflo_06968, bflo_06885, bflo_08703, bflo_06078, bflo_08586, bflo_10326
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	bflo_17705, bflo_18245
OG0000103	SCHMD29081, SCHMD19673	bflo_23149
OG0000103	SCHMD08147	bflo_23791
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	bflo_13898, bflo_13906, bflo_13902, bflo_13905, bflo_13959, bflo_21022, bflo_22434, bflo_24648, bflo_24024, bflo_24023
OG0000107	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934	bflo_03337
OG0000110	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056	bflo_13869, bflo_25534, bflo_09017, bflo_25934, bflo_26322
OG0000110	SCHMD11887	bflo_23445, bflo_05644, bflo_25083, bflo_24963
OG0000113	SCHMD06629, SCHMD02664	bflo_25033, bflo_24791, bflo_00623, bflo_03827, bflo_03944, bflo_03952, bflo_03218, bflo_03217, bflo_01136, bflo_03958, bflo_03967
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	bflo_16447, bflo_20688, bflo_23618, bflo_04836, bflo_00471, bflo_24385, bflo_07559
OG0000115	SCHMD28271, SCHMD15320	bflo_23614
OG0000117	SCHMD02895, SCHMD24345, SCHMD14483, SCHMD27351	bflo_27532
OG0000117	SCHMD07660, SCHMD02896, SCHMD11493	bflo_22010
OG0000117	SCHMD14102	bflo_27311
OG0000119	SCHMD02911	bflo_07858, bflo_19358, bflo_19300, bflo_19582, bflo_19602, bflo_19603, bflo_19479, bflo_18609, bflo_17613
OG0000119	SCHMD07212	bflo_19352
OG0000121	SCHMD07020	bflo_25107, bflo_02806
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	bflo_10734
OG0000124	SCHMD10270, SCHMD10271	bflo_12150, bflo_12152, bflo_22917, bflo_18598
OG0000124	SCHMD11964, SCHMD20871, SCHMD16822	bflo_00313
OG0000124	SCHMD08774	bflo_24557
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	bflo_09507
OG0000126	SCHMD24144	bflo_21252
OG0000126	SCHMD01813, SCHMD04253	bflo_14089
OG0000127	SCHMD21110	bflo_07113, bflo_07092
OG0000127	SCHMD03781	bflo_21827
OG0000128	SCHMD25789, SCHMD19594	bflo_25056, bflo_06196, bflo_05801, bflo_04928, bflo_06174, bflo_04919, bflo_08083, bflo_11997, bflo_11531, bflo_11996, bflo_11513, bflo_13695, bflo_14518, bflo_14769, bflo_20024, bflo_10688
OG0000129	SCHMD23245, SCHMD26510, SCHMD08406	bflo_20410
OG0000129	SCHMD20816	bflo_10761, bflo_09267
OG0000129	SCHMD05405	bflo_24123
OG0000129	SCHMD03224	bflo_21811
OG0000130	SCHMD02824, SCHMD13205	bflo_09285, bflo_18165, bflo_10954
OG0000130	SCHMD17609	bflo_24424, bflo_26104, bflo_25302, bflo_17830, bflo_24242, bflo_08589, bflo_24777
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	bflo_17456, bflo_25589, bflo_26376, bflo_25953, bflo_25590, bflo_25949, bflo_26371, bflo_26369, bflo_26372, bflo_00097, bflo_26373, bflo_26370, bflo_01753, bflo_26374, bflo_03326, bflo_03327, bflo_20394, bflo_21602, bflo_21603, bflo_03325, bflo_23200, bflo_23203, bflo_23205, bflo_23199, bflo_23202
OG0000137	SCHMD04306	bflo_20235, bflo_02070, bflo_04279
OG0000137	SCHMD09558	bflo_17627, bflo_17554, bflo_17629, bflo_17769
OG0000140	SCHMD02421, SCHMD05316, SCHMD01679	bflo_18991
OG0000142	SCHMD14394, SCHMD01440, SCHMD00718	bflo_03118
OG0000145	SCHMD03152	bflo_15672, bflo_15671, bflo_23904, bflo_00014, bflo_03978, bflo_23491, bflo_15651
