Orthogroup	SCHMD	HUMAN
OG0000000	SCHMD15791	HUMAN06514, HUMAN08318
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	HUMAN22097, HUMAN03752
OG0000000	SCHMD09645	HUMAN27271, HUMAN18431
OG0000000	SCHMD20523, SCHMD24588	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	SCHMD03805	HUMAN27740, HUMAN03805, HUMAN22626
OG0000000	SCHMD09133, SCHMD27825	HUMAN29337, HUMAN01254
OG0000000	SCHMD27182, SCHMD16896	HUMAN05644
OG0000000	SCHMD18969	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096
OG0000000	SCHMD08046	HUMAN12896, HUMAN26097
OG0000000	SCHMD22390, SCHMD21735	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515
OG0000000	SCHMD21303	HUMAN27325, HUMAN27326
OG0000000	SCHMD01868	HUMAN22154, HUMAN24253
OG0000000	SCHMD24693	HUMAN26107, HUMAN17898
OG0000000	SCHMD05281, SCHMD04291	HUMAN27579, HUMAN22230
OG0000000	SCHMD13268	HUMAN27580, HUMAN03523, HUMAN24243, HUMAN18756, HUMAN08319
OG0000001	SCHMD23406, SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603	HUMAN10622
OG0000001	SCHMD16091	HUMAN03140, HUMAN03346
OG0000002	SCHMD15297	HUMAN20270
OG0000003	SCHMD00325	HUMAN18698, HUMAN10010
OG0000004	SCHMD20392, SCHMD06188	HUMAN27464
OG0000004	SCHMD22004	HUMAN05920
OG0000006	SCHMD08632	HUMAN17033
OG0000006	SCHMD00178	HUMAN22351, HUMAN05133
OG0000006	SCHMD18704	HUMAN21718, HUMAN29537
OG0000006	SCHMD09638	HUMAN29691, HUMAN01388, HUMAN06884, HUMAN04380, HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640, HUMAN25905, HUMAN23524
OG0000006	SCHMD23237	HUMAN03111
OG0000006	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341	HUMAN14338
OG0000006	SCHMD13710	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	SCHMD18814	HUMAN24331
OG0000007	SCHMD12323	HUMAN24418, HUMAN11538
OG0000007	SCHMD01193	HUMAN18816
OG0000007	SCHMD08294	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	SCHMD17075	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539
OG0000007	SCHMD03666	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	SCHMD12296, SCHMD02893	HUMAN28408, HUMAN24416, HUMAN24417, HUMAN11533
OG0000007	SCHMD08922, SCHMD00556	HUMAN13635
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	HUMAN12258, HUMAN07103, HUMAN07102, HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	SCHMD19134	HUMAN25936, HUMAN13634
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	HUMAN13395
OG0000007	SCHMD02246	HUMAN08248
OG0000010	SCHMD14528	HUMAN16120
OG0000010	SCHMD19321	HUMAN18382
OG0000010	SCHMD12053	HUMAN20806, HUMAN20807
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	SCHMD06045, SCHMD22580	HUMAN11191
OG0000015	SCHMD16724	HUMAN24177, HUMAN22373, HUMAN09170
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	SCHMD21895	HUMAN09177
OG0000016	SCHMD21264, SCHMD01350, SCHMD17302	HUMAN26870
OG0000016	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	HUMAN03528
OG0000016	SCHMD16694	HUMAN07767
OG0000016	SCHMD02183	HUMAN25103
OG0000016	SCHMD09773, SCHMD05700	HUMAN25104
OG0000020	SCHMD01272	HUMAN22329, HUMAN20815
OG0000020	SCHMD00005	HUMAN12659
OG0000020	SCHMD23721	HUMAN17841
OG0000020	SCHMD08736	HUMAN26061
OG0000020	SCHMD09886	HUMAN02350, HUMAN02349
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	HUMAN02145
OG0000021	SCHMD09794	HUMAN11054, HUMAN23166
OG0000021	SCHMD09793, SCHMD07893	HUMAN04273, HUMAN30251
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	HUMAN24068
OG0000023	SCHMD05376	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403
OG0000026	SCHMD10899	HUMAN00402
OG0000026	SCHMD22460	HUMAN26724, HUMAN26725
OG0000027	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000028	SCHMD01093	HUMAN09209
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	HUMAN09193, HUMAN09206
OG0000029	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862	HUMAN15611
OG0000030	SCHMD17295	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	HUMAN01740, HUMAN28679
OG0000031	SCHMD16950	HUMAN17850, HUMAN06489, HUMAN17883, HUMAN26042, HUMAN12874
OG0000031	SCHMD11094	HUMAN26043
OG0000031	SCHMD00185	HUMAN26979, HUMAN14235
OG0000031	SCHMD17865	HUMAN21432, HUMAN07725, HUMAN14922, HUMAN14786, HUMAN07726, HUMAN22322
OG0000034	SCHMD15825	HUMAN09534
OG0000034	SCHMD11716	HUMAN07187
OG0000034	SCHMD13190, SCHMD26745	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	SCHMD04875	HUMAN01831, HUMAN13891
OG0000034	SCHMD07081	HUMAN04988
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	HUMAN06576
OG0000035	SCHMD15627, SCHMD19701	HUMAN06812, HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	SCHMD19700, SCHMD08604, SCHMD17446	HUMAN06190
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	HUMAN11289
OG0000037	SCHMD19933	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817, HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	HUMAN03689
OG0000038	SCHMD17582, SCHMD27730	HUMAN18259
OG0000038	SCHMD07372	HUMAN18258
OG0000039	SCHMD12270	HUMAN02107, HUMAN02110, HUMAN02111, HUMAN29023, HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450, HUMAN02444, HUMAN13199
OG0000040	SCHMD19421	HUMAN26641
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	HUMAN26646, HUMAN26642
OG0000041	SCHMD16501, SCHMD03485, SCHMD03487	HUMAN01392
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	HUMAN19139, HUMAN27913
OG0000043	SCHMD29320	HUMAN30603, HUMAN30589, HUMAN30600
OG0000043	SCHMD00424	HUMAN05606, HUMAN01578, HUMAN24593, HUMAN24614, HUMAN02615, HUMAN24624, HUMAN24606, HUMAN01573, HUMAN01572, HUMAN24670, HUMAN24647, HUMAN24664, HUMAN24665, HUMAN24657, HUMAN24659, HUMAN24650, HUMAN24619, HUMAN01577, HUMAN06066
OG0000044	SCHMD06550	HUMAN24293
OG0000048	SCHMD13771, SCHMD03961	HUMAN29551
OG0000049	SCHMD16048	HUMAN05318
OG0000049	SCHMD25010, SCHMD17007	HUMAN05317
