Orthogroup	LYTVA_ok	XENTR
OG0000000	LYTVA_01679	XENTR10493, XENTR08878
OG0000000	LYTVA_23170	XENTR18832, XENTR01079, XENTR01080
OG0000000	LYTVA_01380	XENTR18066, XENTR08976, XENTR07932
OG0000000	LYTVA_25096	XENTR07929
OG0000000	LYTVA_01827	XENTR13401, XENTR10509, XENTR10508, XENTR13402
OG0000000	LYTVA_18988	XENTR02223, XENTR10492, XENTR10560
OG0000000	LYTVA_13103	XENTR17298, XENTR05705
OG0000000	LYTVA_22602	XENTR12445
OG0000000	LYTVA_19974	XENTR07618
OG0000000	LYTVA_08678	XENTR07167, XENTR10848, XENTR03338
OG0000000	LYTVA_23667	XENTR04389
OG0000000	LYTVA_22477	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540
OG0000000	LYTVA_22480	XENTR10852, XENTR03334, XENTR08541
OG0000000	LYTVA_23047	XENTR06295, XENTR04184
OG0000000	LYTVA_14838	XENTR03185
OG0000000	LYTVA_06897	XENTR12464, XENTR08726
OG0000000	LYTVA_22476	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330
OG0000000	LYTVA_22714	XENTR04388, XENTR00687, XENTR13779
OG0000000	LYTVA_19015	XENTR03327, XENTR07175
OG0000000	LYTVA_26599	XENTR01971, XENTR14936, XENTR09546
OG0000000	LYTVA_17046	XENTR01972, XENTR09547, XENTR08722
OG0000000	LYTVA_23349	XENTR12981
OG0000000	LYTVA_23351	XENTR06679
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	XENTR12747
OG0000002	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912
OG0000002	LYTVA_21553	XENTR17667
OG0000004	LYTVA_22300, LYTVA_22328, LYTVA_28503, LYTVA_25768	XENTR07291
OG0000004	LYTVA_11730	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024
OG0000005	LYTVA_12392	XENTR16849, XENTR09568
OG0000006	LYTVA_15901	XENTR00026
OG0000006	LYTVA_21289	XENTR03474, XENTR03473, XENTR14730
OG0000006	LYTVA_12321	XENTR03090, XENTR09060
OG0000006	LYTVA_25253	XENTR00399, XENTR09859
OG0000006	LYTVA_07373	XENTR09947, XENTR11692
OG0000006	LYTVA_23957	XENTR11329
OG0000006	LYTVA_29757	XENTR15046
OG0000006	LYTVA_18169	XENTR13548
