Orthogroup	LYTVA_ok	SCHMD
OG0000000	LYTVA_09514	SCHMD15791
OG0000000	LYTVA_01679	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	LYTVA_23170	SCHMD09645
OG0000000	LYTVA_01827	SCHMD20523, SCHMD24588
OG0000000	LYTVA_18988	SCHMD03805
OG0000000	LYTVA_18985	SCHMD20256, SCHMD22099
OG0000000	LYTVA_27688	SCHMD03766
OG0000000	LYTVA_21959	SCHMD28523
OG0000000	LYTVA_08678	SCHMD18969
OG0000000	LYTVA_08668	SCHMD08046
OG0000000	LYTVA_22477	SCHMD22390, SCHMD21735
OG0000000	LYTVA_23047	SCHMD21303
OG0000000	LYTVA_06897	SCHMD01868
OG0000000	LYTVA_22068	SCHMD02255
OG0000000	LYTVA_09826	SCHMD11888, SCHMD08259
OG0000000	LYTVA_19015	SCHMD24693
OG0000000	LYTVA_26599	SCHMD05281, SCHMD04291
OG0000000	LYTVA_17046, LYTVA_23349, LYTVA_23351	SCHMD13268
OG0000002	LYTVA_21553	SCHMD02695
OG0000003	LYTVA_21164, LYTVA_26275	SCHMD14034
OG0000003	LYTVA_23212, LYTVA_20987	SCHMD00325
OG0000003	LYTVA_11643	SCHMD11370, SCHMD05302, SCHMD14033, SCHMD00694, SCHMD23428
OG0000004	LYTVA_03323	SCHMD20392, SCHMD06188
OG0000004	LYTVA_07389, LYTVA_03537	SCHMD22004
OG0000004	LYTVA_13802	SCHMD06794
OG0000005	LYTVA_24142	SCHMD06848
OG0000005	LYTVA_01017	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	LYTVA_15338, LYTVA_23825	SCHMD06849
OG0000005	LYTVA_21111, LYTVA_05821	SCHMD15919
OG0000006	LYTVA_27651	SCHMD07888, SCHMD24507
OG0000006	LYTVA_21289	SCHMD00178
OG0000006	LYTVA_12321	SCHMD18704
OG0000006	LYTVA_03511, LYTVA_25253, LYTVA_07373, LYTVA_23957, LYTVA_14827, LYTVA_29757	SCHMD09638
OG0000006	LYTVA_29412, LYTVA_25462	SCHMD13710
OG0000006	LYTVA_08878	SCHMD18814
OG0000007	LYTVA_29912	SCHMD12323
OG0000007	LYTVA_23216	SCHMD08294
OG0000007	LYTVA_18159	SCHMD22164, SCHMD13502
OG0000007	LYTVA_27359	SCHMD14635, SCHMD17075
OG0000007	LYTVA_17245, LYTVA_04121	SCHMD12296, SCHMD02893
OG0000007	LYTVA_25288	SCHMD08423
OG0000007	LYTVA_03206, LYTVA_12379, LYTVA_12378	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	LYTVA_12480	SCHMD19134
OG0000007	LYTVA_06652	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	LYTVA_05177	SCHMD02246
OG0000008	LYTVA_29228	SCHMD02053
OG0000010	LYTVA_09270	SCHMD14528
