Orthogroup	LYTVA_ok	APOSJ_ok
OG0000000	LYTVA_01679	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	LYTVA_01380	APOSJ_43984, APOSJ_47154
OG0000000	LYTVA_18988	APOSJ_18686
OG0000000	LYTVA_18985	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	LYTVA_13103	APOSJ_18136
OG0000000	LYTVA_22602	APOSJ_34245
OG0000000	LYTVA_19974	APOSJ_60507
OG0000000	LYTVA_08678	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	LYTVA_23667	APOSJ_36728
OG0000000	LYTVA_22477	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	LYTVA_22478	APOSJ_20159
OG0000000	LYTVA_22480	APOSJ_40396
OG0000000	LYTVA_23047	APOSJ_37520
OG0000000	LYTVA_14838	APOSJ_38857, APOSJ_38860
OG0000000	LYTVA_06897	APOSJ_32562, APOSJ_32561
OG0000000	LYTVA_22476	APOSJ_47531, APOSJ_29010
OG0000000	LYTVA_22475	APOSJ_05847, APOSJ_05848
OG0000000	LYTVA_29838	APOSJ_62087
OG0000000	LYTVA_29834	APOSJ_26760
OG0000000	LYTVA_22714	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	LYTVA_26599	APOSJ_56734
OG0000000	LYTVA_17046	APOSJ_31415
OG0000000	LYTVA_23349	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	LYTVA_23351	APOSJ_02527
OG0000001	LYTVA_16225	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875
OG0000001	LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102	APOSJ_62573, APOSJ_49921
OG0000001	LYTVA_14761	APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152
OG0000001	LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602	APOSJ_36498
OG0000002	LYTVA_28398	APOSJ_36413
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870
OG0000002	LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873
OG0000002	LYTVA_01784	APOSJ_50646, APOSJ_61186, APOSJ_47171
OG0000002	LYTVA_09815, LYTVA_04765, LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551, LYTVA_25582, LYTVA_22408	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322
OG0000002	LYTVA_21553	APOSJ_21931
OG0000003	LYTVA_21164, LYTVA_26275	APOSJ_63267
OG0000003	LYTVA_25607, LYTVA_21606	APOSJ_43552, APOSJ_43551
OG0000003	LYTVA_03030	APOSJ_20832, APOSJ_20829, APOSJ_22272, APOSJ_03630
OG0000003	LYTVA_15536	APOSJ_27925, APOSJ_44929
OG0000003	LYTVA_14606	APOSJ_58026
OG0000003	LYTVA_06469	APOSJ_28537
OG0000003	LYTVA_20987	APOSJ_59054
OG0000003	LYTVA_11643	APOSJ_20460, APOSJ_41791, APOSJ_41790
OG0000004	LYTVA_04445	APOSJ_23993
