Orthogroup	LYTVA_ok	STRPU_ok
OG0000000	LYTVA_01679	STRPU_10146, STRPU_10084
OG0000000	LYTVA_23170	STRPU_22262
OG0000000	LYTVA_01380	STRPU_10304
OG0000000	LYTVA_25096	STRPU_10010
OG0000000	LYTVA_01827	STRPU_10083, STRPU_10145
OG0000000	LYTVA_18988	STRPU_10015
OG0000000	LYTVA_18985	STRPU_10016
OG0000000	LYTVA_13103	STRPU_02929
OG0000000	LYTVA_27688	STRPU_19906
OG0000000	LYTVA_21959	STRPU_23673, STRPU_23648
OG0000000	LYTVA_22602	STRPU_09982, STRPU_09961
OG0000000	LYTVA_19974	STRPU_20780
OG0000000	LYTVA_27704	STRPU_23557
OG0000000	LYTVA_08678	STRPU_23206
OG0000000	LYTVA_08668	STRPU_23203
OG0000000	LYTVA_23667	STRPU_05390
OG0000000	LYTVA_22477	STRPU_23198
OG0000000	LYTVA_22478	STRPU_23196
OG0000000	LYTVA_22480	STRPU_23194
OG0000000	LYTVA_22479	STRPU_23195
OG0000000	LYTVA_23047	STRPU_23756
OG0000000	LYTVA_14838	STRPU_22253
OG0000000	LYTVA_06897, LYTVA_22068	STRPU_09852
OG0000000	LYTVA_22476	STRPU_23199
OG0000000	LYTVA_22475	STRPU_23200
OG0000000	LYTVA_29838	STRPU_23201
OG0000000	LYTVA_27097	STRPU_25677
OG0000000	LYTVA_29834	STRPU_23202
OG0000000	LYTVA_22714	STRPU_05830
OG0000000	LYTVA_19015	STRPU_23207
OG0000000	LYTVA_26599	STRPU_10189
OG0000000	LYTVA_17046	STRPU_09890
OG0000000	LYTVA_23349	STRPU_21017
OG0000000	LYTVA_23351	STRPU_21014
OG0000001	LYTVA_16225	STRPU_05173, STRPU_05094
OG0000001	LYTVA_16521	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	LYTVA_19190, LYTVA_26158	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262
OG0000001	LYTVA_04837	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470
OG0000001	LYTVA_04757	STRPU_14233, STRPU_14227
OG0000001	LYTVA_28493	STRPU_06022
OG0000001	LYTVA_09014, LYTVA_04284	STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405
OG0000001	LYTVA_06287	STRPU_24972
OG0000001	LYTVA_18436, LYTVA_05266	STRPU_10538, STRPU_10540, STRPU_10542
OG0000001	LYTVA_22102	STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352
OG0000001	LYTVA_14761	STRPU_11067
OG0000001	LYTVA_12818	STRPU_12910
OG0000001	LYTVA_24053, LYTVA_08107, LYTVA_24049	STRPU_12667
OG0000001	LYTVA_11602	STRPU_13102
OG0000002	LYTVA_28398	STRPU_21867
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758	STRPU_01111, STRPU_24188
OG0000002	LYTVA_12336	STRPU_24739, STRPU_12686
