Orthogroup	LYTVA_ok	ASTMX
OG0000000	LYTVA_01679	ASTMX02793
OG0000000	LYTVA_23170	ASTMX17483, ASTMX11444
OG0000000	LYTVA_01380	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	LYTVA_01827	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970
OG0000000	LYTVA_18988	ASTMX12494, ASTMX05790, ASTMX17479
OG0000000	LYTVA_13103	ASTMX14561, ASTMX07042
OG0000000	LYTVA_22602	ASTMX20299
OG0000000	LYTVA_19974	ASTMX10234
OG0000000	LYTVA_08678	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	LYTVA_23667	ASTMX06178
OG0000000	LYTVA_22477	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	LYTVA_22480	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	LYTVA_23047	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	LYTVA_14838	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	LYTVA_06897	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	LYTVA_22476	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159
OG0000000	LYTVA_22714	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	LYTVA_19015	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	LYTVA_26599	ASTMX17267, ASTMX11612, ASTMX02802
OG0000000	LYTVA_17046	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	LYTVA_23349	ASTMX09511
OG0000000	LYTVA_23351	ASTMX08520
OG0000001	LYTVA_19190, LYTVA_26158	ASTMX14986, ASTMX22661, ASTMX20102, ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473
OG0000001	LYTVA_04837, LYTVA_04757	ASTMX07323
OG0000001	LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602	ASTMX16759, ASTMX18180
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	ASTMX13878
OG0000002	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176	ASTMX19248
OG0000003	LYTVA_15536	ASTMX16763
OG0000003	LYTVA_11643	ASTMX08463
OG0000004	LYTVA_03323	ASTMX13906
OG0000004	LYTVA_23131	ASTMX13606
OG0000004	LYTVA_11730	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273
OG0000005	LYTVA_12392	ASTMX03244
OG0000006	LYTVA_15901	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	LYTVA_21289	ASTMX16363, ASTMX04345
OG0000006	LYTVA_12321	ASTMX11700, ASTMX00138
OG0000006	LYTVA_25253	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	LYTVA_07373	ASTMX03256, ASTMX09680
OG0000006	LYTVA_23957	ASTMX14682, ASTMX19702
OG0000006	LYTVA_29757	ASTMX21126, ASTMX03352
OG0000006	LYTVA_18169	ASTMX06644
OG0000006	LYTVA_29412, LYTVA_25462	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	LYTVA_16832	ASTMX14827
OG0000006	LYTVA_16844	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	LYTVA_08878	ASTMX10604
OG0000007	LYTVA_29912	ASTMX14980
OG0000007	LYTVA_22273	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	LYTVA_23216	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	LYTVA_27359	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	LYTVA_29395	ASTMX21073, ASTMX16179
OG0000007	LYTVA_17245	ASTMX22376, ASTMX11119
OG0000007	LYTVA_04121	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	LYTVA_03206	ASTMX18062, ASTMX21262
OG0000007	LYTVA_12379, LYTVA_12378	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	LYTVA_12480	ASTMX04966, ASTMX11650
OG0000007	LYTVA_06652	ASTMX18779, ASTMX07711
OG0000007	LYTVA_19839	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	LYTVA_05177	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	LYTVA_19305	ASTMX13129
OG0000011	LYTVA_26033	ASTMX20794
OG0000011	LYTVA_13841	ASTMX21233
OG0000011	LYTVA_28284	ASTMX01926
OG0000011	LYTVA_29140	ASTMX21375, ASTMX22962, ASTMX22920
OG0000011	LYTVA_25384	ASTMX23073, ASTMX20022, ASTMX23051
OG0000012	LYTVA_11199, LYTVA_24773, LYTVA_27764	ASTMX22063, ASTMX16492
OG0000012	LYTVA_12515, LYTVA_06149	ASTMX06265
OG0000014	LYTVA_13955	ASTMX12908, ASTMX11632
OG0000014	LYTVA_23372	ASTMX01423, ASTMX16397
OG0000015	LYTVA_26004	ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097
OG0000015	LYTVA_26002	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	LYTVA_09631, LYTVA_17348, LYTVA_06152	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	LYTVA_02179, LYTVA_09460, LYTVA_20745	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	LYTVA_05193	ASTMX09206
OG0000016	LYTVA_21831, LYTVA_18288	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675
OG0000016	LYTVA_27143	ASTMX00540
OG0000016	LYTVA_03299, LYTVA_00787	ASTMX02874
OG0000016	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000018	LYTVA_08537, LYTVA_21301	ASTMX13805
OG0000018	LYTVA_18794	ASTMX23058
OG0000018	LYTVA_07859, LYTVA_26503, LYTVA_00759, LYTVA_05774, LYTVA_08224, LYTVA_20675, LYTVA_28161, LYTVA_00818	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	LYTVA_17120	ASTMX14084, ASTMX03976, ASTMX18923
OG0000019	LYTVA_01420	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	LYTVA_19355	ASTMX04834
OG0000020	LYTVA_21318	ASTMX22432
OG0000020	LYTVA_09793	ASTMX12285
OG0000020	LYTVA_04298	ASTMX15062
OG0000020	LYTVA_23496	ASTMX14060
OG0000020	LYTVA_05479	ASTMX00490, ASTMX12696
OG0000020	LYTVA_08129	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689
OG0000020	LYTVA_26447	ASTMX16028
OG0000020	LYTVA_23009	ASTMX17320
OG0000020	LYTVA_12234	ASTMX04750, ASTMX21042
OG0000020	LYTVA_17081	ASTMX05243
OG0000020	LYTVA_06231	ASTMX04710
OG0000020	LYTVA_09530	ASTMX07754
OG0000020	LYTVA_00542	ASTMX13875
OG0000021	LYTVA_04917	ASTMX05285, ASTMX16996, ASTMX01998
OG0000021	LYTVA_13831	ASTMX04046, ASTMX15305
OG0000021	LYTVA_10118	ASTMX00201, ASTMX09085
OG0000021	LYTVA_09991	ASTMX02310, ASTMX16342
OG0000021	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778	ASTMX21461, ASTMX05545
OG0000021	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849	ASTMX13864
OG0000023	LYTVA_11225	ASTMX18896
OG0000023	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000023	LYTVA_24785	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000026	LYTVA_08564	ASTMX06810
OG0000028	LYTVA_12763	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	LYTVA_19555, LYTVA_01403, LYTVA_23870	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000029	LYTVA_02569, LYTVA_10073	ASTMX19971, ASTMX06514, ASTMX07156
OG0000030	LYTVA_02137	ASTMX22473
OG0000030	LYTVA_13667	ASTMX06934
OG0000030	LYTVA_26760	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	LYTVA_28697	ASTMX02378, ASTMX18821
OG0000030	LYTVA_27291, LYTVA_25957	ASTMX22293
OG0000031	LYTVA_04157, LYTVA_03000	ASTMX08659, ASTMX04771
OG0000031	LYTVA_07242	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	LYTVA_07394	ASTMX12572
OG0000031	LYTVA_19491	ASTMX06525
OG0000031	LYTVA_13645	ASTMX09693, ASTMX17541
OG0000031	LYTVA_05124	ASTMX03912, ASTMX00105
OG0000031	LYTVA_29658	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	LYTVA_09735	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000031	LYTVA_24172	ASTMX03166
OG0000032	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746	ASTMX06705
OG0000034	LYTVA_20191	ASTMX03519
OG0000034	LYTVA_09293	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446
OG0000034	LYTVA_04080	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
