Orthogroup	LYTVA_ok	DANRE
OG0000000	LYTVA_01679	DANRE06436, DANRE05762
OG0000000	LYTVA_23170	DANRE24636, DANRE35926
OG0000000	LYTVA_01380	DANRE04899, DANRE05022, DANRE06714
OG0000000	LYTVA_01827	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	LYTVA_18988	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592
OG0000000	LYTVA_13103	DANRE02487, DANRE13405
OG0000000	LYTVA_22602	DANRE04328, DANRE04330, DANRE04329
OG0000000	LYTVA_19974	DANRE18867, DANRE18868
OG0000000	LYTVA_08678	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	LYTVA_23667	DANRE24278
OG0000000	LYTVA_22477	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703
OG0000000	LYTVA_22480	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	LYTVA_23047	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	LYTVA_14838	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	LYTVA_06897	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	LYTVA_22476	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237
OG0000000	LYTVA_22714	DANRE06945, DANRE06944, DANRE20512
OG0000000	LYTVA_09826	DANRE24055
OG0000000	LYTVA_19015	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	LYTVA_26599	DANRE41165, DANRE05977, DANRE05743
OG0000000	LYTVA_17046	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000000	LYTVA_23349	DANRE11796, DANRE11795, DANRE18798
OG0000001	LYTVA_19190, LYTVA_26158	DANRE16475, DANRE16476, DANRE15519, DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406
OG0000001	LYTVA_04837, LYTVA_04757	DANRE29550
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	DANRE16673
OG0000002	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176	DANRE38244, DANRE38242, DANRE38243
OG0000004	LYTVA_03323	DANRE10231
OG0000004	LYTVA_03048, LYTVA_08289, LYTVA_29289, LYTVA_22297, LYTVA_07389, LYTVA_03537	DANRE31040
OG0000004	LYTVA_23131	DANRE41389, DANRE41390
OG0000004	LYTVA_11730	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697
OG0000005	LYTVA_12392	DANRE11160
OG0000006	LYTVA_27651	DANRE07563
OG0000006	LYTVA_15901	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	LYTVA_21289	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	LYTVA_12321	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	LYTVA_25253	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	LYTVA_07373	DANRE11213, DANRE11212, DANRE11601
OG0000006	LYTVA_23957	DANRE30064, DANRE15483
OG0000006	LYTVA_14827	DANRE30060
OG0000006	LYTVA_29757	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	LYTVA_18169	DANRE05395
OG0000006	LYTVA_29412, LYTVA_25462	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	LYTVA_16832	DANRE11156, DANRE11155
OG0000006	LYTVA_16844	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	LYTVA_08878	DANRE04654, DANRE04655
OG0000007	LYTVA_29912	DANRE26275, DANRE17982
OG0000007	LYTVA_22273	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	LYTVA_23216	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
