Orthogroup	LYTVA_ok	CAPO3
OG0000003	LYTVA_28727, LYTVA_23292, LYTVA_29159, LYTVA_21164, LYTVA_26275, LYTVA_25607, LYTVA_21606, LYTVA_03030, LYTVA_15536, LYTVA_14606, LYTVA_06976, LYTVA_04875, LYTVA_10217, LYTVA_06469, LYTVA_23212, LYTVA_20987, LYTVA_11643, LYTVA_26946, LYTVA_14926, LYTVA_01168, LYTVA_27358	CAPO301945
OG0000005	LYTVA_24142, LYTVA_01017, LYTVA_15338, LYTVA_23825, LYTVA_21648, LYTVA_29628, LYTVA_20265, LYTVA_15344, LYTVA_25103, LYTVA_15340, LYTVA_25468, LYTVA_12344, LYTVA_13497, LYTVA_12436, LYTVA_12448, LYTVA_12437, LYTVA_01084, LYTVA_10225, LYTVA_01083, LYTVA_05447, LYTVA_21111, LYTVA_05821, LYTVA_12392	CAPO308356, CAPO307946
OG0000006	LYTVA_18935	CAPO306217
OG0000006	LYTVA_08878	CAPO302620
OG0000007	LYTVA_03206, LYTVA_12379, LYTVA_12378	CAPO304209
OG0000007	LYTVA_12480	CAPO303284
OG0000007	LYTVA_19839	CAPO300935
OG0000007	LYTVA_05177	CAPO305123
OG0000012	LYTVA_11199, LYTVA_24773, LYTVA_27764, LYTVA_27819, LYTVA_13632, LYTVA_19503, LYTVA_04725, LYTVA_24982, LYTVA_01955, LYTVA_01082, LYTVA_04724, LYTVA_28598, LYTVA_04726, LYTVA_05905, LYTVA_16828, LYTVA_09615, LYTVA_04959, LYTVA_13583, LYTVA_18163, LYTVA_22482, LYTVA_13720, LYTVA_05492, LYTVA_12515, LYTVA_06149, LYTVA_05189, LYTVA_24416	CAPO302923, CAPO302931
OG0000015	LYTVA_04651, LYTVA_19488, LYTVA_26004, LYTVA_26002, LYTVA_09631, LYTVA_17348, LYTVA_06152, LYTVA_06792	CAPO302521
OG0000016	LYTVA_02179, LYTVA_09460, LYTVA_20745	CAPO300049
OG0000016	LYTVA_21831, LYTVA_18288	CAPO304360
OG0000016	LYTVA_27143, LYTVA_00562	CAPO306803
OG0000016	LYTVA_03299, LYTVA_00787	CAPO303259
OG0000016	LYTVA_13704, LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978	CAPO300936
OG0000023	LYTVA_11225, LYTVA_00179, LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074, LYTVA_10626, LYTVA_26027, LYTVA_20952, LYTVA_04490, LYTVA_24711, LYTVA_01233, LYTVA_21144, LYTVA_20416, LYTVA_27483, LYTVA_08392, LYTVA_08393, LYTVA_24785	CAPO307690
OG0000029	LYTVA_19314, LYTVA_19555, LYTVA_01403, LYTVA_23870, LYTVA_08522, LYTVA_25609, LYTVA_12911, LYTVA_03248, LYTVA_02569, LYTVA_10073, LYTVA_21024, LYTVA_08387, LYTVA_22534, LYTVA_00646, LYTVA_22532, LYTVA_00647, LYTVA_22533, LYTVA_18531, LYTVA_06596, LYTVA_23983, LYTVA_23982, LYTVA_14667, LYTVA_03114, LYTVA_21079, LYTVA_11087, LYTVA_07847, LYTVA_16374, LYTVA_14118, LYTVA_17454, LYTVA_10670, LYTVA_10669, LYTVA_12106, LYTVA_25172, LYTVA_28751, LYTVA_15803, LYTVA_05470, LYTVA_12796, LYTVA_24295, LYTVA_15802, LYTVA_16107, LYTVA_15826, LYTVA_25550, LYTVA_16955, LYTVA_29691, LYTVA_23564, LYTVA_08386	CAPO307131
OG0000030	LYTVA_13667	CAPO300110
OG0000030	LYTVA_25177, LYTVA_24082, LYTVA_18277, LYTVA_24623, LYTVA_26760, LYTVA_28697, LYTVA_20955, LYTVA_09651, LYTVA_26586, LYTVA_26755, LYTVA_09586, LYTVA_27291, LYTVA_25957, LYTVA_27440	CAPO305356, CAPO301638, CAPO307563
OG0000031	LYTVA_13645	CAPO303729
OG0000035	LYTVA_03445, LYTVA_02303, LYTVA_16617, LYTVA_27828, LYTVA_22468, LYTVA_12116, LYTVA_12115, LYTVA_04128	CAPO307346, CAPO308354
OG0000038	LYTVA_09516	CAPO307725
OG0000041	LYTVA_08901, LYTVA_17546, LYTVA_17545, LYTVA_25852, LYTVA_03177	CAPO308025, CAPO306861
OG0000043	LYTVA_05725, LYTVA_13550, LYTVA_24763, LYTVA_20678, LYTVA_30007, LYTVA_26935, LYTVA_10735, LYTVA_00383, LYTVA_02758, LYTVA_00226	CAPO308256
OG0000048	LYTVA_06179	CAPO305301
