Orthogroup	LYTVA_ok	MOUSE
OG0000000	LYTVA_09514	MOUSE21446, MOUSE46880, MOUSE20962
OG0000000	LYTVA_01679	MOUSE35835, MOUSE46731
OG0000000	LYTVA_23170	MOUSE35499, MOUSE22971
OG0000000	LYTVA_01380	MOUSE40493, MOUSE21445
OG0000000	LYTVA_01827	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	LYTVA_18988	MOUSE47799, MOUSE46854, MOUSE36974
OG0000000	LYTVA_13103	MOUSE09344, MOUSE50563
OG0000000	LYTVA_22602	MOUSE20961
OG0000000	LYTVA_19974	MOUSE24692
OG0000000	LYTVA_08678	MOUSE05222, MOUSE26497, MOUSE39799
OG0000000	LYTVA_23667	MOUSE38795
OG0000000	LYTVA_22477	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	LYTVA_22480	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	LYTVA_23047	MOUSE35589, MOUSE35590
OG0000000	LYTVA_14838	MOUSE05644, MOUSE06967
OG0000000	LYTVA_06897	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	LYTVA_22476	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	LYTVA_22714	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	LYTVA_09826	MOUSE42582
OG0000000	LYTVA_19015	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	LYTVA_26599	MOUSE12761, MOUSE36110
OG0000000	LYTVA_17046	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	LYTVA_23349	MOUSE28110, MOUSE28109
OG0000000	LYTVA_23351	MOUSE07114
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	MOUSE31557, MOUSE31558
OG0000002	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
OG0000003	LYTVA_23212	MOUSE23701, MOUSE23700
OG0000004	LYTVA_11730	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144
OG0000004	LYTVA_03880, LYTVA_11529, LYTVA_13371, LYTVA_08957, LYTVA_21459, LYTVA_00032	MOUSE46694, MOUSE46695, MOUSE46693, MOUSE46689, MOUSE46690, MOUSE46688
OG0000005	LYTVA_12392	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	LYTVA_15901	MOUSE33561, MOUSE33562
OG0000006	LYTVA_21289	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	LYTVA_12321	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	LYTVA_25253	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	LYTVA_07373	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	LYTVA_23957	MOUSE38532, MOUSE38531
OG0000006	LYTVA_29757	MOUSE10280
OG0000006	LYTVA_18169	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	LYTVA_29412, LYTVA_25462	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	LYTVA_16832	MOUSE08011, MOUSE15296
OG0000006	LYTVA_16844	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	LYTVA_08878	MOUSE03398
OG0000007	LYTVA_29912	MOUSE09063, MOUSE49748
OG0000007	LYTVA_22273	MOUSE51845, MOUSE20686
OG0000007	LYTVA_23216	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	LYTVA_27359	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	LYTVA_29395	MOUSE52320
OG0000007	LYTVA_10898	MOUSE49749
OG0000007	LYTVA_17245	MOUSE09061
OG0000007	LYTVA_04121	MOUSE09062, MOUSE49739
OG0000007	LYTVA_03206	MOUSE04689, MOUSE37388
OG0000007	LYTVA_12379, LYTVA_12378	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	LYTVA_12480	MOUSE38586, MOUSE06525
OG0000007	LYTVA_06652	MOUSE06204
OG0000007	LYTVA_19839	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	LYTVA_05177	MOUSE07031, MOUSE07030
OG0000010	LYTVA_28049, LYTVA_14417, LYTVA_22894	MOUSE46557
OG0000010	LYTVA_09270	MOUSE43879
OG0000011	LYTVA_28379, LYTVA_03236, LYTVA_09817	MOUSE47282
OG0000012	LYTVA_11199, LYTVA_24773, LYTVA_27764	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	LYTVA_12515, LYTVA_06149	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000012	LYTVA_24416	MOUSE38313, MOUSE49050, MOUSE49303
OG0000014	LYTVA_13955	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	LYTVA_23372	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	LYTVA_26004	MOUSE03176, MOUSE35079, MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
