Orthogroup	LYTVA_ok	OWEFU
OG0000000	LYTVA_01679	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	LYTVA_23170	OFUSG13305.1.p1
OG0000000	LYTVA_01380	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	LYTVA_25096	OFUSG06560.1.p1
OG0000000	LYTVA_01827	OFUSG05489.1.p1, OFUSG05755.1.p1
OG0000000	LYTVA_18988	OFUSG06970.1.p1
OG0000000	LYTVA_18985	OFUSG05968.1.p1
OG0000000	LYTVA_13103	OFUSG08786.1.p1
OG0000000	LYTVA_21959	OFUSG17443.1.p1
OG0000000	LYTVA_22602	OFUSG19303.1.p1
OG0000000	LYTVA_19974	OFUSG12013.1.p1
OG0000000	LYTVA_27704	OFUSG17426.1.p1
OG0000000	LYTVA_08678	OFUSG13332.1.p1
OG0000000	LYTVA_23667	OFUSG03302.1.p1
OG0000000	LYTVA_22477	OFUSG13338.1.p1
OG0000000	LYTVA_22480	OFUSG13336.1.p1
OG0000000	LYTVA_23047	OFUSG17003.1.p1
OG0000000	LYTVA_14838	OFUSG21200.1.p1
OG0000000	LYTVA_06897	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	LYTVA_22714	OFUSG03177.1.p1
OG0000000	LYTVA_09826	OFUSG13341.1.p1
OG0000000	LYTVA_19015	OFUSG12947.1.p1
OG0000000	LYTVA_26599	OFUSG05775.1.p1
OG0000000	LYTVA_17046	OFUSG06109.1.p1
OG0000000	LYTVA_23349	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	LYTVA_23351	OFUSG21806.1.p1
OG0000001	LYTVA_16225	OFUSG08662.1.p1
OG0000001	LYTVA_16521	OFUSG17423.1.p1
OG0000002	LYTVA_28398	OFUSG00560.1.p1
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	OFUSG12055.1.p1
OG0000003	LYTVA_23292	OFUSG18790.1.p1
