Orthogroup	LYTVA_ok	HUMAN
OG0000000	LYTVA_09514	HUMAN06514, HUMAN08318
OG0000000	LYTVA_01679	HUMAN22097, HUMAN03752
OG0000000	LYTVA_23170	HUMAN27271, HUMAN18431
OG0000000	LYTVA_01380	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	LYTVA_01827	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	LYTVA_18988	HUMAN27740, HUMAN03805, HUMAN22626
OG0000000	LYTVA_13103	HUMAN28889, HUMAN05731
OG0000000	LYTVA_22602	HUMAN03433
OG0000000	LYTVA_19974	HUMAN02527
OG0000000	LYTVA_08678	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096
OG0000000	LYTVA_23667	HUMAN07513
OG0000000	LYTVA_22477	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515
OG0000000	LYTVA_22480	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	LYTVA_23047	HUMAN27325, HUMAN27326
OG0000000	LYTVA_14838	HUMAN12743, HUMAN26016
OG0000000	LYTVA_06897	HUMAN22154, HUMAN24253
OG0000000	LYTVA_22476	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104
OG0000000	LYTVA_22714	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	LYTVA_19015	HUMAN26107, HUMAN17898
OG0000000	LYTVA_26599	HUMAN27579, HUMAN22230
OG0000000	LYTVA_17046	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	LYTVA_23349	HUMAN18756
OG0000000	LYTVA_23351	HUMAN08319
OG0000001	LYTVA_04837, LYTVA_04757	HUMAN10621, HUMAN10623
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	HUMAN22770
