blastula	gastrula	elongation	early_larva	mitraria_larva	competent_larva	juvenile
OFUSG00001.1	0.003088595	0.3794105	2.648465	15.58045	13.05525	7.671415	8.26167
OFUSG00001.2	0	0	1.25907145e-08	15.8685	16.4012	26.4025	1.19823
OFUSG00001.3	0.02232395	0.407444	2.55337	0.55118	4.576385	10.6042	2.49799
OFUSG00001.4	0	0.0997895	0.65155585	0.064468500607115	0.265011	2.080725	10.7907
OFUSG00001.5	0	0	2.25479	2.10263	2.16939	4.084125	0.00537372
OFUSG00002.1	0.681646	1.296115	2.354345	2.94309	1.176814	4.28707	3.43869
OFUSG00003.1	1.871965	1.8667	2.25465	1.57558	2.09323	2.414725	2.06254
OFUSG00003.2	2.530545	2.488985	2.22944	1.910855	2.67956	2.74519	1.53254
OFUSG00004.1	0.8112825	0.5462375	0.66814	0.1235705	0.1917485	0.5262155	4.64469
OFUSG00005.1	1.6425415	0.434538	0.11815	0	0	0.066708	0
OFUSG00006.1	620.425	283.689	240.9355	143.022	106.445	37.8574	44.8818
OFUSG00007.1	47.50065	83.4482	93.37655	87.4006	127.3225	105.8635	114.552
OFUSG00008.1	26.05445	6.056625	7.48195	5.413745	5.159095	7.59857	7.58882
OFUSG00009.1	55.12065	19.3523	21.4246	12.93777	12.62179	3.297095	2.14313
OFUSG00010.1	0.312615	0.81029	1.0092025	0.569979	0.3670265	0.2865605	0.195546
OFUSG00011.1	0.5390085	0.649779	0.770867	0.47101065	0.298334	0.4068875	0.351002
OFUSG00012.1	31.6814	16.6013	9.265925	5.935665	4.85357	5.07526	5.21185
OFUSG00013.1	18.69725	21.855	14.7555	8.961085	6.45456	8.106035	7.22855
OFUSG00014.1	14.666955	13.31865	16.72685	21.79935	21.82025	23.88195	24.4237
OFUSG00015.1	0.143905	5.86655	4.38747	4.409365	8.166745	12.28235	2.6209
OFUSG00015.2	0.01204665	0.3209325	0.413808	0.1001695	2.684485	6.76763	7.72849
OFUSG00016.1	26.953025	23.654	34.79545	35.8436	26.7398	17.8077	20.197
OFUSG00017.1	2.625524	1.794043	0.63495	0.3683705	0.1474025	0.170131	0.187183
OFUSG00018.1	2.592285	7.771125	10.197525	15.42965	8.844445	2.217425	0.635227
OFUSG00019.1	57.1942	13.5271	8.295015	5.3273	3.72959	5.202815	4.26048
OFUSG00020.1	1.96016	13.03195	13.26965	9.175405	8.9433	8.18871	9.69535
OFUSG00021.1	13.142	12.4318	9.768685	8.08709	8.625205	5.61976	4.82594
OFUSG00022.1	8.73333	7.06304	8.170485	6.614955	5.260345	3.94756	4.44766
OFUSG00023.1	1.222518	1.826595	2.48204	2.33216	4.34027	4.488595	22.5916
OFUSG00024.1	10.04466	11.283235	13.70425	11.634275	11.213445	12.21825	21.1543
OFUSG00025.1	307.054	261.455	175.72	124.3255	82.27595	70.10275	69.6114
OFUSG00026.1	160.442	190.6505	216.647	276.3285	336.655	90.59295	37.6363
OFUSG00027.1	62.1895	93.50295	109.34745	100.6058	95.53685	30.60635	14.7824
OFUSG00027.2	17.53065	20.1302	25.3478	23.25255	22.5468	5.95723	3.60856
OFUSG00028.1	0.645356	0.907095	1.0021195	0.651478	0.4955805	0.842133	1.99069
OFUSG00029.1	2.867385	5.911655	17.61365	33.795	40.60655	22.75185	31.3123
OFUSG00030.1	9.18716	12.07746	27.4637	73.0389	95.50085	65.0002	54.6765
OFUSG00031.1	12.38061	10.1458	7.96287	9.92556	9.97814	10.004725	9.69178
OFUSG00032.1	0	0	0	0	0	1.296607	3.03252
OFUSG00033.1	1.960005	22.138	26.4014	16.1807	10.934075	8.06979	7.57341
OFUSG00033.2	0.2364805	0.3270395	3.551255	6.00408	12.87945	12.15215	8.34199
OFUSG00034.1	3616.81	4287.41	3871.49	3922.25	3608.45	5205.055	5500.87
OFUSG00035.1	82.87955	115.434	95.23485	59.874	42.76315	33.47365	28.2323
OFUSG00036.1	26.1884	16.07935	11.82245	14.0888	22.0987	16.4428	6.28355
OFUSG00036.2	0.8731585	3.224235	2.39625	2.6492955	3.801735	2.87001	2.33932
OFUSG00037.1	1.1869385	1.0911385	13.249	37.50605	20.6179	9.880415	17.8751
OFUSG00038.1	18.3736	16.7787	14.3156	13.11514	8.30203	7.38724	9.30514
OFUSG00039.1	6.980745	11.02682	12.99761	10.72864	15.103165	7.32582	3.66523
OFUSG00039.2	26.41595	44.60645	42.0738	49.3092	58.37185	28.35495	10.2853
OFUSG00040.1	79.2854	64.6967	99.6176	73.7629	87.376	38.9277	15.1359
OFUSG00041.1	0.063278	0.3066165	0.056935	0.0542665	0.1283745	0.0194062	2.12242
OFUSG00042.1	0.236531	0.985048	1.352295	0.77042	1.521335	1.96033	5.07605
OFUSG00043.1	0	0	0	0	0.122312	0.457718	0.419955
OFUSG00043.2	0.191952	0.4170125	1.881427	1.8652685	5.32279	15.32075	0
OFUSG00043.3	0	0	0.241011	0.9817105	3.594435	2.79844	4.29664
OFUSG00043.4	2.396195	1.671605	3.275505	6.513215	18.732	21.97345	22.5894
OFUSG00044.1	11.747855	6.081765	3.57138	3.369295	8.21404	3.487305	1.73577
OFUSG00045.1	40.76435	48.02495	38.39505	24.4006	22.6701	28.49685	27.6689
OFUSG00046.1	193.701	109.7523	115.823	167.1575	180.206	94.84675	67.1094
OFUSG00047.1	0.11836745	0.958704	0.925737	0.6623925	0.3413425	0.28099	2.28717
OFUSG00048.1	0.090692	1.88877	11.38555	15.84975	21.1961	62.4703	1.85392
OFUSG00049.1	174.693	67.40705	44.82065	24.0894	14.4157	9.159795	10.3107
OFUSG00050.1	5.47395	3.624505	4.337325	2.707529	4.1298835	1.5999005	0
OFUSG00050.2	43.9025	33.9705	33.052	30.1997	22.85315	15.5996	15.5562
OFUSG00051.1	5.61766	8.541355	16.03815	15.3872	12.58065	8.21661	4.07215
OFUSG00052.1	0.900692	1.4716455	0.60992065	0.656335	0.7454823	0.6281265	0.944118
OFUSG00053.1	53.2628	26.64165	24.88055	28.78445	27.12205	17.9161	9.74689
OFUSG00054.1	48.4533	19.33075	22.9182	18.91665	17.81265	7.810245	4.62942
OFUSG00055.1	11.7416	11.607535	13.39445	14.63695	13.99955	11.7866	14.1813
OFUSG00056.1	111.28255	126.1436	145.4755	132.1155	114.824	89.4761	63.3418
OFUSG00057.1	0.1388448	0.304627	0.13451975	0.186352	0.2772065	2.480775	5.29978
OFUSG00057.2	0	0	0	0	0	0	0
OFUSG00058.1	0.1440055	0.6172685	0.074311	0	0.1612945	2.928195	7.10887
OFUSG00059.1	2.257435	1.407625	0.6930215	0.4821845	0.3627085	0.192188	0.298367
OFUSG00060.1	27.66115	7.865155	11.8137	9.56743	6.104255	3.83264	3.92198
OFUSG00061.1	262.5075	107.75115	87.695	77.43025	73.92325	39.21205	30.6003
OFUSG00062.1	7.746795	5.12107	9.184165	14.38615	19.853	16.47745	15.0116
OFUSG00063.1	13.3874	26.5094	39.45155	54.07315	78.72265	81.37585	24.1571
OFUSG00064.1	0.139193	0	0.0575135	0.04510085	0.2552805	0.0600093	0
OFUSG00064.2	4.38087	8.12786	12.1537	15.50975	36.19375	46.3775	17.2737
OFUSG00064.3	0	0	0	0	0	0	0
OFUSG00064.4	7.99927	10.668435	13.00605	15.54665	19.86165	33.84165	3.99718
OFUSG00065.1	29.41255	50.51535	65.43435	88.24615	134.699	154.9305	45.967
OFUSG00066.1	0.1569725	0.8293565	1.459765	1.733495	1.36116	0.8822855	0.782765
OFUSG00067.1	51.9206	32.77	24.3923	24.81975	27.1234	12.82489	8.39018
