#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_1/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_1/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_1/0.11133431347935.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_1/target.clean..pos
BGpeak38329	Scaffold_19_1_contigs	24119961	24120194	+	0.000	0.000	peak38329
BGpeak38330	Scaffold_19_1_contigs	24120452	24120784	+	0.000	0.000	peak38330
BGpeak38331	Scaffold_19_1_contigs	24120876	24121097	+	0.000	0.000	peak38331
BGpeak38338	Scaffold_19_1_contigs	24147993	24148320	+	0.000	0.000	peak38338
BGpeak38384	Scaffold_19_1_contigs	24445783	24446097	+	0.000	0.000	peak38384
BGpeak38405	Scaffold_19_1_contigs	24900220	24900920	+	0.000	0.000	peak38405
BGpeak38450	Scaffold_19_1_contigs	25079512	25079951	+	0.000	0.000	peak38450
BGpeak38505	Scaffold_19_1_contigs	25467061	25467705	+	0.000	0.000	peak38505
BGpeak38516	Scaffold_19_1_contigs	25539520	25539795	+	0.000	0.000	peak38516
BGpeak38519	Scaffold_19_1_contigs	25546225	25546504	+	0.000	0.000	peak38519
BGpeak38580	Scaffold_19_1_contigs	26058474	26058967	+	0.000	0.000	peak38580
BGpeak38623	Scaffold_19_1_contigs	26361025	26361349	+	0.000	0.000	peak38623
BGpeak38627	Scaffold_19_1_contigs	26398724	26399119	+	0.000	0.000	peak38627
BGpeak38634	Scaffold_19_1_contigs	26469470	26469744	+	0.000	0.000	peak38634
BGpeak38655	Scaffold_19_1_contigs	26637838	26638117	+	0.000	0.000	peak38655
BGpeak38660	Scaffold_19_1_contigs	26689869	26690334	+	0.000	0.000	peak38660
BGpeak38679	Scaffold_19_1_contigs	26860117	26860369	+	0.000	0.000	peak38679
BGpeak38685	Scaffold_19_1_contigs	26940599	26941129	+	0.000	0.000	peak38685
BGpeak38709	Scaffold_19_1_contigs	27332028	27332246	+	0.000	0.000	peak38709
BGpeak73046	Scaffold_7_1_contigs	21500900	21501105	+	0.000	0.000	peak73046
BGpeak73069	Scaffold_7_1_contigs	21618832	21619261	+	0.000	0.000	peak73069
BGpeak38740	Scaffold_19_1_contigs	28034956	28035575	+	0.000	0.000	peak38740
BGpeak38747	Scaffold_19_1_contigs	28113264	28113862	+	0.000	0.000	peak38747
BGpeak73114	Scaffold_7_1_contigs	22024314	22024755	+	0.000	0.000	peak73114
BGpeak73122	Scaffold_7_1_contigs	22248308	22248570	+	0.000	0.000	peak73122
BGpeak73124	Scaffold_7_1_contigs	22261707	22261938	+	0.000	0.000	peak73124
BGpeak73126	Scaffold_7_1_contigs	22269537	22270146	+	0.000	0.000	peak73126
