TCONS_00000015.p1	HUMAN05967
TCONS_00000093.p2	HUMAN12506
TCONS_00000093.p2	HUMAN12507
TCONS_00000105.p1	HUMAN12508
TCONS_00000105.p1	HUMAN17730
TCONS_00000115.p1	HUMAN25788
TCONS_00000115.p1	HUMAN25789
TCONS_00000115.p1	HUMAN25790
TCONS_00000115.p1	HUMAN29729
TCONS_00000115.p1	HUMAN29730
TCONS_00000116.p1	HUMAN05306
TCONS_00000116.p1	HUMAN25326
TCONS_00000118.p1	HUMAN05300
TCONS_00000121.p1	HUMAN25768
TCONS_00000121.p1	HUMAN29728
TCONS_00000122.p1	HUMAN22833
TCONS_00000125.p1	HUMAN25312
TCONS_00000127.p1	HUMAN11297
TCONS_00000128.p1	HUMAN05309
TCONS_00000136.p1	HUMAN25332
TCONS_00000141.p1	HUMAN29662
TCONS_00000141.p1	HUMAN30648
TCONS_00000146.p1	HUMAN04762
TCONS_00000147.p1	HUMAN25097
TCONS_00000152.p1	HUMAN05454
TCONS_00000152.p1	HUMAN25794
TCONS_00000153.p1	HUMAN19535
TCONS_00000153.p1	HUMAN25306
TCONS_00000164.p1	HUMAN19525
TCONS_00000165.p1	HUMAN00756
TCONS_00000165.p1	HUMAN14545
TCONS_00000166.p1	HUMAN00645
TCONS_00000166.p1	HUMAN25668
TCONS_00000166.p1	HUMAN25669
TCONS_00000166.p1	HUMAN29640
TCONS_00000170.p1	HUMAN29639
TCONS_00000173.p1	HUMAN16684
TCONS_00000174.p1	HUMAN00449
TCONS_00000180.p1	HUMAN00733
TCONS_00000180.p1	HUMAN24820
TCONS_00000181.p1	HUMAN07459
TCONS_00000185.p1	HUMAN07083
TCONS_00000185.p1	HUMAN07084
TCONS_00000185.p1	HUMAN07085
TCONS_00000185.p1	HUMAN07087
TCONS_00000187.p1	HUMAN16017
TCONS_00000187.p1	HUMAN16018
TCONS_00000188.p1	HUMAN25452
TCONS_00000188.p1	HUMAN25453
TCONS_00000189.p1	HUMAN25301
TCONS_00000189.p1	HUMAN25302
TCONS_00000200.p1	HUMAN07525
TCONS_00000200.p1	HUMAN25720
TCONS_00000201.p1	HUMAN29100
TCONS_00000207.p1	HUMAN24441
TCONS_00000219.p1	HUMAN17828
TCONS_00000219.p1	HUMAN17829
TCONS_00000219.p1	HUMAN26041
TCONS_00000219.p1	HUMAN26508
TCONS_00000219.p1	HUMAN26509
TCONS_00000219.p1	HUMAN26510
TCONS_00000242.p1	HUMAN22534
TCONS_00000242.p1	HUMAN22535
TCONS_00000254.p1	HUMAN25458
TCONS_00000254.p1	HUMAN25459
TCONS_00000254.p1	HUMAN25460
TCONS_00000254.p1	HUMAN25461
TCONS_00000259.p1	HUMAN18117
TCONS_00000259.p1	HUMAN25688
TCONS_00000259.p1	HUMAN25691
TCONS_00000259.p1	HUMAN29715
TCONS_00000259.p1	HUMAN30123
TCONS_00000268.p1	HUMAN21543
TCONS_00000270.p1	HUMAN19384
TCONS_00000270.p1	HUMAN19674
TCONS_00000272.p1	HUMAN07449
TCONS_00000272.p1	HUMAN07450
TCONS_00000274.p1	HUMAN19430
TCONS_00000274.p1	HUMAN25764
TCONS_00000282.p1	HUMAN05436
TCONS_00000285.p1	HUMAN01544
TCONS_00000287.p1	HUMAN00768
TCONS_00000287.p1	HUMAN25357
TCONS_00000293.p1	HUMAN07483
TCONS_00000295.p1	HUMAN25295
TCONS_00000299.p1	HUMAN00596
TCONS_00000299.p1	HUMAN05367
TCONS_00000299.p1	HUMAN25446
TCONS_00000311.p1	HUMAN19140
TCONS_00000311.p1	HUMAN20742
TCONS_00000311.p1	HUMAN25153
TCONS_00000311.p1	HUMAN27839
TCONS_00000311.p1	HUMAN27863
TCONS_00000323.p1	HUMAN21172
TCONS_00000323.p1	HUMAN21173
