TCONS_00000001.p1	bflo_20824
TCONS_00000004.p1	bflo_11707
TCONS_00000006.p1	bflo_03292
TCONS_00000009.p1	bflo_09761
TCONS_00000010.p1	bflo_05894
TCONS_00000011.p1	bflo_20206
TCONS_00000013.p1	bflo_13656
TCONS_00000015.p1	bflo_21553
TCONS_00000016.p1	bflo_12947
TCONS_00000017.p1	bflo_14787
TCONS_00000021.p1	bflo_14093
TCONS_00000022.p1	bflo_05867
TCONS_00000023.p1	bflo_07432
TCONS_00000026.p1	bflo_22691
TCONS_00000027.p1	bflo_08755
TCONS_00000030.p2	bflo_22691
TCONS_00000033.p1	bflo_13904
TCONS_00000035.p1	bflo_13616
TCONS_00000037.p1	bflo_00627
TCONS_00000038.p1	bflo_02201
TCONS_00000039.p1	bflo_04398
TCONS_00000040.p1	bflo_02255
TCONS_00000045.p1	bflo_26511
TCONS_00000050.p1	bflo_00569
TCONS_00000052.p1	bflo_26634
TCONS_00000055.p1	bflo_21263
TCONS_00000057.p1	bflo_05712
TCONS_00000064.p1	bflo_19802
TCONS_00000068.p1	bflo_03953
TCONS_00000070.p1	bflo_08571
TCONS_00000071.p1	bflo_04739
TCONS_00000073.p1	bflo_07958
TCONS_00000074.p1	bflo_13810
TCONS_00000080.p1	bflo_07502
TCONS_00000083.p1	bflo_17999
TCONS_00000084.p1	bflo_06892
TCONS_00000086.p1	bflo_02453
TCONS_00000087.p1	bflo_14069
TCONS_00000088.p1	bflo_02453
TCONS_00000090.p1	bflo_26317
TCONS_00000091.p1	bflo_00272
TCONS_00000092.p1	bflo_00394
TCONS_00000093.p2	bflo_00241
TCONS_00000094.p1	bflo_04224
TCONS_00000095.p1	bflo_02576
TCONS_00000096.p1	bflo_21935
TCONS_00000100.p1	bflo_01586
TCONS_00000101.p1	bflo_01586
TCONS_00000102.p1	bflo_00081
TCONS_00000103.p1	bflo_01586
TCONS_00000104.p1	bflo_00273
TCONS_00000105.p1	bflo_00237
TCONS_00000107.p1	bflo_10804
TCONS_00000109.p1	bflo_23081
TCONS_00000112.p1	bflo_01511
TCONS_00000113.p1	bflo_02977
TCONS_00000115.p1	bflo_18017
TCONS_00000116.p1	bflo_17743
TCONS_00000118.p1	bflo_18063
TCONS_00000121.p1	bflo_18108
TCONS_00000122.p1	bflo_02766
TCONS_00000124.p1	bflo_22034
TCONS_00000125.p1	bflo_17710
TCONS_00000126.p1	bflo_04566
TCONS_00000127.p1	bflo_13828
TCONS_00000128.p1	bflo_18110
TCONS_00000131.p1	bflo_17627
TCONS_00000133.p1	bflo_10802
TCONS_00000136.p1	bflo_00182
TCONS_00000139.p1	bflo_06384
TCONS_00000141.p1	bflo_17895
TCONS_00000142.p1	bflo_02357
TCONS_00000144.p1	bflo_02357
TCONS_00000145.p1	bflo_13036
TCONS_00000146.p1	bflo_13036
TCONS_00000147.p1	bflo_13036
TCONS_00000148.p1	bflo_13036
TCONS_00000152.p1	bflo_17740
TCONS_00000153.p1	bflo_04517
TCONS_00000162.p1	bflo_01468
