TCONS_00000006.p1	BRALA31224
TCONS_00000010.p1	BRALA17247
TCONS_00000010.p1	BRALA27699
TCONS_00000010.p1	BRALA35203
TCONS_00000011.p1	BRALA30323
TCONS_00000015.p1	BRALA05598
TCONS_00000016.p1	BRALA17450
TCONS_00000016.p1	BRALA20425
TCONS_00000021.p1	BRALA30964
TCONS_00000037.p1	BRALA25245
TCONS_00000037.p1	BRALA30339
TCONS_00000039.p1	BRALA34614
TCONS_00000057.p1	BRALA16552
TCONS_00000064.p1	BRALA16841
TCONS_00000064.p1	BRALA21483
TCONS_00000064.p1	BRALA31969
TCONS_00000064.p1	BRALA33391
TCONS_00000070.p1	BRALA31237
TCONS_00000073.p1	BRALA12894
TCONS_00000073.p1	BRALA12895
TCONS_00000073.p1	BRALA32092
TCONS_00000092.p1	BRALA10676
TCONS_00000093.p2	BRALA00473
TCONS_00000094.p1	BRALA03470
TCONS_00000094.p1	BRALA09590
TCONS_00000094.p1	BRALA10982
TCONS_00000094.p1	BRALA23273
TCONS_00000094.p1	BRALA23748
TCONS_00000100.p1	BRALA06929
TCONS_00000100.p1	BRALA08942
TCONS_00000101.p1	BRALA31609
TCONS_00000105.p1	BRALA00467
TCONS_00000109.p1	BRALA27877
TCONS_00000109.p1	BRALA29941
TCONS_00000112.p1	BRALA18025
TCONS_00000112.p1	BRALA31529
TCONS_00000113.p1	BRALA19854
TCONS_00000115.p1	BRALA29239
TCONS_00000116.p1	BRALA27969
TCONS_00000118.p1	BRALA28202
TCONS_00000125.p1	BRALA24820
TCONS_00000128.p1	BRALA15660
TCONS_00000128.p1	BRALA15661
TCONS_00000128.p1	BRALA34840
TCONS_00000136.p1	BRALA14563
TCONS_00000136.p1	BRALA14564
TCONS_00000139.p1	BRALA05654
TCONS_00000139.p1	BRALA05938
TCONS_00000139.p1	BRALA09617
TCONS_00000139.p1	BRALA15826
TCONS_00000139.p1	BRALA32385
TCONS_00000139.p1	BRALA34876
TCONS_00000141.p1	BRALA35550
TCONS_00000141.p1	BRALA35655
TCONS_00000144.p1	BRALA29424
TCONS_00000152.p1	BRALA23696
TCONS_00000152.p1	BRALA33082
TCONS_00000153.p1	BRALA19292
TCONS_00000162.p1	BRALA23321
TCONS_00000162.p1	BRALA33470
TCONS_00000164.p1	BRALA19309
TCONS_00000165.p1	BRALA19306
TCONS_00000165.p1	BRALA19308
TCONS_00000166.p1	BRALA19304
TCONS_00000170.p1	BRALA19302
TCONS_00000172.p1	BRALA01965
TCONS_00000172.p1	BRALA27774
TCONS_00000172.p1	BRALA28935
TCONS_00000172.p1	BRALA32544
TCONS_00000172.p1	BRALA32881
TCONS_00000173.p1	BRALA06152
TCONS_00000173.p1	BRALA16909
TCONS_00000180.p1	BRALA10191
TCONS_00000180.p1	BRALA16921
TCONS_00000180.p1	BRALA16922
TCONS_00000181.p1	BRALA22973
TCONS_00000185.p1	BRALA23724
TCONS_00000187.p1	BRALA24502
TCONS_00000188.p1	BRALA35286
TCONS_00000188.p1	BRALA35438
TCONS_00000189.p1	BRALA19274
TCONS_00000190.p1	BRALA01360
TCONS_00000196.p1	BRALA11998
TCONS_00000197.p1	BRALA15287
TCONS_00000197.p1	BRALA15577
TCONS_00000199.p1	BRALA12417
TCONS_00000200.p1	BRALA33353
TCONS_00000200.p1	BRALA34316
TCONS_00000200.p1	BRALA35098
TCONS_00000201.p1	BRALA20644
TCONS_00000203.p1	BRALA13204
TCONS_00000206.p1	BRALA27350
TCONS_00000211.p1	BRALA11516
TCONS_00000211.p1	BRALA15687
TCONS_00000219.p1	BRALA09051
TCONS_00000219.p1	BRALA14841
TCONS_00000242.p1	BRALA35714
TCONS_00000254.p1	BRALA16893
TCONS_00000259.p1	BRALA16891
TCONS_00000268.p1	BRALA01923
TCONS_00000268.p1	BRALA03295
TCONS_00000268.p1	BRALA09272
TCONS_00000268.p1	BRALA13914
TCONS_00000268.p1	BRALA17197
TCONS_00000268.p1	BRALA17488
TCONS_00000268.p1	BRALA19388
TCONS_00000268.p1	BRALA35900
TCONS_00000270.p1	BRALA18794
TCONS_00000272.p1	BRALA16852
TCONS_00000274.p1	BRALA08963
TCONS_00000278.p1	BRALA02040
TCONS_00000278.p1	BRALA02210
TCONS_00000282.p1	BRALA22991
TCONS_00000285.p1	BRALA22989
TCONS_00000287.p1	BRALA23897
TCONS_00000293.p1	BRALA09723
TCONS_00000293.p1	BRALA33563
TCONS_00000295.p1	BRALA32012
TCONS_00000295.p1	BRALA34008
TCONS_00000295.p1	BRALA34385
TCONS_00000299.p1	BRALA33708
TCONS_00000299.p1	BRALA35902
TCONS_00000311.p1	BRALA01430
TCONS_00000311.p1	BRALA01432
TCONS_00000311.p1	BRALA04303
TCONS_00000311.p1	BRALA11469
TCONS_00000311.p1	BRALA16823
TCONS_00000311.p1	BRALA16824
TCONS_00000311.p1	BRALA16825
TCONS_00000311.p1	BRALA19059
TCONS_00000311.p1	BRALA29512
TCONS_00000323.p1	BRALA01956
TCONS_00000334.p1	BRALA15945
TCONS_00000334.p1	BRALA19019
TCONS_00000334.p1	BRALA19020
TCONS_00000334.p1	BRALA19027
TCONS_00000340.p1	BRALA27968
TCONS_00000340.p1	BRALA33871
TCONS_00000340.p1	BRALA34601
TCONS_00000342.p1	BRALA27978
TCONS_00000344.p1	BRALA24827
TCONS_00000344.p1	BRALA24828
TCONS_00000344.p1	BRALA24830
TCONS_00000345.p1	BRALA19049
TCONS_00000345.p1	BRALA19456
TCONS_00000345.p1	BRALA19459
TCONS_00000345.p1	BRALA24831
TCONS_00000347.p1	BRALA15721
TCONS_00000351.p1	BRALA32866
TCONS_00000361.p1	BRALA11686
TCONS_00000361.p1	BRALA18844
TCONS_00000377.p1	BRALA02675
TCONS_00000377.p1	BRALA02702
TCONS_00000377.p1	BRALA17863
TCONS_00000377.p1	BRALA17868
TCONS_00000379.p1	BRALA01617
TCONS_00000379.p1	BRALA01618
TCONS_00000379.p1	BRALA01620
TCONS_00000379.p1	BRALA01622
TCONS_00000379.p1	BRALA01624
TCONS_00000379.p1	BRALA01626
TCONS_00000379.p1	BRALA01884
TCONS_00000379.p1	BRALA02916
TCONS_00000379.p1	BRALA04466
TCONS_00000379.p1	BRALA05065
TCONS_00000379.p1	BRALA06993
TCONS_00000379.p1	BRALA06998
TCONS_00000379.p1	BRALA07141
TCONS_00000379.p1	BRALA07144
TCONS_00000379.p1	BRALA10250
TCONS_00000379.p1	BRALA15582
TCONS_00000379.p1	BRALA17817
TCONS_00000379.p1	BRALA17862
TCONS_00000379.p1	BRALA20290
TCONS_00000379.p1	BRALA21159
TCONS_00000379.p1	BRALA24887
TCONS_00000379.p1	BRALA25316
TCONS_00000379.p1	BRALA25325
TCONS_00000379.p1	BRALA25326
TCONS_00000379.p1	BRALA26668
TCONS_00000379.p1	BRALA28409
TCONS_00000379.p1	BRALA31744
TCONS_00000379.p1	BRALA32576
TCONS_00000379.p1	BRALA32620
TCONS_00000388.p1	BRALA10507
TCONS_00000390.p1	BRALA32568
TCONS_00000395.p1	BRALA28633
TCONS_00000403.p1	BRALA04843
TCONS_00000403.p1	BRALA10098
TCONS_00000403.p1	BRALA12598
TCONS_00000403.p1	BRALA26699
TCONS_00000403.p1	BRALA26700
TCONS_00000403.p1	BRALA30668
TCONS_00000403.p1	BRALA33525
TCONS_00000403.p1	BRALA33526
TCONS_00000403.p1	BRALA35585
TCONS_00000403.p1	BRALA35812
TCONS_00000406.p1	BRALA17090
TCONS_00000408.p1	BRALA28627
TCONS_00000409.p1	BRALA28829
TCONS_00000411.p1	BRALA32346
TCONS_00000414.p1	BRALA02953
TCONS_00000423.p1	BRALA08981
TCONS_00000425.p1	BRALA24506
TCONS_00000426.p1	BRALA27515
TCONS_00000428.p1	BRALA08947
TCONS_00000461.p1	BRALA17740
TCONS_00000461.p1	BRALA18439
TCONS_00000461.p1	BRALA31181
TCONS_00000461.p1	BRALA33774
TCONS_00000480.p1	BRALA24562
TCONS_00000491.p1	BRALA18806
TCONS_00000491.p1	BRALA35831
TCONS_00000492.p1	BRALA19002
TCONS_00000492.p1	BRALA33937
TCONS_00000493.p1	BRALA06294
TCONS_00000493.p1	BRALA30516
TCONS_00000493.p1	BRALA31549
TCONS_00000495.p1	BRALA19316
TCONS_00000496.p1	BRALA19006
TCONS_00000497.p1	BRALA19004
TCONS_00000505.p1	BRALA08980
TCONS_00000511.p1	BRALA01466
TCONS_00000511.p1	BRALA05125
TCONS_00000511.p1	BRALA05126
TCONS_00000511.p1	BRALA16837
TCONS_00000511.p1	BRALA26380
TCONS_00000511.p1	BRALA26381
TCONS_00000511.p1	BRALA29247
TCONS_00000511.p1	BRALA29474
TCONS_00000511.p1	BRALA30138
TCONS_00000511.p1	BRALA30813
TCONS_00000511.p1	BRALA33867
TCONS_00000515.p1	BRALA34231
TCONS_00000518.p1	BRALA33932
TCONS_00000518.p1	BRALA34203
TCONS_00000518.p1	BRALA34958
TCONS_00000523.p1	BRALA24525
TCONS_00000523.p1	BRALA34021
TCONS_00000523.p1	BRALA34476
TCONS_00000523.p1	BRALA35353
TCONS_00000524.p1	BRALA16853
TCONS_00000530.p1	BRALA00214
TCONS_00000532.p1	BRALA04647
TCONS_00000533.p1	BRALA31268
TCONS_00000534.p1	BRALA05322
TCONS_00000534.p1	BRALA18392
TCONS_00000539.p1	BRALA15008
TCONS_00000539.p1	BRALA34768
TCONS_00000550.p1	BRALA06523
TCONS_00000575.p1	BRALA27520
TCONS_00000577.p1	BRALA01865
TCONS_00000577.p1	BRALA22974
TCONS_00000579.p1	BRALA24505
TCONS_00000584.p1	BRALA31563
TCONS_00000584.p1	BRALA33710
TCONS_00000585.p1	BRALA19031
TCONS_00000589.p1	BRALA12384
TCONS_00000591.p1	BRALA18805
TCONS_00000594.p1	BRALA25408
TCONS_00000595.p1	BRALA30427
TCONS_00000598.p1	BRALA29359
TCONS_00000598.p1	BRALA35865
TCONS_00000598.p1	BRALA35967
TCONS_00000600.p1	BRALA18841
TCONS_00000626.p1	BRALA24732
TCONS_00000626.p1	BRALA27602
TCONS_00000626.p1	BRALA33303
TCONS_00000627.p1	BRALA07911
TCONS_00000627.p1	BRALA10590
TCONS_00000627.p1	BRALA16727
TCONS_00000627.p1	BRALA28060
TCONS_00000635.p1	BRALA23874
TCONS_00000636.p1	BRALA16863
TCONS_00000637.p1	BRALA16865
TCONS_00000638.p1	BRALA16866
TCONS_00000640.p1	BRALA25426
TCONS_00000643.p1	BRALA08681
TCONS_00000643.p1	BRALA12314
TCONS_00000645.p1	BRALA12338
TCONS_00000655.p1	BRALA13465
TCONS_00000681.p1	BRALA02241
TCONS_00000681.p1	BRALA03078
TCONS_00000681.p1	BRALA12343
TCONS_00000681.p1	BRALA15381
TCONS_00000681.p1	BRALA24472
TCONS_00000681.p1	BRALA27929
TCONS_00000681.p1	BRALA30605
TCONS_00000681.p1	BRALA31821
TCONS_00000681.p1	BRALA31822
TCONS_00000681.p1	BRALA33581
TCONS_00000684.p1	BRALA00866
TCONS_00000684.p1	BRALA29361
TCONS_00000689.p1	BRALA19731
TCONS_00000698.p1	BRALA28607
TCONS_00000703.p1	BRALA03417
TCONS_00000703.p1	BRALA33258
TCONS_00000707.p1	BRALA11141
TCONS_00000708.p1	BRALA31908
TCONS_00000709.p1	BRALA18306
TCONS_00000711.p1	BRALA11030
TCONS_00000712.p1	BRALA17949
TCONS_00000712.p1	BRALA17950
TCONS_00000712.p1	BRALA17951
TCONS_00000713.p1	BRALA28431
TCONS_00000727.p1	BRALA10852
TCONS_00000727.p1	BRALA16857
TCONS_00000729.p1	BRALA22038
TCONS_00000737.p1	BRALA23007
TCONS_00000737.p1	BRALA33663
TCONS_00000737.p1	BRALA34569
TCONS_00000738.p1	BRALA28081
TCONS_00000742.p1	BRALA19033
TCONS_00000744.p1	BRALA10617
TCONS_00000745.p1	BRALA01115
TCONS_00000745.p1	BRALA01116
TCONS_00000745.p1	BRALA01117
TCONS_00000745.p1	BRALA01118
TCONS_00000745.p1	BRALA01119
TCONS_00000745.p1	BRALA01720
TCONS_00000745.p1	BRALA07266
TCONS_00000745.p1	BRALA07267
TCONS_00000745.p1	BRALA07270
TCONS_00000745.p1	BRALA28066
TCONS_00000745.p1	BRALA32954
TCONS_00000745.p1	BRALA32956
TCONS_00000745.p1	BRALA32957
TCONS_00000749.p1	BRALA12414
TCONS_00000750.p1	BRALA24679
TCONS_00000757.p1	BRALA04132
TCONS_00000757.p1	BRALA32639
TCONS_00000772.p1	BRALA16564
TCONS_00000774.p1	BRALA19060
TCONS_00000776.p1	BRALA21137
TCONS_00000776.p1	BRALA26180
TCONS_00000776.p1	BRALA26181
TCONS_00000776.p1	BRALA26182
TCONS_00000777.p1	BRALA27523
TCONS_00000777.p1	BRALA30554
TCONS_00000780.p1	BRALA13452
TCONS_00000780.p1	BRALA35174
TCONS_00000780.p1	BRALA35406
TCONS_00000787.p1	BRALA03744
TCONS_00000787.p1	BRALA20697
TCONS_00000789.p1	BRALA02158
TCONS_00000789.p1	BRALA08776
TCONS_00000789.p1	BRALA09612
TCONS_00000789.p1	BRALA16428
TCONS_00000789.p1	BRALA16457
TCONS_00000789.p1	BRALA16872
TCONS_00000789.p1	BRALA18252
TCONS_00000789.p1	BRALA20117
TCONS_00000789.p1	BRALA22350
TCONS_00000789.p1	BRALA22773
TCONS_00000789.p1	BRALA23266
TCONS_00000789.p1	BRALA24034
TCONS_00000789.p1	BRALA24603
TCONS_00000789.p1	BRALA24815
TCONS_00000789.p1	BRALA26037
TCONS_00000789.p1	BRALA26736
TCONS_00000789.p1	BRALA28565
TCONS_00000789.p1	BRALA30230
TCONS_00000789.p1	BRALA30231
TCONS_00000789.p1	BRALA31341
TCONS_00000789.p1	BRALA32485
TCONS_00000789.p1	BRALA32587
TCONS_00000789.p1	BRALA32949
TCONS_00000789.p1	BRALA33111
TCONS_00000789.p1	BRALA33248
TCONS_00000789.p1	BRALA33497
TCONS_00000789.p1	BRALA33614
TCONS_00000789.p1	BRALA34002
TCONS_00000790.p1	BRALA00886
TCONS_00000790.p1	BRALA02174
TCONS_00000790.p1	BRALA02551
TCONS_00000790.p1	BRALA03587
TCONS_00000790.p1	BRALA06541
TCONS_00000790.p1	BRALA07203
TCONS_00000790.p1	BRALA07648
TCONS_00000790.p1	BRALA10845
TCONS_00000790.p1	BRALA11250
TCONS_00000790.p1	BRALA12567
TCONS_00000790.p1	BRALA13361
TCONS_00000790.p1	BRALA13571
TCONS_00000790.p1	BRALA14170
TCONS_00000790.p1	BRALA14314
TCONS_00000790.p1	BRALA14418
TCONS_00000790.p1	BRALA14904
TCONS_00000790.p1	BRALA15452
TCONS_00000790.p1	BRALA17682
TCONS_00000790.p1	BRALA20766
TCONS_00000790.p1	BRALA22748
TCONS_00000790.p1	BRALA23250
TCONS_00000790.p1	BRALA23951
TCONS_00000790.p1	BRALA25590
TCONS_00000790.p1	BRALA26558
TCONS_00000790.p1	BRALA26559
TCONS_00000790.p1	BRALA28513
TCONS_00000790.p1	BRALA28516
TCONS_00000790.p1	BRALA29702
TCONS_00000790.p1	BRALA30116
TCONS_00000790.p1	BRALA30334
TCONS_00000790.p1	BRALA30776
TCONS_00000790.p1	BRALA31043
TCONS_00000790.p1	BRALA32723
TCONS_00000790.p1	BRALA32969
TCONS_00000790.p1	BRALA32974
TCONS_00000790.p1	BRALA34562
TCONS_00000794.p1	BRALA32177
TCONS_00000805.p1	BRALA33541
TCONS_00000808.p1	BRALA19227
TCONS_00000813.p1	BRALA16900
TCONS_00000831.p1	BRALA09754
TCONS_00000831.p1	BRALA14183
TCONS_00000831.p1	BRALA18286
TCONS_00000831.p1	BRALA22725
TCONS_00000832.p1	BRALA09974
TCONS_00000832.p1	BRALA18903
TCONS_00000832.p1	BRALA32579
TCONS_00000834.p1	BRALA22052
TCONS_00000838.p1	BRALA19706
TCONS_00000839.p1	BRALA19704
TCONS_00000846.p1	BRALA20776
TCONS_00000848.p1	BRALA03631
TCONS_00000852.p1	BRALA09011
TCONS_00000853.p1	BRALA11811
TCONS_00000854.p1	BRALA23721
TCONS_00000855.p1	BRALA19667
TCONS_00000855.p1	BRALA19668
TCONS_00000865.p1	BRALA24507
TCONS_00000865.p1	BRALA24508
TCONS_00000865.p1	BRALA24509
TCONS_00000867.p1	BRALA12273
TCONS_00000867.p1	BRALA12274
TCONS_00000867.p1	BRALA14706
TCONS_00000867.p1	BRALA15621
TCONS_00000867.p1	BRALA33961
TCONS_00000867.p1	BRALA35075
TCONS_00000868.p1	BRALA09010
TCONS_00000868.p1	BRALA14288
TCONS_00000870.p1	BRALA15664
TCONS_00000870.p1	BRALA33311
TCONS_00000871.p1	BRALA08333
TCONS_00000875.p1	BRALA15214
TCONS_00000878.p1	BRALA01585
