TCONS_00000006.p1	OFUSG02828.1.p1
TCONS_00000009.p1	OFUSG26242.1.p1
TCONS_00000010.p1	OFUSG03055.1.p1
TCONS_00000011.p1	OFUSG02569.1.p1
TCONS_00000015.p1	OFUSG09007.2.p1
TCONS_00000016.p1	OFUSG09007.2.p1
TCONS_00000022.p1	OFUSG15717.1.p1
TCONS_00000023.p1	OFUSG00895.1.p1
TCONS_00000026.p1	OFUSG12268.1.p1
TCONS_00000033.p1	OFUSG20681.1.p1
TCONS_00000035.p1	OFUSG25830.1.p1
TCONS_00000037.p1	OFUSG13833.1.p1
TCONS_00000038.p1	OFUSG01311.1.p1
TCONS_00000039.p1	OFUSG00757.1.p1
TCONS_00000040.p1	OFUSG00908.1.p1
TCONS_00000050.p1	OFUSG09384.1.p1
TCONS_00000052.p1	OFUSG13985.1.p1
TCONS_00000057.p1	OFUSG26336.1.p1
TCONS_00000070.p1	OFUSG21901.2.p1
TCONS_00000080.p1	OFUSG15731.1.p1
TCONS_00000083.p1	OFUSG20733.2.p1
TCONS_00000084.p1	OFUSG17690.1.p1
TCONS_00000087.p1	OFUSG03220.1.p1
TCONS_00000091.p1	OFUSG00864.1.p1
TCONS_00000092.p1	OFUSG17531.3.p1
TCONS_00000093.p2	OFUSG23348.1.p2
TCONS_00000094.p1	OFUSG04003.1.p1
TCONS_00000096.p1	OFUSG19980.1.p1
TCONS_00000100.p1	OFUSG25821.2.p1
TCONS_00000101.p1	OFUSG25821.2.p1
TCONS_00000102.p1	OFUSG25821.2.p1
TCONS_00000103.p1	OFUSG03432.1.p1
TCONS_00000104.p1	OFUSG16885.1.p1
TCONS_00000105.p1	OFUSG23347.4.p1
TCONS_00000109.p1	OFUSG11928.1.p1
TCONS_00000113.p1	OFUSG18733.1.p1
TCONS_00000115.p1	OFUSG00218.1.p1
TCONS_00000118.p1	OFUSG15724.1.p1
TCONS_00000121.p1	OFUSG00051.1.p1
TCONS_00000122.p1	OFUSG17464.2.p1
TCONS_00000124.p1	OFUSG03351.1.p1
TCONS_00000125.p1	OFUSG01878.1.p1
TCONS_00000126.p1	OFUSG15717.1.p1
TCONS_00000127.p1	OFUSG23070.1.p1
TCONS_00000128.p1	OFUSG01533.1.p1
TCONS_00000131.p1	OFUSG00060.1.p1
TCONS_00000133.p1	OFUSG14140.1.p1
TCONS_00000136.p1	OFUSG01900.1.p1
TCONS_00000139.p1	OFUSG04469.1.p1
TCONS_00000141.p1	OFUSG00902.1.p1
TCONS_00000142.p1	OFUSG09150.1.p1
TCONS_00000144.p1	OFUSG10029.1.p1
TCONS_00000145.p1	OFUSG03693.1.p1
TCONS_00000146.p1	OFUSG24728.1.p1
TCONS_00000147.p1	OFUSG24728.1.p1
TCONS_00000148.p1	OFUSG00507.1.p1
TCONS_00000152.p1	OFUSG00222.1.p1
TCONS_00000153.p1	OFUSG00664.2.p1
TCONS_00000162.p1	OFUSG06667.1.p1
TCONS_00000164.p1	OFUSG01336.1.p1
TCONS_00000165.p1	OFUSG00724.1.p1
TCONS_00000166.p1	OFUSG01364.2.p1
TCONS_00000169.p1	OFUSG11952.1.p1
TCONS_00000170.p1	OFUSG01337.3.p1
TCONS_00000173.p1	OFUSG01761.1.p1
TCONS_00000174.p1	OFUSG10872.1.p1
TCONS_00000175.p1	OFUSG25416.1.p1
TCONS_00000177.p1	OFUSG03220.1.p1
TCONS_00000178.p1	OFUSG03220.1.p1
TCONS_00000180.p1	OFUSG13570.1.p1
TCONS_00000181.p1	OFUSG00940.1.p1
TCONS_00000185.p1	OFUSG01059.1.p1
TCONS_00000187.p1	OFUSG01428.1.p1
TCONS_00000188.p1	OFUSG00411.1.p1
TCONS_00000189.p1	OFUSG01859.1.p1
TCONS_00000190.p1	OFUSG24651.1.p1
TCONS_00000194.p4	OFUSG14840.1.p1
TCONS_00000196.p1	OFUSG03693.1.p1
TCONS_00000197.p1	OFUSG03693.1.p1
TCONS_00000199.p1	OFUSG00404.1.p1
TCONS_00000200.p1	OFUSG01510.2.p1
TCONS_00000201.p1	OFUSG07228.1.p1
TCONS_00000203.p1	OFUSG03306.1.p1
TCONS_00000204.p1	OFUSG17055.1.p1
TCONS_00000205.p1	OFUSG03693.1.p1
TCONS_00000206.p1	OFUSG03693.1.p1
TCONS_00000207.p1	OFUSG03693.1.p1
TCONS_00000211.p1	OFUSG11128.1.p1
TCONS_00000219.p1	OFUSG01405.2.p1
TCONS_00000236.p1	OFUSG15716.1.p1
TCONS_00000242.p1	OFUSG00506.1.p1
TCONS_00000252.p1	OFUSG05757.1.p1
TCONS_00000254.p1	OFUSG00063.1.p1
