TCONS_00053250.p1	BRALA00797
TCONS_00051863.p1	BRALA34707
TCONS_00029280.p1	BRALA16803
TCONS_00050069.p1	BRALA03711
TCONS_00056859.p1	BRALA07390
TCONS_00031072.p1	BRALA24912
TCONS_00038423.p1	BRALA06693
TCONS_00002871.p1	BRALA25403
TCONS_00027640.p1	BRALA25837
TCONS_00019312.p1	BRALA07902
TCONS_00010502.p1	BRALA15220
TCONS_00043751.p1	BRALA19247
TCONS_00025261.p1	BRALA22759
TCONS_00010085.p1	BRALA22478
TCONS_00030524.p1	BRALA25256
TCONS_00017297.p1	BRALA12381
TCONS_00014874.p1	BRALA02737
TCONS_00050777.p1	BRALA15843
TCONS_00021470.p1	BRALA05979
TCONS_00024571.p1	BRALA30978
TCONS_00015937.p1	BRALA20638
TCONS_00011014.p1	BRALA30794
TCONS_00021981.p1	BRALA05866
TCONS_00038483.p1	BRALA30203
TCONS_00033662.p1	BRALA27045
TCONS_00003576.p1	BRALA23030
TCONS_00011216.p1	BRALA11933
TCONS_00020355.p1	BRALA04147
TCONS_00054310.p1	BRALA01192
TCONS_00008938.p1	BRALA03354
TCONS_00054626.p1	BRALA00969
TCONS_00010065.p1	BRALA22579
TCONS_00049295.p1	BRALA10976
TCONS_00014945.p1	BRALA02658
TCONS_00047597.p1	BRALA28233
TCONS_00052135.p1	BRALA05702
TCONS_00006749.p1	BRALA29699
TCONS_00007094.p1	BRALA03330
TCONS_00053112.p1	BRALA10936
TCONS_00024372.p1	BRALA18241
TCONS_00033132.p1	BRALA04243
TCONS_00005799.p1	BRALA22179
TCONS_00045263.p1	BRALA16691
TCONS_00052900.p1	BRALA05034
TCONS_00043444.p1	BRALA26986
TCONS_00008124.p1	BRALA27615
TCONS_00017390.p1	BRALA28780
TCONS_00004815.p1	BRALA04534
TCONS_00048795.p1	BRALA20329
TCONS_00046857.p1	BRALA14585
TCONS_00021863.p1	BRALA12127
TCONS_00055161.p1	BRALA13028
TCONS_00013510.p1	BRALA11173
TCONS_00047900.p1	BRALA20520
TCONS_00055907.p1	BRALA22169
TCONS_00052701.p1	BRALA01129
TCONS_00056085.p1	BRALA08003
TCONS_00051480.p1	BRALA19627
TCONS_00027915.p1	BRALA01612
TCONS_00035950.p1	BRALA08874
TCONS_00013498.p1	BRALA12336
TCONS_00039495.p1	BRALA25085
TCONS_00022722.p1	BRALA12145
TCONS_00057016.p1	BRALA19948
TCONS_00015879.p1	BRALA21732
TCONS_00038277.p1	BRALA16632
TCONS_00043983.p1	BRALA15920
TCONS_00012712.p1	BRALA11115
TCONS_00027771.p1	BRALA21420
TCONS_00020142.p1	BRALA15108
TCONS_00011881.p1	BRALA11978
TCONS_00054902.p1	BRALA09176
TCONS_00016077.p1	BRALA18311
TCONS_00008544.p1	BRALA12502
TCONS_00019728.p1	BRALA00433
TCONS_00015836.p1	BRALA05144
TCONS_00018313.p1	BRALA16251
TCONS_00053625.p1	BRALA01345
TCONS_00014810.p1	BRALA18359
TCONS_00005889.p1	BRALA26873
TCONS_00052002.p1	BRALA19617
TCONS_00046617.p1	BRALA04098
TCONS_00036755.p1	BRALA02051
TCONS_00003309.p1	BRALA07064
TCONS_00044463.p1	BRALA22711
TCONS_00000846.p1	BRALA20776
TCONS_00006355.p1	BRALA23247
TCONS_00026686.p1	BRALA29154
TCONS_00007193.p1	BRALA16140
TCONS_00021164.p1	BRALA12225
TCONS_00026982.p1	BRALA22358
TCONS_00028399.p1	BRALA03789
TCONS_00052529.p1	BRALA01000
TCONS_00035260.p1	BRALA21190
TCONS_00024837.p1	BRALA01444
TCONS_00020361.p1	BRALA12469
TCONS_00006346.p1	BRALA22172
TCONS_00019474.p1	BRALA10737
TCONS_00050637.p1	BRALA26683
TCONS_00020063.p1	BRALA04064
TCONS_00031917.p1	BRALA07980
TCONS_00053107.p1	BRALA13286
TCONS_00051521.p1	BRALA26784
TCONS_00046489.p1	BRALA16643
TCONS_00042990.p1	BRALA21819
TCONS_00022744.p1	BRALA05902
TCONS_00009958.p1	BRALA12061
TCONS_00034035.p1	BRALA07930
