TCONS_00007368.p1	OFUSG22886.1.p1
TCONS_00016369.p1	OFUSG08159.1.p1
TCONS_00047653.p1	OFUSG19191.1.p1
TCONS_00029158.p1	OFUSG20155.1.p1
TCONS_00005252.p1	OFUSG22505.1.p1
TCONS_00054332.p1	OFUSG13138.1.p1
TCONS_00012559.p1	OFUSG17954.1.p1
TCONS_00008120.p1	OFUSG20517.1.p1
TCONS_00027673.p1	OFUSG06567.1.p1
TCONS_00000871.p1	OFUSG00470.1.p1
TCONS_00008071.p1	OFUSG20351.1.p1
TCONS_00011587.p1	OFUSG12552.2.p1
TCONS_00020701.p1	OFUSG07596.1.p1
TCONS_00051908.p1	OFUSG26335.1.p1
TCONS_00057205.p1	OFUSG04126.1.p1
TCONS_00001275.p1	OFUSG01532.1.p1
TCONS_00056700.p1	OFUSG07573.2.p1
TCONS_00006381.p1	OFUSG23880.1.p1
TCONS_00024965.p1	OFUSG25826.2.p1
TCONS_00005098.p1	OFUSG15113.1.p1
TCONS_00056893.p1	OFUSG16639.1.p1
TCONS_00044329.p1	OFUSG02718.1.p1
TCONS_00008382.p1	OFUSG20237.1.p1
TCONS_00052552.p1	OFUSG13085.3.p1
TCONS_00000512.p1	OFUSG01805.1.p1
TCONS_00014892.p1	OFUSG24688.1.p1
TCONS_00031719.p1	OFUSG26634.1.p1
TCONS_00001704.p1	OFUSG01546.1.p1
TCONS_00049106.p1	OFUSG05842.1.p1
TCONS_00043599.p1	OFUSG20307.1.p1
TCONS_00010762.p1	OFUSG11370.1.p1
TCONS_00002096.p1	OFUSG00967.1.p1
TCONS_00018843.p1	OFUSG25018.1.p1
TCONS_00030928.p1	OFUSG10992.1.p1
TCONS_00034175.p1	OFUSG08448.1.p1
TCONS_00027205.p1	OFUSG02166.1.p1
TCONS_00024837.p1	OFUSG23661.1.p1
TCONS_00010985.p1	OFUSG21044.1.p1
TCONS_00009731.p1	OFUSG25280.1.p1
TCONS_00053690.p1	OFUSG04085.1.p1
TCONS_00037977.p1	OFUSG01617.1.p1
TCONS_00001248.p1	OFUSG01920.1.p1
TCONS_00049380.p1	OFUSG06152.1.p1
TCONS_00054519.p1	OFUSG26572.1.p1
TCONS_00036087.p1	OFUSG00268.1.p1
TCONS_00021887.p1	OFUSG13902.1.p1
TCONS_00001265.p1	OFUSG00434.1.p1
TCONS_00000340.p1	OFUSG00177.1.p1
TCONS_00014358.p1	OFUSG10355.2.p1
TCONS_00011261.p1	OFUSG21840.1.p1
TCONS_00056126.p1	OFUSG03915.2.p1
TCONS_00013532.p1	OFUSG10466.1.p1
TCONS_00056552.p1	OFUSG07816.1.p1
TCONS_00031259.p1	OFUSG24519.1.p1
TCONS_00050227.p1	OFUSG12989.2.p1
TCONS_00048292.p1	OFUSG19401.1.p1
TCONS_00048456.p1	OFUSG19345.1.p1
TCONS_00033269.p1	OFUSG12693.1.p1
TCONS_00053971.p1	OFUSG21077.1.p1
TCONS_00049223.p1	OFUSG06906.1.p1
TCONS_00015502.p1	OFUSG06985.3.p1
TCONS_00055790.p1	OFUSG08206.1.p1
TCONS_00010186.p1	OFUSG25058.1.p1
TCONS_00015180.p1	OFUSG26673.1.p1
TCONS_00009433.p1	OFUSG05086.1.p1
TCONS_00029836.p1	OFUSG20033.1.p1
TCONS_00015687.p1	OFUSG25611.1.p1
TCONS_00006434.p1	OFUSG22451.1.p1
TCONS_00052745.p1	OFUSG13077.1.p1
