TCONS_00033626.p1	bflo_07005
TCONS_00052194.p1	bflo_24281
TCONS_00017046.p1	bflo_01968
TCONS_00002619.p1	bflo_04445
TCONS_00015815.p1	bflo_15667
TCONS_00055185.p1	bflo_00862
TCONS_00008215.p1	bflo_13109
TCONS_00041793.p1	bflo_15014
TCONS_00053983.p1	bflo_07262
TCONS_00011904.p1	bflo_10547
TCONS_00043123.p1	bflo_14290
TCONS_00006047.p1	bflo_20602
TCONS_00016197.p1	bflo_16122
TCONS_00005143.p1	bflo_20300
TCONS_00049497.p1	bflo_21324
TCONS_00048395.p1	bflo_11098
TCONS_00002962.p1	bflo_15101
TCONS_00044604.p1	bflo_16137
TCONS_00029041.p1	bflo_06108
TCONS_00055092.p1	bflo_21678
TCONS_00001462.p1	bflo_16688
TCONS_00050105.p1	bflo_08768
TCONS_00054449.p1	bflo_26327
TCONS_00031430.p1	bflo_07007
TCONS_00005599.p1	bflo_13860
TCONS_00012914.p1	bflo_22731
TCONS_00049656.p1	bflo_11437
TCONS_00047871.p1	bflo_05300
TCONS_00027067.p1	bflo_10672
TCONS_00024144.p1	bflo_09971
TCONS_00012647.p1	bflo_22672
TCONS_00050201.p1	bflo_01933
TCONS_00047692.p1	bflo_27012
TCONS_00027429.p1	bflo_09497
TCONS_00018079.p1	bflo_11903
TCONS_00006407.p1	bflo_16570
TCONS_00056321.p1	bflo_18828
TCONS_00043030.p1	bflo_14969
TCONS_00027129.p1	bflo_10001
TCONS_00006726.p1	bflo_20844
TCONS_00023837.p1	bflo_08895
TCONS_00016022.p1	bflo_15870
TCONS_00036181.p1	bflo_25283
TCONS_00009200.p1	bflo_13341
TCONS_00043871.p1	bflo_14266
TCONS_00018360.p1	bflo_22754
TCONS_00016874.p1	bflo_03397
TCONS_00019341.p1	bflo_08294
TCONS_00050047.p1	bflo_24265
TCONS_00007347.p1	bflo_12858
TCONS_00004875.p1	bflo_20426
TCONS_00010830.p1	bflo_18989
TCONS_00001321.p1	bflo_17331
TCONS_00057205.p1	bflo_19314
TCONS_00040893.p1	bflo_10424
TCONS_00009332.p1	bflo_27044
TCONS_00030200.p1	bflo_08430
TCONS_00012688.p1	bflo_19799
TCONS_00020620.p1	bflo_20288
TCONS_00019583.p1	bflo_00170
TCONS_00011317.p1	bflo_15922
TCONS_00054872.p1	bflo_19223
TCONS_00006082.p1	bflo_20240
TCONS_00028131.p1	bflo_22238
TCONS_00033398.p1	bflo_00257
TCONS_00000996.p1	bflo_18095
TCONS_00026381.p1	bflo_10696
TCONS_00037569.p1	bflo_16871
TCONS_00051149.p1	bflo_23632
TCONS_00010304.p1	bflo_16999
TCONS_00029738.p1	bflo_06337
TCONS_00016056.p1	bflo_15957
TCONS_00004068.p1	bflo_02342
TCONS_00022228.p1	bflo_22051
TCONS_00014432.p1	bflo_23858
TCONS_00023683.p1	bflo_09761
TCONS_00022712.p1	bflo_07750
TCONS_00008043.p1	bflo_16414
TCONS_00046532.p1	bflo_01732
TCONS_00022192.p1	bflo_02139
TCONS_00048164.p1	bflo_11035
