#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_5/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_5/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_5/0.0264154771148277.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_5/target.clean..pos
BGpeak38350	Scaffold_19_1_contigs	24238757	24238959	+	0.000	0.000	peak38350
BGpeak38358	Scaffold_19_1_contigs	24259894	24260059	+	0.000	0.000	peak38358
BGpeak38416	Scaffold_19_1_contigs	24935126	24935349	+	0.000	0.000	peak38416
BGpeak38417	Scaffold_19_1_contigs	24937289	24937988	+	0.000	0.000	peak38417
BGpeak38427	Scaffold_19_1_contigs	24965638	24966069	+	0.000	0.000	peak38427
BGpeak38435	Scaffold_19_1_contigs	24990435	24990780	+	0.000	0.000	peak38435
BGpeak38443	Scaffold_19_1_contigs	25012059	25012482	+	0.000	0.000	peak38443
BGpeak38444	Scaffold_19_1_contigs	25012956	25013312	+	0.000	0.000	peak38444
BGpeak38455	Scaffold_19_1_contigs	25141181	25141848	+	0.000	0.000	peak38455
BGpeak38466	Scaffold_19_1_contigs	25238999	25239390	+	0.000	0.000	peak38466
BGpeak38469	Scaffold_19_1_contigs	25271996	25272314	+	0.000	0.000	peak38469
BGpeak38470	Scaffold_19_1_contigs	25272592	25272834	+	0.000	0.000	peak38470
BGpeak38481	Scaffold_19_1_contigs	25318291	25318657	+	0.000	0.000	peak38481
BGpeak38490	Scaffold_19_1_contigs	25371247	25371637	+	0.000	0.000	peak38490
BGpeak38499	Scaffold_19_1_contigs	25452209	25452482	+	0.000	0.000	peak38499
BGpeak38547	Scaffold_19_1_contigs	25862093	25862723	+	0.000	0.000	peak38547
BGpeak38554	Scaffold_19_1_contigs	25884236	25884430	+	0.000	0.000	peak38554
BGpeak38555	Scaffold_19_1_contigs	25886074	25886301	+	0.000	0.000	peak38555
BGpeak38558	Scaffold_19_1_contigs	25921535	25921933	+	0.000	0.000	peak38558
BGpeak38607	Scaffold_19_1_contigs	26305630	26306016	+	0.000	0.000	peak38607
BGpeak38610	Scaffold_19_1_contigs	26308638	26308872	+	0.000	0.000	peak38610
BGpeak38613	Scaffold_19_1_contigs	26311369	26311816	+	0.000	0.000	peak38613
BGpeak38690	Scaffold_19_1_contigs	27019210	27019523	+	0.000	0.000	peak38690
BGpeak38702	Scaffold_19_1_contigs	27203055	27203531	+	0.000	0.000	peak38702
BGpeak38707	Scaffold_19_1_contigs	27312940	27313400	+	0.000	0.000	peak38707
BGpeak73079	Scaffold_7_1_contigs	21658893	21659195	+	0.000	0.000	peak73079
BGpeak73092	Scaffold_7_1_contigs	21761865	21762161	+	0.000	0.000	peak73092
BGpeak38762	Scaffold_19_1_contigs	28302022	28302396	+	0.000	0.000	peak38762
BGpeak38794	Scaffold_19_1_contigs	28654192	28654512	+	0.000	0.000	peak38794
BGpeak38795	Scaffold_19_1_contigs	28664952	28665290	+	0.000	0.000	peak38795
BGpeak73136	Scaffold_7_1_contigs	22291051	22291372	+	0.000	0.000	peak73136
BGpeak73149	Scaffold_7_1_contigs	22323131	22323410	+	0.000	0.000	peak73149
BGpeak38829	Scaffold_19_1_contigs	29104074	29104367	+	0.000	0.000	peak38829
BGpeak73195	Scaffold_7_1_contigs	22726171	22726653	+	0.000	0.000	peak73195
BGpeak38861	Scaffold_19_1_contigs	29404086	29404386	+	0.000	0.000	peak38861
BGpeak38882	Scaffold_19_1_contigs	29640937	29641082	+	0.000	0.000	peak38882
