Orthogroup	XENTR	APOSC_ok
OG0000000	XENTR08878	APOSC_11837, APOSC_12606
OG0000000	XENTR18066, XENTR08976, XENTR07932	APOSC_11472, APOSC_29094
OG0000000	XENTR10509, XENTR10508, XENTR13402	APOSC_25410
OG0000000	XENTR10492, XENTR10560	APOSC_11604
OG0000000	XENTR07734, XENTR13891	APOSC_19137
OG0000000	XENTR17298, XENTR05705	APOSC_11544
OG0000000	XENTR16086	APOSC_06717
OG0000000	XENTR12445	APOSC_04208
OG0000000	XENTR07618	APOSC_07565
OG0000000	XENTR07167, XENTR10848, XENTR03338	APOSC_22022
OG0000000	XENTR04390, XENTR05494	APOSC_04964
OG0000000	XENTR04389	APOSC_16565
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540	APOSC_27318
OG0000000	XENTR10852, XENTR03334, XENTR08541	APOSC_14732
OG0000000	XENTR06295, XENTR04184	APOSC_24894
OG0000000	XENTR03185	APOSC_24788
OG0000000	XENTR12464, XENTR08726	APOSC_28968
OG0000000	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330	APOSC_18629
OG0000000	XENTR04388, XENTR00687, XENTR13779	APOSC_10621
OG0000000	XENTR03327, XENTR07175	APOSC_22429
OG0000000	XENTR01971, XENTR14936, XENTR09546	APOSC_04636
OG0000000	XENTR01972, XENTR09547, XENTR08722	APOSC_18693
OG0000000	XENTR12981	APOSC_00117
OG0000000	XENTR06679	APOSC_08607
OG0000001	XENTR06490	APOSC_22349, APOSC_16849
OG0000002	XENTR12747	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	XENTR17667	APOSC_19154, APOSC_21951
OG0000004	XENTR16872, XENTR15834	APOSC_03634
OG0000004	XENTR18073	APOSC_06431, APOSC_27025
OG0000004	XENTR07291	APOSC_27205, APOSC_09030, APOSC_06178, APOSC_04579, APOSC_04580, APOSC_19837, APOSC_03036, APOSC_11365, APOSC_02487, APOSC_00158, APOSC_18438, APOSC_13722, APOSC_00273, APOSC_24885, APOSC_24884, APOSC_01498, APOSC_16623, APOSC_02533, APOSC_05543, APOSC_04330
OG0000005	XENTR16849, XENTR09568	APOSC_21707
OG0000006	XENTR00026	APOSC_10640
OG0000006	XENTR03474, XENTR03473, XENTR14730	APOSC_17637
OG0000006	XENTR03090, XENTR09060	APOSC_08216
OG0000006	XENTR03954, XENTR14945	APOSC_08805
OG0000006	XENTR00399, XENTR09859	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	XENTR09947, XENTR11692	APOSC_25251, APOSC_25252
OG0000006	XENTR11329	APOSC_19228
OG0000006	XENTR15046	APOSC_11581
OG0000006	XENTR13548	APOSC_02745
OG0000006	XENTR15729, XENTR08627	APOSC_10711
OG0000006	XENTR04854, XENTR07280, XENTR07527	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	XENTR12339, XENTR03854, XENTR12781	APOSC_06790, APOSC_06791
OG0000006	XENTR18680, XENTR15398	APOSC_16303, APOSC_23470
OG0000007	XENTR04989, XENTR07641	APOSC_04982
OG0000007	XENTR10435	APOSC_19545
OG0000007	XENTR12787, XENTR08906, XENTR06676	APOSC_11262
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	APOSC_29119
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	APOSC_07509
OG0000007	XENTR07642	APOSC_11745
OG0000007	XENTR11347, XENTR18406	APOSC_20868
OG0000007	XENTR04991	APOSC_21514
OG0000007	XENTR04990, XENTR05942	APOSC_25152
OG0000007	XENTR09461, XENTR01137	APOSC_04562
OG0000007	XENTR03031, XENTR06562	APOSC_09541, APOSC_09542
OG0000007	XENTR16583	APOSC_22651
OG0000007	XENTR07405, XENTR01816	APOSC_10715
OG0000007	XENTR09232, XENTR15271	APOSC_17950
OG0000008	XENTR07747	APOSC_05395
OG0000008	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177
OG0000008	XENTR00105	APOSC_25161
OG0000009	XENTR08209	APOSC_14640
OG0000009	XENTR08321, XENTR13550	APOSC_16724, APOSC_19765
OG0000010	XENTR06633	APOSC_17642
OG0000010	XENTR14832, XENTR09844, XENTR05875	APOSC_28942, APOSC_04520
OG0000010	XENTR08588	APOSC_12174
OG0000010	XENTR04584, XENTR06998, XENTR03807	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160
OG0000010	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248	APOSC_25939
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	APOSC_26906, APOSC_13089
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	APOSC_26545
OG0000013	XENTR04875	APOSC_00689
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527	APOSC_26024, APOSC_17612
OG0000014	XENTR09147, XENTR00681	APOSC_00187
OG0000015	XENTR05642	APOSC_22269
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	APOSC_04279
OG0000016	XENTR10586, XENTR06233	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	XENTR01362, XENTR01363, XENTR07382	APOSC_09216
OG0000016	XENTR12717	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907
OG0000016	XENTR17802	APOSC_14883
OG0000016	XENTR18390	APOSC_19884
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807
OG0000018	XENTR19110	APOSC_01211
OG0000018	XENTR19228, XENTR16288, XENTR15347, XENTR15469	APOSC_18141, APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689
OG0000019	XENTR07225, XENTR02749, XENTR04194	APOSC_14801, APOSC_11507
OG0000020	XENTR18565	APOSC_14708
OG0000020	XENTR14576	APOSC_13376
OG0000020	XENTR00311	APOSC_28648
OG0000020	XENTR04697	APOSC_00691
OG0000020	XENTR07864, XENTR11783	APOSC_03094
OG0000020	XENTR15846	APOSC_14067
OG0000020	XENTR15636	APOSC_25230
OG0000021	XENTR17791, XENTR16377	APOSC_11990
OG0000021	XENTR06809, XENTR02794	APOSC_06563, APOSC_06562
OG0000021	XENTR18096, XENTR01150	APOSC_02202
OG0000021	XENTR13705, XENTR13394, XENTR13393	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614
OG0000021	XENTR00007	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	APOSC_14758
