Orthogroup	XENTR	AMPFI_ok
OG0000000	XENTR08878	AMPFI_12098
OG0000000	XENTR18832, XENTR01079, XENTR01080	AMPFI_16114
OG0000000	XENTR18066, XENTR08976, XENTR07932	AMPFI_11894
OG0000000	XENTR10509, XENTR10508, XENTR13402	AMPFI_12336
OG0000000	XENTR07734, XENTR13891	AMPFI_08228
OG0000000	XENTR12445	AMPFI_02168
OG0000000	XENTR07618	AMPFI_10716
OG0000000	XENTR04389	AMPFI_19781
OG0000000	XENTR12464, XENTR08726	AMPFI_12478
OG0000000	XENTR04388, XENTR00687, XENTR13779	AMPFI_20876
OG0000000	XENTR01971, XENTR14936, XENTR09546	AMPFI_21326
OG0000000	XENTR12981	AMPFI_01589
OG0000000	XENTR06679	AMPFI_10655
OG0000001	XENTR06490	AMPFI_19631
OG0000001	XENTR04259	AMPFI_03160
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	AMPFI_18148, AMPFI_13477
OG0000002	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	XENTR17667	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152
OG0000004	XENTR18073	AMPFI_23148, AMPFI_09184, AMPFI_25238
OG0000004	XENTR07291	AMPFI_11374, AMPFI_01179, AMPFI_03079, AMPFI_11065, AMPFI_20979, AMPFI_08501, AMPFI_13880, AMPFI_22025, AMPFI_01921
OG0000004	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024	AMPFI_04189
OG0000005	XENTR16849, XENTR09568	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	XENTR06019	AMPFI_22470
OG0000006	XENTR03954, XENTR14945	AMPFI_22262
OG0000006	XENTR03689	AMPFI_22463
OG0000006	XENTR00399, XENTR09859	AMPFI_10542, AMPFI_00206
OG0000006	XENTR09947, XENTR11692	AMPFI_02520
OG0000006	XENTR15729, XENTR08627	AMPFI_09123
OG0000006	XENTR04854, XENTR07280, XENTR07527	AMPFI_18507
OG0000006	XENTR07719	AMPFI_06099
OG0000006	XENTR12339, XENTR03854, XENTR12781	AMPFI_17130
OG0000006	XENTR18680, XENTR15398	AMPFI_05072, AMPFI_22396
OG0000007	XENTR10435	AMPFI_02812
OG0000007	XENTR12787, XENTR08906, XENTR06676	AMPFI_07094
OG0000007	XENTR11347, XENTR18406	AMPFI_15871
OG0000007	XENTR09461, XENTR01137	AMPFI_26059
OG0000007	XENTR03031, XENTR06562	AMPFI_15806
OG0000007	XENTR16583	AMPFI_22204
OG0000007	XENTR07405, XENTR01816	AMPFI_08786
OG0000007	XENTR09232, XENTR15271	AMPFI_21281
OG0000008	XENTR11531, XENTR11530, XENTR00356	AMPFI_03619
OG0000008	XENTR07747	AMPFI_18464
OG0000008	XENTR00105	AMPFI_13893
OG0000009	XENTR08209	AMPFI_02892, AMPFI_01981
OG0000009	XENTR07693	AMPFI_05893
OG0000010	XENTR03796, XENTR03794, XENTR03795, XENTR03797, XENTR17402, XENTR17403, XENTR17056, XENTR19172, XENTR17234, XENTR17233, XENTR17232, XENTR17230, XENTR17231, XENTR19048, XENTR06633, XENTR06635, XENTR06634, XENTR14832, XENTR09844, XENTR05875	AMPFI_14170
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	AMPFI_05035, AMPFI_18913
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527	AMPFI_13640
OG0000014	XENTR12243, XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716, XENTR09521	AMPFI_05504, AMPFI_16319
OG0000014	XENTR18803, XENTR09297	AMPFI_18330
OG0000014	XENTR09147, XENTR00681	AMPFI_16339
