Orthogroup	XENTR	PFLAV
OG0000000	XENTR08878	TCONS_00026365.p1
OG0000000	XENTR18832, XENTR01079, XENTR01080	TCONS_00019737.p1
OG0000000	XENTR18066, XENTR08976, XENTR07932	TCONS_00027826.p1
OG0000000	XENTR18621	TCONS_00026910.p1
OG0000000	XENTR10508, XENTR13402	TCONS_00026612.p1
OG0000000	XENTR10492, XENTR10560	TCONS_00026711.p1
OG0000000	XENTR07734, XENTR13891	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	XENTR17298, XENTR05705	TCONS_00018852.p1
OG0000000	XENTR16086	TCONS_00017786.p1
OG0000000	XENTR12445	TCONS_00026487.p1
OG0000000	XENTR07618	TCONS_00010493.p1
OG0000000	XENTR07167, XENTR10848, XENTR03338	TCONS_00032259.p1
OG0000000	XENTR04390, XENTR05494	TCONS_00043772.p1
OG0000000	XENTR10849, XENTR03337	TCONS_00032260.p1
OG0000000	XENTR04389	TCONS_00043771.p1
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540	TCONS_00032269.p1
OG0000000	XENTR08542, XENTR10851, XENTR07169, XENTR03335	TCONS_00032262.p1
OG0000000	XENTR10852, XENTR03334, XENTR08541	TCONS_00032264.p1
OG0000000	XENTR06295, XENTR04184	TCONS_00019139.p1
OG0000000	XENTR03185	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	XENTR12464, XENTR08726	TCONS_00027510.p1
OG0000000	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330	TCONS_00032270.p1
OG0000000	XENTR04388, XENTR00687, XENTR13779	TCONS_00042478.p1
OG0000000	XENTR03327, XENTR07175	TCONS_00031629.p1
OG0000000	XENTR14936, XENTR09546	TCONS_00026601.p1
OG0000000	XENTR01972, XENTR09547, XENTR08722	TCONS_00026600.p1
OG0000000	XENTR12981	TCONS_00009627.p1
OG0000000	XENTR06679	TCONS_00009628.p1
OG0000001	XENTR06490	TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	TCONS_00034555.p1, TCONS_00007091.p1
OG0000002	XENTR12747	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	XENTR16271, XENTR03602, XENTR03603, XENTR03601, XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	XENTR17667	TCONS_00048938.p1
OG0000004	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024	TCONS_00039987.p1
OG0000005	XENTR05002, XENTR05003	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000006	XENTR06019	TCONS_00048904.p1
OG0000006	XENTR00026	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	XENTR03474, XENTR03473, XENTR14730	TCONS_00042787.p1
OG0000006	XENTR03090, XENTR09060	TCONS_00021207.p1
OG0000006	XENTR03954, XENTR14945	TCONS_00016646.p1
OG0000006	XENTR03689	TCONS_00021581.p1
OG0000006	XENTR00399, XENTR09859	TCONS_00023551.p1
OG0000006	XENTR09947, XENTR11692	TCONS_00003496.p1
OG0000006	XENTR11329	TCONS_00012810.p1
OG0000006	XENTR15046	TCONS_00027932.p1
OG0000006	XENTR13548	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	XENTR15729, XENTR08627	TCONS_00028953.p1
OG0000006	XENTR04854, XENTR07280, XENTR07527	TCONS_00030792.p1
OG0000006	XENTR07719	TCONS_00011489.p1
OG0000006	XENTR12339, XENTR03854, XENTR12781	TCONS_00011491.p1
OG0000006	XENTR18680, XENTR15398	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1
OG0000007	XENTR04989, XENTR07641	TCONS_00008966.p1
OG0000007	XENTR10435	TCONS_00029574.p1
