Orthogroup	XENTR	DANRE
OG0000000	XENTR09224, XENTR09222	DANRE01559
OG0000000	XENTR09223, XENTR09220	DANRE05955
OG0000000	XENTR08878	DANRE06436
OG0000000	XENTR01079, XENTR01080	DANRE35926
OG0000000	XENTR18066	DANRE05022
OG0000000	XENTR08976	DANRE06714
OG0000000	XENTR18621	DANRE11226
OG0000000	XENTR13401	DANRE16356
OG0000000	XENTR10509	DANRE11234
OG0000000	XENTR10508	DANRE11232
OG0000000	XENTR13402	DANRE16357
OG0000000	XENTR02223	DANRE40795
OG0000000	XENTR10492	DANRE05964
OG0000000	XENTR10560	DANRE19591, DANRE19592
OG0000000	XENTR07734	DANRE34117, DANRE19532
OG0000000	XENTR13891	DANRE36202
OG0000000	XENTR17298	DANRE02487
OG0000000	XENTR05705	DANRE13405
OG0000000	XENTR16086	DANRE00977
OG0000000	XENTR12445	DANRE04328, DANRE04330, DANRE04329
OG0000000	XENTR07618	DANRE18867, DANRE18868
OG0000000	XENTR10848	DANRE03839, DANRE29251
OG0000000	XENTR03338	DANRE14339, DANRE14340
OG0000000	XENTR04390	DANRE35277, DANRE35276
OG0000000	XENTR05494	DANRE17824
OG0000000	XENTR10849	DANRE29250
OG0000000	XENTR03337	DANRE09540
OG0000000	XENTR04389	DANRE24278
OG0000000	XENTR10854	DANRE29240
OG0000000	XENTR08539	DANRE23428
OG0000000	XENTR03332	DANRE29241, DANRE29242
OG0000000	XENTR10853	DANRE03837, DANRE29246
OG0000000	XENTR08540	DANRE23430, DANRE23429, DANRE01703
OG0000000	XENTR08542	DANRE23433
OG0000000	XENTR10851	DANRE29249
OG0000000	XENTR07169	DANRE41434
OG0000000	XENTR03335	DANRE14335
OG0000000	XENTR03334	DANRE14338
OG0000000	XENTR08541	DANRE23432, DANRE23431
OG0000000	XENTR06295	DANRE38770
OG0000000	XENTR03185	DANRE14679, DANRE08590
OG0000000	XENTR12464	DANRE06002
OG0000000	XENTR08726	DANRE20421, DANRE06649
OG0000000	XENTR06680	DANRE11732
OG0000000	XENTR12982	DANRE11786, DANRE11785
OG0000000	XENTR08538	DANRE23427
OG0000000	XENTR03331, XENTR07171	DANRE41435
OG0000000	XENTR10855, XENTR10856	DANRE29239, DANRE29238
OG0000000	XENTR03330	DANRE09538
OG0000000	XENTR00687	DANRE06945, DANRE06944
OG0000000	XENTR13779	DANRE20512
OG0000000	XENTR03327	DANRE14325, DANRE14326
OG0000000	XENTR07175	DANRE41441
OG0000000	XENTR01971	DANRE41165
OG0000000	XENTR14936	DANRE05977
OG0000000	XENTR09546	DANRE05743
OG0000000	XENTR01972	DANRE41166
OG0000000	XENTR09547	DANRE05745, DANRE05744
OG0000000	XENTR08722	DANRE06657
OG0000000	XENTR12981	DANRE11796, DANRE11795
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000002	XENTR12747	DANRE16673
