Orthogroup	XENTR	DROME
OG0000000	XENTR08878	DROME16218, DROME16219
OG0000000	XENTR18832, XENTR01079, XENTR01080	DROME04813
OG0000000	XENTR18066, XENTR08976, XENTR07932	DROME14805, DROME14806
OG0000000	XENTR07929	DROME15599
OG0000000	XENTR10509, XENTR10508, XENTR13402	DROME15463, DROME15462
OG0000000	XENTR02223, XENTR10492, XENTR10560	DROME11250
OG0000000	XENTR07734, XENTR13891	DROME21328, DROME21327
OG0000000	XENTR16086	DROME03422
OG0000000	XENTR12445	DROME16097
OG0000000	XENTR07618	DROME01107
OG0000000	XENTR07167, XENTR10848, XENTR03338	DROME13389, DROME13388
OG0000000	XENTR04390, XENTR05494	DROME11314
OG0000000	XENTR04389	DROME13415
OG0000000	XENTR03332	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	XENTR08542, XENTR10851, XENTR07169, XENTR03335	DROME13413
OG0000000	XENTR10852, XENTR03334, XENTR08541	DROME13414
OG0000000	XENTR06295, XENTR04184	DROME10025
OG0000000	XENTR03185	DROME16399
OG0000000	XENTR12464, XENTR08726	DROME17718
OG0000000	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330	DROME15341, DROME15342, DROME15343
OG0000000	XENTR04388, XENTR00687, XENTR13779	DROME03546, DROME03545
OG0000000	XENTR03327, XENTR07175	DROME04989
OG0000000	XENTR01971, XENTR14936, XENTR09546	DROME16202
OG0000000	XENTR01972, XENTR09547, XENTR08722, XENTR12981, XENTR06679	DROME12831, DROME12829, DROME12828, DROME12830
OG0000002	XENTR17667	DROME14626, DROME12189, DROME02894
OG0000005	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000005	XENTR09142	DROME15227
OG0000006	XENTR03474, XENTR03473, XENTR14730	DROME08113
OG0000006	XENTR03090, XENTR09060	DROME01994, DROME01995, DROME01996
OG0000006	XENTR03954, XENTR14945	DROME07928
OG0000006	XENTR03689	DROME00104
OG0000006	XENTR09947, XENTR11692	DROME19258, DROME19257, DROME19259
OG0000006	XENTR11329	DROME21396
OG0000006	XENTR15046	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	XENTR13548	DROME19786, DROME00664
OG0000006	XENTR04854, XENTR07280, XENTR07527	DROME18045, DROME18046, DROME18044
OG0000006	XENTR07719	DROME00147, DROME00148
OG0000006	XENTR12339, XENTR03854, XENTR12781	DROME19780, DROME19779, DROME19781
OG0000007	XENTR04989, XENTR07641	DROME12545
OG0000007	XENTR10435	DROME16994, DROME16993
OG0000007	XENTR12787, XENTR08906, XENTR06676	DROME17568, DROME17567
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009, XENTR03222, XENTR07642	DROME09292
OG0000007	XENTR09461, XENTR01137	DROME14142
OG0000007	XENTR03031, XENTR06562	DROME19603, DROME19602
OG0000007	XENTR16583	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000008	XENTR00105	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000008	XENTR02826, XENTR02855	DROME15136
OG0000010	XENTR13805	DROME12016
OG0000010	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238, XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248, XENTR18249	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	DROME14687, DROME14686
OG0000014	XENTR12243, XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716, XENTR09521	DROME05409, DROME03987
OG0000014	XENTR09147, XENTR00681	DROME14595, DROME14594
OG0000015	XENTR17900, XENTR14250, XENTR15058, XENTR02840	DROME20983
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	DROME11913, DROME20981, DROME20982
OG0000015	XENTR13566, XENTR03288, XENTR15069	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	XENTR01362, XENTR01363, XENTR07382, XENTR09539, XENTR00630	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	XENTR12717	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	XENTR17802	DROME01609
OG0000019	XENTR14707	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	XENTR18565	DROME22108
OG0000020	XENTR14576, XENTR00311	DROME02490
OG0000020	XENTR04697	DROME11466, DROME11467
OG0000020	XENTR07864, XENTR11783	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	XENTR08063	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	XENTR05660	DROME03151, DROME03150
OG0000020	XENTR15636	DROME14454, DROME14455
OG0000021	XENTR17791, XENTR16377	DROME18320, DROME18321
OG0000021	XENTR18096, XENTR01150	DROME08269
OG0000021	XENTR13705, XENTR13394, XENTR13393	DROME08091
OG0000021	XENTR13780, XENTR17333	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	DROME04919, DROME04917, DROME04918
OG0000028	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	XENTR10277, XENTR06737	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	XENTR08639	DROME12966
OG0000030	XENTR18219	DROME15149
OG0000031	XENTR05405, XENTR03766	DROME19945
OG0000031	XENTR08553, XENTR05384, XENTR03164	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	XENTR12584, XENTR00918	DROME09230
OG0000031	XENTR00006, XENTR16792, XENTR04300, XENTR00917, XENTR11778	DROME05246
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	DROME02386
OG0000032	XENTR17016	DROME01213
OG0000034	XENTR14967, XENTR08246, XENTR04943	DROME20092, DROME20090, DROME20091
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	XENTR15456	DROME13496
OG0000034	XENTR10156	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	XENTR08340	DROME20524
OG0000035	XENTR05239	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	DROME19358, DROME19359
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	DROME17164, DROME17163
OG0000035	XENTR09858	DROME10260
OG0000036	XENTR07761, XENTR12415, XENTR07272	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
