Orthogroup	XENTR	NEMVE
OG0000000	XENTR09224, XENTR09222, XENTR09223, XENTR09220	NEMVE08613, NEMVE01316, NEMVE08607, NEMVE02787, NEMVE02791, NEMVE03947
OG0000000	XENTR08878	NEMVE15388
OG0000000	XENTR18832, XENTR01079, XENTR01080	NEMVE01834
OG0000000	XENTR18066, XENTR08976, XENTR07932	NEMVE09627, NEMVE02365
OG0000000	XENTR07929	NEMVE04822
OG0000000	XENTR10509, XENTR10508, XENTR13402	NEMVE05015
OG0000000	XENTR02223, XENTR10492, XENTR10560	NEMVE11246
OG0000000	XENTR17298, XENTR05705	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	XENTR12445	NEMVE02364
OG0000000	XENTR07618	NEMVE04732, NEMVE07124
OG0000000	XENTR04390, XENTR05494	NEMVE06009
OG0000000	XENTR10849, XENTR03337	NEMVE05929
OG0000000	XENTR04389	NEMVE05986
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540, XENTR08542, XENTR10851, XENTR07169, XENTR03335, XENTR10852, XENTR03334, XENTR08541	NEMVE15281
OG0000000	XENTR06295, XENTR04184	NEMVE07211
OG0000000	XENTR03185	NEMVE10161
OG0000000	XENTR12464, XENTR08726	NEMVE05017
OG0000000	XENTR04388, XENTR00687, XENTR13779	NEMVE15350
OG0000000	XENTR03327, XENTR07175	NEMVE07203
OG0000000	XENTR14936, XENTR09546	NEMVE17362
OG0000000	XENTR01972, XENTR09547, XENTR08722	NEMVE17363
OG0000000	XENTR12981	NEMVE10113
OG0000000	XENTR06679	NEMVE14999, NEMVE10106
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	NEMVE11138
OG0000002	XENTR12747, XENTR12310, XENTR12309, XENTR12000, XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313, XENTR09131, XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912, XENTR16271, XENTR03602, XENTR03603, XENTR03601, XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598, XENTR17667	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	XENTR17803	NEMVE03659
OG0000003	XENTR03273	NEMVE05173, NEMVE06810
OG0000004	XENTR16872, XENTR15834	NEMVE02712, NEMVE03345
OG0000004	XENTR18073	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643
