Orthogroup	XENTR	YEAST
OG0000000	XENTR09224, XENTR09222, XENTR09223, XENTR09220, XENTR10493, XENTR08878, XENTR18832, XENTR01079, XENTR01080, XENTR18066, XENTR08976, XENTR07932, XENTR18621, XENTR07929, XENTR13401, XENTR10509, XENTR10508, XENTR13402, XENTR02223, XENTR10492, XENTR10560, XENTR07734, XENTR13891, XENTR17298, XENTR05705, XENTR16086, XENTR12445, XENTR07618, XENTR07167, XENTR10848, XENTR03338, XENTR04390, XENTR05494, XENTR10849, XENTR03337, XENTR04389, XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540, XENTR08542, XENTR10851, XENTR07169, XENTR03335, XENTR10852, XENTR03334, XENTR08541, XENTR06295, XENTR04184, XENTR03185	YEAST00701
OG0000007	XENTR16583	YEAST01568, YEAST05134
OG0000011	XENTR06336, XENTR06335	YEAST02600, YEAST01619
OG0000013	XENTR17378, XENTR17537, XENTR17379, XENTR17381, XENTR17380, XENTR04875, XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527	YEAST04082
OG0000014	XENTR12243, XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716, XENTR09521, XENTR18803, XENTR09297, XENTR09147, XENTR00681, XENTR14500	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	XENTR10586, XENTR06233	YEAST03839, YEAST02807, YEAST03817
OG0000016	XENTR01362, XENTR01363, XENTR07382, XENTR09539, XENTR00630	YEAST03870, YEAST01103
OG0000031	XENTR15116	YEAST05574
OG0000031	XENTR12583, XENTR05405, XENTR03766, XENTR08553, XENTR05384, XENTR03164, XENTR10836, XENTR03163, XENTR09319, XENTR06988, XENTR00229, XENTR02595, XENTR11133, XENTR12584, XENTR00918, XENTR00006, XENTR16792, XENTR04300, XENTR00917, XENTR11778, XENTR09425	YEAST02238
OG0000034	XENTR14967, XENTR08246, XENTR04943, XENTR11418, XENTR11419, XENTR10883, XENTR07417, XENTR01252, XENTR11199, XENTR07072, XENTR12065, XENTR15456, XENTR10156, XENTR16254, XENTR08340, XENTR11637	YEAST04436, YEAST05550, YEAST05115
OG0000036	XENTR16945, XENTR13571, XENTR05152, XENTR07761, XENTR12415, XENTR07272, XENTR01038, XENTR15969, XENTR16237, XENTR16236, XENTR05174, XENTR07278	YEAST02545, YEAST02806
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114, XENTR16580, XENTR14770, XENTR03861, XENTR10865, XENTR10696, XENTR18131	YEAST03227
OG0000038	XENTR15716, XENTR04198, XENTR18690, XENTR00755, XENTR00754, XENTR06225, XENTR06223, XENTR06224, XENTR13297, XENTR04197, XENTR04200, XENTR04205, XENTR04206, XENTR16650	YEAST04422, YEAST04379
