Orthogroup	ASTMX	PFLAV
OG0000000	ASTMX02793	TCONS_00026365.p1
OG0000000	ASTMX17483, ASTMX11444	TCONS_00019737.p1
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	TCONS_00027826.p1
OG0000000	ASTMX19308, ASTMX03273	TCONS_00026910.p1
OG0000000	ASTMX22570	TCONS_00026836.p1
OG0000000	ASTMX13970	TCONS_00026612.p1
OG0000000	ASTMX05790, ASTMX17479	TCONS_00026711.p1
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	ASTMX14561, ASTMX07042	TCONS_00018852.p1
OG0000000	ASTMX10847	TCONS_00017786.p1
OG0000000	ASTMX20299	TCONS_00026487.p1
OG0000000	ASTMX10234	TCONS_00010493.p1
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	TCONS_00032259.p1
OG0000000	ASTMX16946, ASTMX11106	TCONS_00043772.p1
OG0000000	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164	TCONS_00032260.p1
OG0000000	ASTMX06178	TCONS_00043771.p1
OG0000000	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322	TCONS_00032269.p1
OG0000000	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162	TCONS_00032262.p1
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	TCONS_00032264.p1
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	TCONS_00019139.p1
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	TCONS_00027510.p1
OG0000000	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159	TCONS_00032270.p1
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	TCONS_00042478.p1
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	TCONS_00031629.p1
OG0000000	ASTMX11612, ASTMX02802	TCONS_00026601.p1
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	TCONS_00026600.p1
OG0000000	ASTMX09511	TCONS_00009627.p1
OG0000000	ASTMX08520	TCONS_00009628.p1
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	TCONS_00034555.p1, TCONS_00007091.p1
OG0000001	ASTMX07323, ASTMX16759, ASTMX18180	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	ASTMX13878	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	ASTMX19248	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	ASTMX14857, ASTMX14858, ASTMX14859, ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952, ASTMX12459, ASTMX12467, ASTMX12468, ASTMX01931	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	ASTMX12464, ASTMX20125	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000003	ASTMX21256	TCONS_00057106.p1
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273	TCONS_00039987.p1
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000006	ASTMX20216	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	ASTMX00775	TCONS_00048904.p1
OG0000006	ASTMX03985, ASTMX00495, ASTMX16379	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	ASTMX16363, ASTMX04345	TCONS_00042787.p1
OG0000006	ASTMX11700, ASTMX00138	TCONS_00021207.p1
OG0000006	ASTMX03791, ASTMX03123	TCONS_00016646.p1
OG0000006	ASTMX12191, ASTMX07931	TCONS_00021581.p1
