Orthogroup	ASTMX	HUMAN
OG0000000	ASTMX02793	HUMAN03752
OG0000000	ASTMX22512	HUMAN03811
OG0000000	ASTMX17483	HUMAN27271
OG0000000	ASTMX11444	HUMAN18431
OG0000000	ASTMX18513	HUMAN17135
OG0000000	ASTMX02535	HUMAN03692
OG0000000	ASTMX19308	HUMAN17114
OG0000000	ASTMX03273	HUMAN03688
OG0000000	ASTMX13971	HUMAN03744
OG0000000	ASTMX13970	HUMAN03743
OG0000000	ASTMX12494	HUMAN27740
OG0000000	ASTMX05790	HUMAN03805
OG0000000	ASTMX17479	HUMAN22626
OG0000000	ASTMX20577, ASTMX08977	HUMAN29337
OG0000000	ASTMX08271	HUMAN01254
OG0000000	ASTMX14561	HUMAN28889
OG0000000	ASTMX07042	HUMAN05731
OG0000000	ASTMX10847	HUMAN05644
OG0000000	ASTMX20299	HUMAN03433
OG0000000	ASTMX10234	HUMAN02527
OG0000000	ASTMX20165	HUMAN26096
OG0000000	ASTMX16946	HUMAN07512
OG0000000	ASTMX11106	HUMAN22413
OG0000000	ASTMX16053	HUMAN12896
OG0000000	ASTMX01903	HUMAN26097
OG0000000	ASTMX06178	HUMAN07513
OG0000000	ASTMX16048	HUMAN12904
OG0000000	ASTMX20108	HUMAN06517
OG0000000	ASTMX05323	HUMAN17904
OG0000000	ASTMX16049	HUMAN12902
OG0000000	ASTMX01436, ASTMX16050	HUMAN12901
OG0000000	ASTMX20109, ASTMX05322	HUMAN06515
OG0000000	ASTMX05321, ASTMX20111	HUMAN06518
OG0000000	ASTMX16051	HUMAN12899
OG0000000	ASTMX01437	HUMAN12900
OG0000000	ASTMX20161	HUMAN26100
OG0000000	ASTMX20110	HUMAN06519
OG0000000	ASTMX17422	HUMAN27325
OG0000000	ASTMX01447	HUMAN12743
OG0000000	ASTMX00835, ASTMX16253	HUMAN26016
OG0000000	ASTMX20873	HUMAN22154
OG0000000	ASTMX04077, ASTMX07972	HUMAN24253
OG0000000	ASTMX08519	HUMAN08317
OG0000000	ASTMX09510, ASTMX01253	HUMAN18755
OG0000000	ASTMX05324, ASTMX20107	HUMAN06516
OG0000000	ASTMX12036	HUMAN26103, HUMAN17903
OG0000000	ASTMX16047	HUMAN12905
OG0000000	ASTMX01905	HUMAN26104
OG0000000	ASTMX08795	HUMAN30050
OG0000000	ASTMX17999	HUMAN24067
OG0000000	ASTMX15569	HUMAN07515
OG0000000	ASTMX20156	HUMAN26107
OG0000000	ASTMX12031	HUMAN17898
OG0000000	ASTMX17267	HUMAN27579
OG0000000	ASTMX11612	HUMAN22230
OG0000000	ASTMX17266	HUMAN27580
OG0000000	ASTMX02801	HUMAN03523
OG0000000	ASTMX07975	HUMAN24243
OG0000000	ASTMX09511	HUMAN18756
OG0000000	ASTMX08520	HUMAN08319
OG0000001	ASTMX18932	HUMAN10622
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847	HUMAN14514, HUMAN14515, HUMAN14863
OG0000001	ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884	HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000001	ASTMX07756	HUMAN14511
OG0000001	ASTMX07323	HUMAN10621, HUMAN10623
OG0000002	ASTMX13878	HUMAN22770
OG0000002	ASTMX20124	HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588
OG0000002	ASTMX19248	HUMAN04207
OG0000002	ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952	HUMAN01080
OG0000002	ASTMX20125	HUMAN20270
OG0000004	ASTMX09901	HUMAN27462, HUMAN27463, HUMAN27619
