Orthogroup	ASTMX	BRALA
OG0000000	ASTMX02793	BRALA16375, BRALA16376
OG0000000	ASTMX17483, ASTMX11444	BRALA00047
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	BRALA19584, BRALA19585, BRALA25857
OG0000000	ASTMX19308, ASTMX03273	BRALA17283
OG0000000	ASTMX13970	BRALA24482
OG0000000	ASTMX05790, ASTMX17479	BRALA16262
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	BRALA18359
OG0000000	ASTMX14561, ASTMX07042	BRALA29522
OG0000000	ASTMX10847	BRALA24707
OG0000000	ASTMX20299	BRALA28387
OG0000000	ASTMX10234	BRALA21476
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	BRALA00115
OG0000000	ASTMX16946, ASTMX11106	BRALA11736
OG0000000	ASTMX16053, ASTMX01903, ASTMX20164	BRALA00116
OG0000000	ASTMX06178	BRALA11734
OG0000000	ASTMX16049	BRALA00120
OG0000000	ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322	BRALA00121
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	BRALA00118
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	BRALA00439, BRALA26541
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	BRALA00079
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	BRALA34448
OG0000000	ASTMX01905, ASTMX20159	BRALA00124
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	BRALA11733
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	BRALA00135
OG0000000	ASTMX11612, ASTMX02802	BRALA30674
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	BRALA30673
OG0000000	ASTMX08520	BRALA17840
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	BRALA00762, BRALA09667, BRALA20490, BRALA27259
OG0000001	ASTMX07755, ASTMX07756	BRALA25322, BRALA21156
OG0000001	ASTMX07323, ASTMX16759, ASTMX18180	BRALA19588, BRALA19586
OG0000002	ASTMX13878	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500
