Orthogroup	ASTMX	SCHMD
OG0000000	ASTMX02793	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	ASTMX17483, ASTMX11444	SCHMD09645
OG0000000	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970	SCHMD20523, SCHMD24588
OG0000000	ASTMX12494, ASTMX05790, ASTMX17479	SCHMD03805
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	SCHMD09133, SCHMD27825
OG0000000	ASTMX10847	SCHMD27182, SCHMD16896
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	SCHMD18969
OG0000000	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164	SCHMD08046
OG0000000	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322	SCHMD22390, SCHMD21735
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	SCHMD21303
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	SCHMD01868
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	SCHMD24693
OG0000000	ASTMX17267, ASTMX11612, ASTMX02802	SCHMD05281, SCHMD04291
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975, ASTMX09511, ASTMX08520	SCHMD13268
OG0000002	ASTMX20125	SCHMD15297
OG0000003	ASTMX04234	SCHMD00325
OG0000004	ASTMX13906	SCHMD20392, SCHMD06188
OG0000006	ASTMX16363, ASTMX04345	SCHMD00178
OG0000006	ASTMX11700, ASTMX00138	SCHMD18704
OG0000006	ASTMX12191, ASTMX07931, ASTMX15917, ASTMX06292, ASTMX15319, ASTMX03256, ASTMX09680, ASTMX14682, ASTMX19702, ASTMX21126, ASTMX03352	SCHMD09638
OG0000006	ASTMX06644	SCHMD23237
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	SCHMD13710
OG0000006	ASTMX10604	SCHMD18814
OG0000007	ASTMX14980	SCHMD12323
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	SCHMD08294
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	SCHMD03666
OG0000007	ASTMX20070, ASTMX22376, ASTMX11119, ASTMX14979, ASTMX11120, ASTMX02564	SCHMD12296, SCHMD02893
OG0000007	ASTMX18062, ASTMX21262, ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	ASTMX04966, ASTMX11650	SCHMD19134
OG0000007	ASTMX18779, ASTMX07711	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	SCHMD02246
OG0000011	ASTMX21233, ASTMX01926	SCHMD05659
OG0000012	ASTMX22063, ASTMX16492	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000015	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097	SCHMD16724
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000016	ASTMX17393	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350
OG0000016	ASTMX00540	SCHMD16694
OG0000016	ASTMX02874	SCHMD02183
OG0000016	ASTMX17395	SCHMD09773, SCHMD05700
OG0000020	ASTMX04834	SCHMD00005
OG0000020	ASTMX22432	SCHMD08736
OG0000020	ASTMX14060	SCHMD09886
OG0000020	ASTMX17320	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	ASTMX00201, ASTMX09085	SCHMD09794
OG0000021	ASTMX21461, ASTMX05545	SCHMD09793, SCHMD07893
OG0000021	ASTMX09336	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829
OG0000023	ASTMX09201	SCHMD04923
OG0000023	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983	SCHMD05376
OG0000027	ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531
OG0000028	ASTMX18482, ASTMX18778	SCHMD01093
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000030	ASTMX22473	SCHMD19597, SCHMD15689, SCHMD26547
OG0000030	ASTMX06934	SCHMD17295
