Orthogroup	ASTMX	SACKO_ok
OG0000000	ASTMX02793	SACKO_12749
OG0000000	ASTMX17483, ASTMX11444	SACKO_19677
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	SACKO_25619
OG0000000	ASTMX19308, ASTMX03273	SACKO_25616
OG0000000	ASTMX22570	SACKO_25266
OG0000000	ASTMX13970	SACKO_05553
OG0000000	ASTMX05790, ASTMX17479	SACKO_16683
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	SACKO_08208, SACKO_08197
OG0000000	ASTMX14561, ASTMX07042	SACKO_32730, SACKO_17792
OG0000000	ASTMX10847	SACKO_19489
OG0000000	ASTMX20299	SACKO_31887
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	SACKO_24012
OG0000000	ASTMX16946, ASTMX11106	SACKO_11590
OG0000000	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164	SACKO_24040
OG0000000	ASTMX06178	SACKO_11588
OG0000000	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322	SACKO_24002
OG0000000	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162	SACKO_24024
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	SACKO_24025
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	SACKO_26673
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	SACKO_06485
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	SACKO_31872
OG0000000	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159	SACKO_24017
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	SACKO_11599
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	SACKO_22872
OG0000000	ASTMX11612, ASTMX02802	SACKO_31901
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	SACKO_31899
OG0000000	ASTMX09511	SACKO_11978
OG0000000	ASTMX08520	SACKO_12011
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	SACKO_04743, SACKO_04719, SACKO_23106
