Orthogroup	ASTMX	YEAST
OG0000000	ASTMX22979, ASTMX02793, ASTMX22512, ASTMX17483, ASTMX11444, ASTMX18513, ASTMX02535, ASTMX04736, ASTMX19308, ASTMX03273, ASTMX22570, ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970, ASTMX12494, ASTMX05790, ASTMX17479, ASTMX20577, ASTMX08977, ASTMX08271, ASTMX14561, ASTMX07042, ASTMX10847, ASTMX20299, ASTMX10234, ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165, ASTMX16946, ASTMX11106, ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164, ASTMX06178, ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322, ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162, ASTMX01437, ASTMX20161, ASTMX20110, ASTMX17422, ASTMX12684, ASTMX17005, ASTMX01447, ASTMX00835, ASTMX16253	YEAST00701
OG0000007	ASTMX04966, ASTMX11650	YEAST01568, YEAST05134
OG0000011	ASTMX02959, ASTMX22966, ASTMX22692, ASTMX07900, ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041, ASTMX20794, ASTMX21233, ASTMX01926, ASTMX21375, ASTMX22962, ASTMX22920, ASTMX22970, ASTMX23073, ASTMX20022, ASTMX23051	YEAST02600, YEAST01619
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	YEAST04082
OG0000014	ASTMX02678, ASTMX08608, ASTMX07233, ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557, ASTMX03213, ASTMX07656, ASTMX01801, ASTMX03251, ASTMX15832, ASTMX12908, ASTMX11632, ASTMX01423, ASTMX16397	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207, ASTMX09206	YEAST03839, YEAST02807, YEAST03817
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675, ASTMX17393	YEAST03870, YEAST01103
OG0000031	ASTMX05563	YEAST05574
OG0000031	ASTMX03913, ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065, ASTMX08659, ASTMX04771, ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571, ASTMX22712, ASTMX12572, ASTMX06525, ASTMX05128, ASTMX18163, ASTMX11402, ASTMX09693, ASTMX17541, ASTMX00710, ASTMX00969, ASTMX17640, ASTMX03912, ASTMX00105, ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725, ASTMX00107, ASTMX04176, ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637, ASTMX03166	YEAST02238
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519, ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446, ASTMX15312, ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372, ASTMX09860, ASTMX06813, ASTMX07013, ASTMX12428, ASTMX02190, ASTMX01548, ASTMX02136, ASTMX10911	YEAST04436, YEAST05550, YEAST05115
OG0000036	ASTMX05584, ASTMX00843, ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566, ASTMX19120, ASTMX18312, ASTMX10284, ASTMX01338, ASTMX03570	YEAST02545, YEAST02806
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639, ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313, ASTMX15913, ASTMX19727, ASTMX16533, ASTMX03275	YEAST03227
OG0000038	ASTMX12552, ASTMX04170, ASTMX12687, ASTMX00529, ASTMX14059, ASTMX05291, ASTMX17623, ASTMX12685, ASTMX17002	YEAST04422, YEAST04379
OG0000043	ASTMX12801, ASTMX22617, ASTMX09533	YEAST00224, YEAST01200
OG0000048	ASTMX04189, ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416, ASTMX13714, ASTMX03384, ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556, ASTMX04258, ASTMX18409, ASTMX15600, ASTMX04570, ASTMX00590	YEAST05707
OG0000054	ASTMX21203, ASTMX04679, ASTMX05759, ASTMX21204	YEAST01385
OG0000055	ASTMX17485, ASTMX11170, ASTMX19413, ASTMX22616	YEAST01199, YEAST00225
OG0000058	ASTMX10002	YEAST02989
OG0000058	ASTMX01061, ASTMX04977, ASTMX07660, ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080, ASTMX12315	YEAST02120
OG0000069	ASTMX20491	YEAST05172
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709, ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883, ASTMX02337, ASTMX02996, ASTMX05046, ASTMX02943	YEAST05330
OG0000082	ASTMX06917	YEAST03287
OG0000082	ASTMX17888	YEAST04267, YEAST01834, YEAST03359
OG0000082	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000095	ASTMX01092, ASTMX16621, ASTMX16620, ASTMX16622, ASTMX16619, ASTMX08683, ASTMX04161, ASTMX08415, ASTMX12681, ASTMX17008	YEAST02993
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217, ASTMX13693, ASTMX16094, ASTMX16093, ASTMX08845	YEAST02643
OG0000096	ASTMX18278, ASTMX15892	YEAST00638
OG0000096	ASTMX09859, ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998, ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959	YEAST05104, YEAST05564
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972, ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	YEAST02873
