Orthogroup	ASTMX	HELIO_ok
OG0000000	ASTMX02793	HELIO_01999
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	HELIO_08880
OG0000000	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970	HELIO_06752
OG0000000	ASTMX12494, ASTMX05790, ASTMX17479	HELIO_10666
OG0000000	ASTMX10847	HELIO_03148
OG0000000	ASTMX20299	HELIO_02157
OG0000000	ASTMX10234	HELIO_11687
OG0000000	ASTMX06178	HELIO_04988
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	HELIO_00534
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	HELIO_08573
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	HELIO_06829
OG0000000	ASTMX09511	HELIO_00816
OG0000000	ASTMX08520	HELIO_04090
OG0000001	ASTMX07756	HELIO_00196
OG0000001	ASTMX07323	HELIO_06891, HELIO_10957
OG0000002	ASTMX13878	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237
OG0000002	ASTMX19248	HELIO_05342, HELIO_01248
OG0000003	ASTMX16763	HELIO_06998, HELIO_07220
OG0000003	ASTMX08462	HELIO_09381
OG0000003	ASTMX08463	HELIO_02003
OG0000004	ASTMX13606	HELIO_06422
OG0000004	ASTMX13574	HELIO_05213
OG0000005	ASTMX03244	HELIO_04655
OG0000006	ASTMX20216	HELIO_00413
OG0000006	ASTMX03985, ASTMX00495, ASTMX16379	HELIO_09248
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	ASTMX03256, ASTMX09680	HELIO_06349
OG0000006	ASTMX14682, ASTMX19702	HELIO_00150
OG0000006	ASTMX21126, ASTMX03352	HELIO_12770
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	HELIO_08890
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	HELIO_11381, HELIO_00450
OG0000006	ASTMX14827	HELIO_08227
