Orthogroup	ASTMX	AMPFI_ok
OG0000000	ASTMX02793	AMPFI_12098
OG0000000	ASTMX17483, ASTMX11444	AMPFI_16114
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	AMPFI_11894
OG0000000	ASTMX13971, ASTMX13970	AMPFI_12336
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	AMPFI_08228
OG0000000	ASTMX20299	AMPFI_02168
OG0000000	ASTMX10234	AMPFI_10716
OG0000000	ASTMX06178	AMPFI_19781
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	AMPFI_12478
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	AMPFI_20876
OG0000000	ASTMX17267, ASTMX11612, ASTMX02802	AMPFI_21326
OG0000000	ASTMX09511	AMPFI_01589
OG0000000	ASTMX08520	AMPFI_10655
OG0000001	ASTMX18932	AMPFI_25090
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	AMPFI_18148, AMPFI_13477
OG0000001	ASTMX07755	AMPFI_07438, AMPFI_25876
OG0000001	ASTMX07756	AMPFI_24482, AMPFI_16657
OG0000001	ASTMX07323	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487
OG0000002	ASTMX19248	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	ASTMX20125	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709
OG0000003	ASTMX16763	AMPFI_18906
OG0000003	ASTMX08462	AMPFI_15011
OG0000003	ASTMX08463	AMPFI_25043
OG0000004	ASTMX19416	AMPFI_00502, AMPFI_04409, AMPFI_21966
OG0000004	ASTMX13906	AMPFI_08378
OG0000004	ASTMX17274	AMPFI_11893
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273	AMPFI_04189
OG0000004	ASTMX13574	AMPFI_03068
OG0000005	ASTMX03244	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	ASTMX00775	AMPFI_22470
OG0000006	ASTMX03791, ASTMX03123	AMPFI_22262
OG0000006	ASTMX12191, ASTMX07931	AMPFI_22463
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	AMPFI_10542, AMPFI_00206
OG0000006	ASTMX03256, ASTMX09680	AMPFI_02520
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	AMPFI_09123
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	AMPFI_18507
OG0000006	ASTMX14827	AMPFI_06099
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	AMPFI_17130
OG0000006	ASTMX10604, ASTMX08947	AMPFI_12555
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	AMPFI_02812
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	AMPFI_07094
OG0000007	ASTMX20070	AMPFI_15871
OG0000007	ASTMX18062, ASTMX21262	AMPFI_26059
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	AMPFI_15806
OG0000007	ASTMX04966, ASTMX11650	AMPFI_22204
OG0000007	ASTMX18779, ASTMX07711	AMPFI_08786
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	AMPFI_21281
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	AMPFI_23280
OG0000008	ASTMX21956, ASTMX05481	AMPFI_03619
OG0000008	ASTMX13345, ASTMX11364	AMPFI_18464
OG0000008	ASTMX13129	AMPFI_13893
OG0000010	ASTMX18922, ASTMX18921, ASTMX15088, ASTMX10678, ASTMX08865, ASTMX08864, ASTMX01945, ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981	AMPFI_14170
OG0000010	ASTMX21265	AMPFI_04353
OG0000011	ASTMX02959	AMPFI_20825
OG0000011	ASTMX22966, ASTMX22692	AMPFI_09904, AMPFI_16294
OG0000011	ASTMX07900	AMPFI_10527
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	AMPFI_20107
OG0000011	ASTMX20794	AMPFI_19772, AMPFI_15721, AMPFI_18664, AMPFI_20201, AMPFI_15511
OG0000011	ASTMX21233	AMPFI_19936
OG0000011	ASTMX01926	AMPFI_10672
OG0000011	ASTMX21375, ASTMX22962, ASTMX22920	AMPFI_12525, AMPFI_04893
OG0000011	ASTMX22970	AMPFI_09690
OG0000012	ASTMX22063, ASTMX16492	AMPFI_05035, AMPFI_18913
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	AMPFI_13640
OG0000014	ASTMX02678, ASTMX08608, ASTMX07233, ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557, ASTMX03213, ASTMX07656, ASTMX01801	AMPFI_05504, AMPFI_16319
OG0000014	ASTMX03251, ASTMX15832	AMPFI_18330
OG0000014	ASTMX12908, ASTMX11632	AMPFI_16339
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	AMPFI_23995
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	AMPFI_14639
OG0000016	ASTMX00540	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939
OG0000016	ASTMX02874	AMPFI_06248
OG0000016	ASTMX17395	AMPFI_18220
OG0000018	ASTMX23058	AMPFI_22035
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463, AMPFI_12214, AMPFI_19679, AMPFI_16987, AMPFI_22107, AMPFI_09593, AMPFI_03755, AMPFI_23574, AMPFI_02255, AMPFI_04146, AMPFI_25008
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	AMPFI_01264, AMPFI_06523
OG0000020	ASTMX04834	AMPFI_07852
OG0000020	ASTMX22432	AMPFI_03773
OG0000020	ASTMX12285	AMPFI_19334
OG0000020	ASTMX15062	AMPFI_23773
OG0000020	ASTMX14060	AMPFI_11019
OG0000020	ASTMX00490, ASTMX12696	AMPFI_06907
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689	AMPFI_24792
OG0000020	ASTMX17320	AMPFI_07932
OG0000020	ASTMX04750, ASTMX21042	AMPFI_12343
OG0000020	ASTMX05243	AMPFI_25813
OG0000020	ASTMX04710	AMPFI_21494
OG0000020	ASTMX07754	AMPFI_07388
OG0000020	ASTMX13875	AMPFI_13969
OG0000021	ASTMX00802, ASTMX04036, ASTMX09468, ASTMX09467, ASTMX09435, ASTMX07052, ASTMX07051, ASTMX06325, ASTMX15788, ASTMX05284	AMPFI_08825
OG0000021	ASTMX21461, ASTMX05545	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000021	ASTMX13864	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684
OG0000023	ASTMX18896	AMPFI_05477
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426	AMPFI_20328, AMPFI_11488, AMPFI_14597, AMPFI_06959, AMPFI_07236, AMPFI_06755, AMPFI_03338, AMPFI_12963, AMPFI_15605, AMPFI_06015, AMPFI_05885, AMPFI_01680, AMPFI_19467, AMPFI_08281, AMPFI_06875, AMPFI_14904, AMPFI_08222, AMPFI_10693, AMPFI_13114, AMPFI_24998, AMPFI_12201, AMPFI_14926, AMPFI_12067, AMPFI_16824, AMPFI_25046
OG0000024	ASTMX21974	AMPFI_11822, AMPFI_24855, AMPFI_01019, AMPFI_14888, AMPFI_01380, AMPFI_07327, AMPFI_03050, AMPFI_12003, AMPFI_04946
OG0000026	ASTMX06810	AMPFI_08394, AMPFI_03099, AMPFI_18185, AMPFI_25697, AMPFI_04674, AMPFI_24667, AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391
OG0000026	ASTMX12978	AMPFI_01077, AMPFI_16904
OG0000028	ASTMX01628, ASTMX11626, ASTMX11297, ASTMX12202, ASTMX18482, ASTMX18778	AMPFI_19162
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	ASTMX06934	AMPFI_02183
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	AMPFI_03176
OG0000031	ASTMX05563	AMPFI_14371, AMPFI_13166
OG0000031	ASTMX22504	AMPFI_13279, AMPFI_01755, AMPFI_10718, AMPFI_14435, AMPFI_16606
OG0000031	ASTMX08659, ASTMX04771	AMPFI_06256
OG0000031	ASTMX12572	AMPFI_14304
OG0000031	ASTMX06525	AMPFI_10484
OG0000031	ASTMX09693, ASTMX17541	AMPFI_01333
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	AMPFI_05075
OG0000031	ASTMX00107, ASTMX04176	AMPFI_10833
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	AMPFI_02985
OG0000031	ASTMX03166	AMPFI_03768
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	ASTMX06705	AMPFI_03594
OG0000034	ASTMX03519	AMPFI_04753
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	AMPFI_00398
OG0000035	ASTMX17732	AMPFI_17275
OG0000035	ASTMX22713, ASTMX21245	AMPFI_20705
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	AMPFI_13261
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	AMPFI_12878
OG0000035	ASTMX15321, ASTMX20966	AMPFI_11303
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	AMPFI_11948
OG0000036	ASTMX19120	AMPFI_06932
OG0000036	ASTMX18312, ASTMX10284	AMPFI_14775, AMPFI_19912
OG0000036	ASTMX01338, ASTMX03570	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	AMPFI_11581
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	AMPFI_25668
OG0000038	ASTMX05291	AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880
OG0000039	ASTMX16971	AMPFI_15658
OG0000039	ASTMX14711	AMPFI_14066
OG0000039	ASTMX10108, ASTMX07819	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	AMPFI_02741
OG0000043	ASTMX09533	AMPFI_04816
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	AMPFI_13059
OG0000044	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109	AMPFI_10491
OG0000044	ASTMX06176	AMPFI_12455
OG0000044	ASTMX17555	AMPFI_03703, AMPFI_04838
OG0000044	ASTMX11110	AMPFI_22026, AMPFI_08823, AMPFI_04139
OG0000046	ASTMX22281	AMPFI_02275, AMPFI_17068
OG0000048	ASTMX13714	AMPFI_06745
OG0000048	ASTMX03384	AMPFI_01185
OG0000048	ASTMX15600	AMPFI_22758
OG0000048	ASTMX04570	AMPFI_10591, AMPFI_13556
OG0000048	ASTMX00590	AMPFI_08767
OG0000049	ASTMX20103	AMPFI_21057
OG0000050	ASTMX16561	AMPFI_09852, AMPFI_09851, AMPFI_22369, AMPFI_19942, AMPFI_15208, AMPFI_23876, AMPFI_19742, AMPFI_12802
OG0000051	ASTMX08001	AMPFI_06837
OG0000051	ASTMX02511	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000054	ASTMX04679	AMPFI_10274
