Orthogroup	ASTMX	OWEFU
OG0000000	ASTMX02793	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	ASTMX17483, ASTMX11444	OFUSG13305.1.p1
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	ASTMX19308, ASTMX03273	OFUSG18918.1.p1
OG0000000	ASTMX13970	OFUSG05755.1.p1
OG0000000	ASTMX05790, ASTMX17479	OFUSG06970.1.p1
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	ASTMX14561, ASTMX07042	OFUSG08786.1.p1
OG0000000	ASTMX10847	OFUSG09074.1.p1
OG0000000	ASTMX20299	OFUSG19303.1.p1
OG0000000	ASTMX10234	OFUSG12013.1.p1
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	OFUSG13332.1.p1
OG0000000	ASTMX16946, ASTMX11106	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	ASTMX06178	OFUSG03302.1.p1
OG0000000	ASTMX16049	OFUSG13338.1.p1
OG0000000	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162	OFUSG13335.1.p1
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	OFUSG13336.1.p1
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	OFUSG17003.1.p1
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	OFUSG21200.1.p1
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	OFUSG05672.1.p1
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	OFUSG03177.1.p1
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	OFUSG12947.1.p1
OG0000000	ASTMX11612, ASTMX02802	OFUSG05775.1.p1
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	OFUSG06109.1.p1
OG0000000	ASTMX09511	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	ASTMX08520	OFUSG21806.1.p1
OG0000001	ASTMX18932	OFUSG03269.1.p1
OG0000002	ASTMX13878	OFUSG12055.1.p1
OG0000002	ASTMX14857, ASTMX14858, ASTMX14859, ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952, ASTMX12459, ASTMX12467, ASTMX12468, ASTMX01931	OFUSG09076.1.p1
OG0000002	ASTMX20125	OFUSG22946.2.p1
OG0000003	ASTMX16763	OFUSG16264.1.p1
OG0000003	ASTMX08462	OFUSG01752.1.p1
OG0000004	ASTMX19416	OFUSG14165.1.p1
OG0000004	ASTMX13606	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	ASTMX10242	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1
OG0000005	ASTMX03244	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	ASTMX03985, ASTMX00495, ASTMX16379	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	ASTMX16363, ASTMX04345	OFUSG02905.1.p1
OG0000006	ASTMX11700, ASTMX00138	OFUSG14509.1.p1
OG0000006	ASTMX03791, ASTMX03123	OFUSG25514.1.p1
OG0000006	ASTMX12191, ASTMX07931	OFUSG14428.1.p1
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	OFUSG07929.1.p1
OG0000006	ASTMX03256, ASTMX09680	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	ASTMX14682, ASTMX19702	OFUSG10782.1.p1
OG0000006	ASTMX21126, ASTMX03352	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	ASTMX06644	OFUSG21061.1.p1, OFUSG18090.1.p1
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	OFUSG08659.1.p1
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	ASTMX14827	OFUSG11740.1.p1
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	ASTMX10604	OFUSG11470.1.p1
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	OFUSG09476.1.p1
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	OFUSG21527.1.p1
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	OFUSG13716.1.p1
OG0000007	ASTMX21073, ASTMX16179	OFUSG23682.1.p1
OG0000007	ASTMX20070	OFUSG04867.2.p1, OFUSG04867.1.p1
