Orthogroup	ASTMX	APOSJ_ok
OG0000000	ASTMX02793	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	APOSJ_43984, APOSJ_47154
OG0000000	ASTMX05790, ASTMX17479	APOSJ_18686
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	APOSJ_32352
OG0000000	ASTMX14561, ASTMX07042	APOSJ_18136
OG0000000	ASTMX20299	APOSJ_34245
OG0000000	ASTMX10234	APOSJ_60507
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	ASTMX06178	APOSJ_36728
OG0000000	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	APOSJ_40396
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	APOSJ_37520
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	APOSJ_38857, APOSJ_38860
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	APOSJ_32562, APOSJ_32561
OG0000000	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159	APOSJ_47531, APOSJ_29010
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	ASTMX17267, ASTMX11612, ASTMX02802	APOSJ_56734
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	APOSJ_31415
OG0000000	ASTMX09511	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	ASTMX08520	APOSJ_02527
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	APOSJ_12278, APOSJ_36722
OG0000001	ASTMX16759, ASTMX18180	APOSJ_36498
OG0000002	ASTMX13878	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873
OG0000003	ASTMX16763	APOSJ_27925, APOSJ_44929
OG0000003	ASTMX08462	APOSJ_36444, APOSJ_17178
OG0000003	ASTMX04234	APOSJ_58934
OG0000004	ASTMX13606	APOSJ_09445
OG0000005	ASTMX03244	APOSJ_43564, APOSJ_43561
OG0000006	ASTMX20216	APOSJ_12203, APOSJ_12202, APOSJ_12204
OG0000006	ASTMX03985, ASTMX00495, ASTMX16379	APOSJ_14510
OG0000006	ASTMX16363, ASTMX04345	APOSJ_43757
OG0000006	ASTMX03791, ASTMX03123	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	ASTMX14682, ASTMX19702	APOSJ_52128
OG0000006	ASTMX21126, ASTMX03352	APOSJ_25002
OG0000006	ASTMX06644	APOSJ_24425, APOSJ_24424
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	APOSJ_38154
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	APOSJ_46492
OG0000007	ASTMX14980	APOSJ_59584
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	APOSJ_59909
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	APOSJ_46494
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	APOSJ_04151
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	APOSJ_33751
OG0000007	ASTMX18062, ASTMX21262	APOSJ_45510, APOSJ_50337
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	ASTMX04966, ASTMX11650	APOSJ_06582, APOSJ_20594
OG0000007	ASTMX18779, ASTMX07711	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	APOSJ_55940, APOSJ_55941
OG0000008	ASTMX13345, ASTMX11364	APOSJ_61175
OG0000008	ASTMX13129	APOSJ_50496
OG0000010	ASTMX11060	APOSJ_38780, APOSJ_21761
