Orthogroup	ASTMX	XENTR
OG0000000	ASTMX22979	XENTR09224, XENTR09222
OG0000000	ASTMX11444	XENTR01079, XENTR01080
OG0000000	ASTMX02535	XENTR18066
OG0000000	ASTMX04736	XENTR08976
OG0000000	ASTMX03273	XENTR18621
OG0000000	ASTMX10474, ASTMX18080	XENTR13401
OG0000000	ASTMX13971	XENTR10509
OG0000000	ASTMX13970	XENTR10508
OG0000000	ASTMX12494	XENTR02223
OG0000000	ASTMX05790	XENTR10492
OG0000000	ASTMX17479	XENTR10560
OG0000000	ASTMX20577, ASTMX08977	XENTR07734
OG0000000	ASTMX08271	XENTR13891
OG0000000	ASTMX14561	XENTR17298
OG0000000	ASTMX07042	XENTR05705
OG0000000	ASTMX10847	XENTR16086
OG0000000	ASTMX20299	XENTR12445
OG0000000	ASTMX10234	XENTR07618
OG0000000	ASTMX01439, ASTMX16054	XENTR10848
OG0000000	ASTMX20165	XENTR03338
OG0000000	ASTMX16946	XENTR04390
OG0000000	ASTMX11106	XENTR05494
OG0000000	ASTMX16053	XENTR10849
OG0000000	ASTMX01903	XENTR03337
OG0000000	ASTMX06178	XENTR04389
OG0000000	ASTMX16048	XENTR10854
OG0000000	ASTMX20108	XENTR08539
OG0000000	ASTMX05323	XENTR07170
OG0000000	ASTMX16049	XENTR03332
OG0000000	ASTMX01436, ASTMX16050	XENTR10853
OG0000000	ASTMX20109, ASTMX05322	XENTR08540
OG0000000	ASTMX05321, ASTMX20111	XENTR08542
OG0000000	ASTMX16051	XENTR10851
OG0000000	ASTMX12038	XENTR07169
OG0000000	ASTMX20162	XENTR03335
OG0000000	ASTMX20161	XENTR03334
OG0000000	ASTMX20110	XENTR08541
OG0000000	ASTMX17422	XENTR06295
OG0000000	ASTMX00835, ASTMX16253	XENTR03185
OG0000000	ASTMX20873	XENTR12464
OG0000000	ASTMX04077, ASTMX07972	XENTR08726
OG0000000	ASTMX08519	XENTR06680
OG0000000	ASTMX09510	XENTR12982
OG0000000	ASTMX05324, ASTMX20107	XENTR08538
OG0000000	ASTMX12036	XENTR03331, XENTR07171
OG0000000	ASTMX16047	XENTR10855, XENTR10856
OG0000000	ASTMX01905	XENTR03330
OG0000000	ASTMX08795	XENTR00687
OG0000000	ASTMX17999	XENTR13779
OG0000000	ASTMX20156	XENTR03327
OG0000000	ASTMX12031	XENTR07175
OG0000000	ASTMX17267	XENTR01971
OG0000000	ASTMX11612	XENTR14936
OG0000000	ASTMX02802	XENTR09546
OG0000000	ASTMX17266	XENTR01972
OG0000000	ASTMX02801	XENTR09547
OG0000000	ASTMX07975	XENTR08722
OG0000000	ASTMX09511	XENTR12981
OG0000000	ASTMX08520	XENTR06679
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
OG0000002	ASTMX13878	XENTR12747
OG0000002	ASTMX20124	XENTR12310, XENTR12309, XENTR12000, XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313
OG0000002	ASTMX02317	XENTR09131
OG0000002	ASTMX19248	XENTR16022
OG0000002	ASTMX14857, ASTMX14858, ASTMX14859	XENTR16271, XENTR03602, XENTR03603, XENTR03601
OG0000003	ASTMX04234	XENTR17803
OG0000004	ASTMX09901	XENTR16872, XENTR15834
OG0000004	ASTMX22075	XENTR04878
OG0000004	ASTMX12117, ASTMX01551	XENTR07289, XENTR07290
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044	XENTR07824, XENTR07823
OG0000004	ASTMX18447	XENTR07827, XENTR19087, XENTR07826
OG0000004	ASTMX09630	XENTR04025, XENTR04024
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	XENTR05002, XENTR05003
OG0000005	ASTMX13051	XENTR09492, XENTR09491
OG0000005	ASTMX18005	XENTR09477
OG0000005	ASTMX12914, ASTMX04261, ASTMX08691	XENTR17068
OG0000005	ASTMX01192	XENTR04106
OG0000005	ASTMX10242	XENTR09142
OG0000005	ASTMX03244	XENTR16849, XENTR09568
OG0000006	ASTMX00775	XENTR06019
OG0000006	ASTMX00495, ASTMX16379	XENTR00026
OG0000006	ASTMX16363	XENTR03474, XENTR03473
OG0000006	ASTMX04345	XENTR14730
OG0000006	ASTMX11700	XENTR03090
OG0000006	ASTMX00138	XENTR09060
OG0000006	ASTMX03791, ASTMX03123	XENTR03954
OG0000006	ASTMX12191, ASTMX07931	XENTR03689
OG0000006	ASTMX06292	XENTR00399
OG0000006	ASTMX15319	XENTR09859
OG0000006	ASTMX03256	XENTR09947
OG0000006	ASTMX09680	XENTR11692
OG0000006	ASTMX14682, ASTMX19702	XENTR11329
OG0000006	ASTMX21126, ASTMX03352	XENTR15046
OG0000006	ASTMX06644	XENTR13548
OG0000006	ASTMX04941, ASTMX20531	XENTR15729
OG0000006	ASTMX03398	XENTR08627
OG0000006	ASTMX03759	XENTR04854
OG0000006	ASTMX02775	XENTR07280
OG0000006	ASTMX15412	XENTR07527
OG0000006	ASTMX14827	XENTR07719
OG0000006	ASTMX16515	XENTR12339
OG0000006	ASTMX08479, ASTMX15103	XENTR03854
OG0000006	ASTMX16006	XENTR16538, XENTR16537, XENTR09455
OG0000007	ASTMX14980	XENTR04989
OG0000007	ASTMX05134	XENTR10435
OG0000007	ASTMX09513	XENTR08906
OG0000007	ASTMX08102	XENTR06676
OG0000007	ASTMX21418	XENTR07000, XENTR07001
OG0000007	ASTMX05483	XENTR00358
OG0000007	ASTMX12390	XENTR05826
OG0000007	ASTMX04000	XENTR00041
OG0000007	ASTMX22657	XENTR08678
OG0000007	ASTMX22264, ASTMX09321	XENTR10333
OG0000007	ASTMX14799	XENTR09768, XENTR09769
OG0000007	ASTMX12582	XENTR02009
OG0000007	ASTMX16179	XENTR03222
OG0000007	ASTMX20070	XENTR11347, XENTR18406
OG0000007	ASTMX22376, ASTMX11119	XENTR04991
OG0000007	ASTMX14979	XENTR04990
OG0000007	ASTMX02564	XENTR05942
OG0000007	ASTMX18062	XENTR09461
OG0000007	ASTMX21262	XENTR01137
OG0000007	ASTMX04848	XENTR03031
OG0000007	ASTMX06558, ASTMX19375	XENTR06562
OG0000007	ASTMX11650	XENTR16583
OG0000007	ASTMX18779	XENTR07405
OG0000007	ASTMX07711	XENTR01816
OG0000007	ASTMX15846	XENTR09232
OG0000007	ASTMX10097	XENTR15271
OG0000008	ASTMX21956	XENTR11531, XENTR11530
OG0000008	ASTMX05481	XENTR00356
OG0000008	ASTMX19133, ASTMX14439	XENTR18145, XENTR18144, XENTR18146, XENTR18147
OG0000008	ASTMX13345, ASTMX11364	XENTR07747
OG0000008	ASTMX13129	XENTR00105
OG0000008	ASTMX09448	XENTR02826
OG0000008	ASTMX03057	XENTR02855
OG0000008	ASTMX05709	XENTR14482
OG0000008	ASTMX08222	XENTR08824
OG0000008	ASTMX03297, ASTMX08955	XENTR15536
OG0000010	ASTMX18922, ASTMX18921, ASTMX15088	XENTR03796, XENTR03794, XENTR03795, XENTR03797
OG0000010	ASTMX08865, ASTMX08864	XENTR17402, XENTR17403, XENTR17056, XENTR19172
OG0000010	ASTMX01945	XENTR19048
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598	XENTR06633
OG0000010	ASTMX00209	XENTR06635, XENTR06634
OG0000010	ASTMX18619	XENTR13805
OG0000010	ASTMX02979	XENTR08285, XENTR08284
OG0000010	ASTMX12532, ASTMX19555	XENTR02618
OG0000010	ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359
OG0000010	ASTMX11060	XENTR04584, XENTR06998, XENTR03807
OG0000010	ASTMX06728, ASTMX17688, ASTMX18214	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248
OG0000010	ASTMX16219, ASTMX16220	XENTR18249
OG0000012	ASTMX22063	XENTR13810
OG0000012	ASTMX06265	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246	XENTR01071, XENTR01070, XENTR01094, XENTR01095
OG0000013	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252	XENTR08287, XENTR08288
OG0000013	ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	XENTR11527
OG0000014	ASTMX02678	XENTR12243
OG0000014	ASTMX17398, ASTMX00995, ASTMX00994	XENTR01230
OG0000014	ASTMX13292	XENTR14320
OG0000014	ASTMX10769	XENTR11284
OG0000014	ASTMX16405, ASTMX12634	XENTR09795
OG0000014	ASTMX17340, ASTMX01557	XENTR13716
