#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_4/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_4/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_4/0.355268549014912.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_4/target.clean..pos
BGpeak38371	Scaffold_19_1_contigs	24321337	24321740	+	0.000	0.000	peak38371
BGpeak38434	Scaffold_19_1_contigs	24986171	24986650	+	0.000	0.000	peak38434
BGpeak38458	Scaffold_19_1_contigs	25145689	25146074	+	0.000	0.000	peak38458
BGpeak38556	Scaffold_19_1_contigs	25886441	25887183	+	0.000	0.000	peak38556
BGpeak38561	Scaffold_19_1_contigs	25964530	25964862	+	0.000	0.000	peak38561
BGpeak38562	Scaffold_19_1_contigs	25965447	25965990	+	0.000	0.000	peak38562
BGpeak38563	Scaffold_19_1_contigs	25967410	25967818	+	0.000	0.000	peak38563
BGpeak38606	Scaffold_19_1_contigs	26302074	26302802	+	0.000	0.000	peak38606
BGpeak38608	Scaffold_19_1_contigs	26307219	26307426	+	0.000	0.000	peak38608
BGpeak38609	Scaffold_19_1_contigs	26307522	26307855	+	0.000	0.000	peak38609
BGpeak38611	Scaffold_19_1_contigs	26309412	26309923	+	0.000	0.000	peak38611
BGpeak38612	Scaffold_19_1_contigs	26310975	26311286	+	0.000	0.000	peak38612
BGpeak38640	Scaffold_19_1_contigs	26485084	26485377	+	0.000	0.000	peak38640
BGpeak38692	Scaffold_19_1_contigs	27031020	27031516	+	0.000	0.000	peak38692
BGpeak38715	Scaffold_19_1_contigs	27415250	27415974	+	0.000	0.000	peak38715
BGpeak73142	Scaffold_7_1_contigs	22310832	22311309	+	0.000	0.000	peak73142
BGpeak73147	Scaffold_7_1_contigs	22320895	22321712	+	0.000	0.000	peak73147
BGpeak73188	Scaffold_7_1_contigs	22688649	22689116	+	0.000	0.000	peak73188
BGpeak38937	Scaffold_19_1_contigs	30253959	30254311	+	0.000	0.000	peak38937
BGpeak38972	Scaffold_19_1_contigs	30467616	30468470	+	0.000	0.000	peak38972
BGpeak73385	Scaffold_7_1_contigs	26336998	26337210	+	0.000	0.000	peak73385
BGpeak73420	Scaffold_7_1_contigs	27540867	27541372	+	0.000	0.000	peak73420
BGpeak73422	Scaffold_7_1_contigs	27549436	27549692	+	0.000	0.000	peak73422
BGpeak73426	Scaffold_7_1_contigs	27552908	27553263	+	0.000	0.000	peak73426
BGpeak73501	Scaffold_7_1_contigs	28075608	28075955	+	0.000	0.000	peak73501
BGpeak73552	Scaffold_7_1_contigs	29759927	29760250	+	0.000	0.000	peak73552
BGpeak73587	Scaffold_7_1_contigs	30925267	30925572	+	0.000	0.000	peak73587
BGpeak73655	Scaffold_7_1_contigs	31721261	31721838	+	0.000	0.000	peak73655
BGpeak73718	Scaffold_7_1_contigs	32409982	32410339	+	0.000	0.000	peak73718
BGpeak73735	Scaffold_7_1_contigs	32492555	32492981	+	0.000	0.000	peak73735
BGpeak73939	Scaffold_7_1_contigs	34452483	34452646	+	0.000	0.000	peak73939
BGpeak73950	Scaffold_7_1_contigs	34481366	34481671	+	0.000	0.000	peak73950
BGpeak73952	Scaffold_7_1_contigs	34482109	34482466	+	0.000	0.000	peak73952
BGpeak73989	Scaffold_7_1_contigs	35180238	35180762	+	0.000	0.000	peak73989
BGpeak2079	Scaffold_10_1_contigs	30785511	30785984	+	0.000	0.000	peak2079
BGpeak2080	Scaffold_10_1_contigs	30786364	30786636	+	0.000	0.000	peak2080
BGpeak2103	Scaffold_10_1_contigs	31007142	31007540	+	0.000	0.000	peak2103
BGpeak2105	Scaffold_10_1_contigs	31010641	31010951	+	0.000	0.000	peak2105
BGpeak2106	Scaffold_10_1_contigs	31011188	31011727	+	0.000	0.000	peak2106
BGpeak2165	Scaffold_10_1_contigs	31508365	31508905	+	0.000	0.000	peak2165
BGpeak2282	Scaffold_10_1_contigs	32836168	32836488	+	0.000	0.000	peak2282
BGpeak21000	Scaffold_14_1_contigs	31054851	31055274	+	0.000	0.000	peak21000
BGpeak21005	Scaffold_14_1_contigs	31072427	31073450	+	0.000	0.000	peak21005
BGpeak2504	Scaffold_10_1_contigs	35227911	35228606	+	0.000	0.000	peak2504
BGpeak2525	Scaffold_10_1_contigs	35894275	35894863	+	0.000	0.000	peak2525
BGpeak2557	Scaffold_10_1_contigs	36097424	36097889	+	0.000	0.000	peak2557
BGpeak21166	Scaffold_14_1_contigs	32649306	32649815	+	0.000	0.000	peak21166
BGpeak2600	Scaffold_10_1_contigs	36344853	36345280	+	0.000	0.000	peak2600
BGpeak2672	Scaffold_10_1_contigs	37322443	37322663	+	0.000	0.000	peak2672
BGpeak2675	Scaffold_10_1_contigs	37328010	37328245	+	0.000	0.000	peak2675
BGpeak21201	Scaffold_14_1_contigs	32898509	32898835	+	0.000	0.000	peak21201
BGpeak21202	Scaffold_14_1_contigs	32902034	32902312	+	0.000	0.000	peak21202
BGpeak21207	Scaffold_14_1_contigs	32911750	32912439	+	0.000	0.000	peak21207
BGpeak21224	Scaffold_14_1_contigs	33066639	33066991	+	0.000	0.000	peak21224
BGpeak21246	Scaffold_14_1_contigs	33366412	33366639	+	0.000	0.000	peak21246
BGpeak21299	Scaffold_14_1_contigs	34367833	34368104	+	0.000	0.000	peak21299
BGpeak2736	Scaffold_10_1_contigs	38099114	38099411	+	0.000	0.000	peak2736
BGpeak2757	Scaffold_10_1_contigs	38289482	38289805	+	0.000	0.000	peak2757
BGpeak2789	Scaffold_10_1_contigs	38593370	38593747	+	0.000	0.000	peak2789
BGpeak21304	Scaffold_14_1_contigs	34380998	34381531	+	0.000	0.000	peak21304
BGpeak21309	Scaffold_14_1_contigs	34396631	34397729	+	0.000	0.000	peak21309
BGpeak21310	Scaffold_14_1_contigs	34399771	34399985	+	0.000	0.000	peak21310
BGpeak21311	Scaffold_14_1_contigs	34402051	34402409	+	0.000	0.000	peak21311
BGpeak21313	Scaffold_14_1_contigs	34406615	34406854	+	0.000	0.000	peak21313
BGpeak21340	Scaffold_14_1_contigs	34877384	34877877	+	0.000	0.000	peak21340
BGpeak21429	Scaffold_14_1_contigs	36137191	36137609	+	0.000	0.000	peak21429
BGpeak2905	Scaffold_10_1_contigs	39613483	39614032	+	0.000	0.000	peak2905
BGpeak2917	Scaffold_10_1_contigs	39889648	39889995	+	0.000	0.000	peak2917
BGpeak2953	Scaffold_10_1_contigs	40034067	40034687	+	0.000	0.000	peak2953
BGpeak2976	Scaffold_10_1_contigs	40210181	40210493	+	0.000	0.000	peak2976
BGpeak2979	Scaffold_10_1_contigs	40215121	40215365	+	0.000	0.000	peak2979
BGpeak2998	Scaffold_10_1_contigs	40307394	40307791	+	0.000	0.000	peak2998
BGpeak21537	Scaffold_14_1_contigs	37360908	37361389	+	0.000	0.000	peak21537
BGpeak21577	Scaffold_14_1_contigs	37549242	37549622	+	0.000	0.000	peak21577
BGpeak21726	Scaffold_14_1_contigs	38831902	38832467	+	0.000	0.000	peak21726
BGpeak21727	Scaffold_14_1_contigs	38834312	38834717	+	0.000	0.000	peak21727
