Orthogroup	CAPO3	MOUSE
OG0000003	CAPO301945	MOUSE23092, MOUSE23701, MOUSE23700, MOUSE08264, MOUSE36184
OG0000005	CAPO308356, CAPO307946	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519, MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620, MOUSE03520, MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	CAPO302620	MOUSE03398
OG0000007	CAPO304209	MOUSE38585, MOUSE04689, MOUSE37388, MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	CAPO303284	MOUSE38586, MOUSE06525
OG0000007	CAPO300935	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	CAPO305123	MOUSE07031, MOUSE07030
OG0000012	CAPO302923, CAPO302931	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314, MOUSE49054, MOUSE49055, MOUSE49053, MOUSE49315, MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042, MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309, MOUSE38313, MOUSE49050, MOUSE49303
OG0000015	CAPO302521	MOUSE30054, MOUSE30055, MOUSE30056, MOUSE03177, MOUSE03176, MOUSE35079, MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500, MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093, MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219, MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	CAPO300049	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	CAPO304360	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123, MOUSE21130
OG0000016	CAPO306803	MOUSE13078, MOUSE13077
OG0000016	CAPO303259	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	CAPO300936	MOUSE44334, MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000023	CAPO307690	MOUSE22442, MOUSE28743, MOUSE50071, MOUSE46773, MOUSE46772, MOUSE49036, MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835, MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863, MOUSE02558, MOUSE02557, MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064, MOUSE50068
OG0000029	CAPO307131	MOUSE26336, MOUSE43115, MOUSE43116, MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995, MOUSE17544, MOUSE15400, MOUSE26337, MOUSE23727, MOUSE29998, MOUSE16471
OG0000030	CAPO300110	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	CAPO305356, CAPO301638, CAPO307563	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432, MOUSE45135, MOUSE45134, MOUSE45133, MOUSE04020, MOUSE55035, MOUSE41811, MOUSE41812, MOUSE21340
OG0000031	CAPO308265, CAPO303729, CAPO307573	MOUSE39309, MOUSE01505
OG0000031	CAPO302122	MOUSE40719, MOUSE40720
OG0000035	CAPO307346, CAPO308354	MOUSE02570, MOUSE02571, MOUSE51376, MOUSE51375, MOUSE51377, MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092, MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546, MOUSE02196, MOUSE02197, MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507, MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108, MOUSE27104, MOUSE41551
OG0000039	CAPO306958, CAPO306959	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088
